cim_field,data_model
dest_dns*,Network_Session
dest_ip*,Network_Session
dest_mac*,Network_Session
dest_nt_host*,Network_Session
user*,Network_Session
vendor_product*,Network_Session
app,Network_Traffic
channel,Network_Traffic
dest_bunit,Network_Traffic
dest_category,Network_Traffic
dest_interface,Network_Traffic
dest_ip,Network_Traffic
dest_mac,Network_Traffic
dest_priority,Network_Traffic
dest_translated_ip,Network_Traffic
dest_translated_port,Network_Traffic
dest_zone,Network_Traffic
direction,Network_Traffic
duration,Network_Traffic
dvc_bunit,Network_Traffic
dvc_category,Network_Traffic
dvc_ip,Network_Traffic
dvc_mac,Network_Traffic
dvc_priority,Network_Traffic
dvc_zone,Network_Traffic
flow_id,Network_Traffic
icmp_code,Network_Traffic
icmp_type,Network_Traffic
process_id,Network_Traffic
protocol,Network_Traffic
protocol_version,Network_Traffic
response_time,Network_Traffic
session_id,Network_Traffic
src_bunit,Network_Traffic
src_category,Network_Traffic
src_interface,Network_Traffic
src_ip,Network_Traffic
src_mac,Network_Traffic
src_priority,Network_Traffic
src_translated_ip,Network_Traffic
src_translated_port,Network_Traffic
src_zone,Network_Traffic
ssid,Network_Traffic
tag,Network_Traffic
tcp_flag,Network_Traffic
tos,Network_Traffic
ttl,Network_Traffic
user_bunit,Network_Traffic
user_category,Network_Traffic
user_priority,Network_Traffic
vendor_account,Network_Traffic
vlan,Network_Traffic
wifi,Network_Traffic
action*,Network_Traffic
bytes*,Network_Traffic
bytes_in*,Network_Traffic
bytes_out*,Network_Traffic
dest*,Network_Traffic
dest_port*,Network_Traffic
dvc*,Network_Traffic
packets,Network_Traffic
packets_in,Network_Traffic
packets_out,Network_Traffic
rule*,Network_Traffic
src*,Network_Traffic
src_port*,Network_Traffic
transport*,Network_Traffic
user*,Network_Traffic
vendor_product*,Network_Traffic
dest_bunit,Performance
dest_category,Performance
dest_priority,Performance
dest_should_timesync,Performance
dest_should_update,Performance
hypervisor_id,Performance
resource_type,Performance
tag,Performance
cpu_load_mhz,Performance
cpu_load_percent*,Performance
cpu_time,Performance
cpu_user_percent,Performance
fan_speed,Performance
power,Performance
temperature*,Performance
mem*,Performance
mem_committed,Performance
mem_free*,Performance
mem_used*,Performance
swap,Performance
swap_free,Performance
swap_used,Performance
thruput*,Performance
thruput_max,Performance
signature*,Performance
signature_id,Performance
array,Performance
blocksize,Performance
cluster,Performance
fd_max,Performance
fd_used,Performance
latency,Performance
mount,Performance
parent,Performance
read_blocks,Performance
read_latency,Performance
read_ops,Performance
storage,Performance
storage_free*,Performance
storage_free_percent*,Performance
storage_used*,Performance
storage_used_percent*,Performance
write_blocks,Performance
write_latency,Performance
write_ops,Performance
dest*,Performance
action*,Performance
uptime*,Performance
info,Splunk_Audit
search_et,Splunk_Audit
search_lt,Splunk_Audit
total_run_time,Splunk_Audit
user_bunit,Splunk_Audit
user_category,Splunk_Audit
user_priority,Splunk_Audit
datamodel,Splunk_Audit
savedsearch_name,Splunk_Audit
search,Splunk_Audit
search_alias,Splunk_Audit
search_id,Splunk_Audit
search_type,Splunk_Audit
user,Splunk_Audit
_time,Splunk_Audit
app,Splunk_Audit
host,Splunk_Audit
savedsearch_name,Splunk_Audit
sid,Splunk_Audit
source,Splunk_Audit
sourcetype,Splunk_Audit
splunk_server,Splunk_Audit
status,Splunk_Audit
user,Splunk_Audit
user_bunit,Splunk_Audit
user_category,Splunk_Audit
user_priority,Splunk_Audit
action_mode,Splunk_Audit
action_status,Splunk_Audit
app,Splunk_Audit
component,Splunk_Audit
duration,Splunk_Audit
orig_rid,Splunk_Audit
orig_sid,Splunk_Audit
rid,Splunk_Audit
search_name,Splunk_Audit
user_bunit,Splunk_Audit
user_category,Splunk_Audit
user_priority,Splunk_Audit
action_name,Splunk_Audit
sid,Splunk_Audit
signature,Splunk_Audit
user,Splunk_Audit
worker,Splunk_Audit
access_count,Splunk_Audit
access_time,Splunk_Audit
app,Splunk_Audit
buckets,Splunk_Audit
buckets_size,Splunk_Audit
complete,Splunk_Audit
cron,Splunk_Audit
datamodel,Splunk_Audit
digest,Splunk_Audit
earliest,Splunk_Audit
is_inprogress,Splunk_Audit
last_error,Splunk_Audit
last_sid,Splunk_Audit
latest,Splunk_Audit
mod_time,Splunk_Audit
