field_names,keyword,monitor,name,priority,regex,status,template
EVENTTIME ID,successful,TRUE, BucketReplicator - Connection  successful,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+BucketReplicator\s+-\s+Connection\s+for\s+idx=(?P<ID>[^\s+]+)\s+successful,Active,EVENTTIME INFO  BucketReplicator - Connection for idx=ID successful
EVENTTIME TIMEFORMAT SOURCE HOST,host,TRUE,DateParserVerbose - Accepted time format has changed ,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+WARN\s+DateParserVerbose\s+-\s+Accepted\s+time\s+format\s+has\s+changed\s+(?P<TIMEFORMAT>.*)\s+possibly\s+indicating\s+a\s+problem\s+in\s+extracting\s+timestamps.\s+Context:\s+source=(?P<SOURCE>.*)\|host=(?P<HOST>.*),Active,EVENTTIME WARN  DateParserVerbose - Accepted time format has changed TIMEFORMAT possibly indicating a problem in extracting timestamps. Context: source=SOURCE|host=HOST
EVENTTIME BID REMOTE_GUID REMOTE_ERROR VSZ VET VLT,vsz,TRUE, CMSlave - queued streaming error job,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+CMSlave\s+-\s+bid=(?P<BID>[^\s+]+)\s+remoteGuid=(?P<REMOTE_GUID>[^\s+]+)\s+remoteError=(?P<REMOTE_ERROR>[^\s+]+)\s+vsz=(?P<VSZ>[^\s+]+)\s+vet=(?P<VET>[^\s+]+)\s+vlt=(?P<VLT>[^\s+]+)\s+queued\s+streaming\s+error\s+job,Active,EVENTTIME INFO  CMSlave - bid=BID remoteGuid=REMOTE_GUID remoteError=REMOTE_ERROR vsz=VSZ vet=VET vlt=VLT queued streaming error job
EVENTTIME GROUP CURRENT_HOT CUR_HOT_REPLICAS CURR_TOTAL CREATED CREATED_REPLICAS ROLLED FROZEN TOTAL_REMOVED,total_removed,TRUE, Metrics - group created_replicas,1,"(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+Metrics\s+-\s+group=(?P<GROUP>[^\s+]+)\s+current_hot=(?P<CURRENT_HOT>[^\s+]+)\s+current_hot_replicas=(?P<CUR_HOT_REPLICAS>[^\s+]+),\s+current_total=(?P<CURR_TOTAL>[^\s+]+)\s+created=(?P<CREATED>[^\s+]+),\s+created_replicas=(?P<CREATED_REPLICAS>[^\s+]+),\s+rolled=(?P<ROLLED>[^\s+]+),\s+frozen=(?P<FROZEN>[^\s+]+),\s+total_removed=(?P<TOTAL_REMOVED>[^\s+]+)",Active,"EVENTTIME INFO  Metrics - group=GROUP current_hot=CURRENT_HOT current_hot_replicas=CUR_HOT_REPLICAS, current_total=CURR_TOTAL created=CREATED, created_replicas=CREATED_REPLICAS, rolled=ROLLED, frozen=FROZEN, total_removed=TOTAL_REMOVED"
EVENTTIME EVENT MESSAGE,event,TRUE,CMSlave - event  for finish_shutdown signal from master',1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+CMSlave\s+-\s+event=(?P<EVENT>[^\s+]+)\s+msg=(?P<MESSAGE>[^\s+]+)\s+for\s+finish_shutdown\s+signal\s+from\s+master',Active,EVENTTIME INFO  CMSlave - event=EVENT msg=MESSAGE for finish_shutdown signal from master'
EVENTTIME IPADDRESS FILE_PATH EXPECTED_ID ACTUAL_ID HEADER_ID,validation,TRUE,UiAuth - Request failed CSRF validation ,1,"(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+ERROR\s+UiAuth\s+-\s+Request\s+from\s+(?P<IPADDRESS>\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3})\s+to\s+\""(?P<FILE_PATH>.*)""\s+failed\s+CSRF\s+validation\s+--\s+expected\s+\""(?P<EXPECTED_ID>\d+\.?\d*)\"",\s+but\s+instead\s+cookie\s+had\s+\""(?P<ACTUAL_ID>\d+\.?\d*)\""\s+and\s+header\s+had\s+\""(?P<HEADER_ID>\d+\.?\d*)\""",Active,"EVENTTIME ERROR UiAuth - Request from IPADDRESS to ""FILE_PATH"" failed CSRF validation -- expected ""EXPECTED_ID"", but instead cookie had ""ACTUAL_ID"" and header had ""HEADER_ID"""
EVENTTIME CURRENTID ID,currentid,TRUE, IndexWriter - openDatabases complete ,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+IndexWriter\s+-\s+openDatabases\s+complete\s+currentId=(?P<CURRENTID>[^\s+]+)\s+idx=(?P<ID>[^\s+]+),Active,EVENTTIME INFO  IndexWriter - openDatabases complete currentId=CURRENTID idx=ID
EVENTTIME JOB BID GUID SEARCHABLE MASK VSZ VET VLT,searchable,TRUE,CMRepJob - searchable  mask,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+CMRepJob\s+-\s+job=(?P<JOB>[^\s+]+)\s+bid=(?P<BID>[^\s+]+)\s+guid=(?P<GUID>[^\s+]+)\s+searchable=(?P<SEARCHABLE>[^\s+]+)\s+mask=(?P<MASK>[^\s+]+)\s+vsz=(?P<VSZ>[^\s+]+)\s+vet=(?P<VET>[^\s+]+)\s+vlt=(?P<VLT>[^\s+]+)\s+succeeded,Active,EVENTTIME INFO  CMRepJob - job=JOB bid=BID guid=GUID searchable=SEARCHABLE mask=MASK vsz=VSZ vet=VET vlt=VLT succeeded
EVENTTIME IPADDRESS SERVICE_PATH MESSAGE,accessing,TRUE, HttpListener - Socket error from IPADDRESS while accessing,1,"(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+WARN\s+HttpListener\s+-\s+Socket\s+error\s+from\s+(?P<IPADDRESS>\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}[\#\:\-]\d+)\s+while\s+accessing\s+(?P<SERVICE_PATH>[^\s+]+)\s+(?P<MESSAGE>.*)",Active,EVENTTIME WARN  HttpListener - Socket error from IPADDRESS while accessing SERVICE_PATH MESSAGE
EVENTTIME,virtual,1,,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+ulimit\s+-\s+Limit:\s+virtual\s+address\s+space\s+size:\s+unlimited,Active,EVENTTIME INFO ulimit - Limit: virtual address space size: unlimited
EVENTTIME PROC_ID IDX BUCKET_NAME KIND,kind,TRUE, OnlineFsck - Scheduled repair fsck,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+OnlineFsck\s+-\s+Scheduled\s+repair\s+fsck;\s+procId=(?P<PROC_ID>[^\s+]+)\s+idx=(?P<IDX>[^\s+]+)\s+bucketName=(?P<BUCKET_NAME>[^\s+]+)\s+kind=(?P<KIND>[^\s+]+)\s+only',Active,EVENTTIME INFO  OnlineFsck - Scheduled repair fsck; procId=PROC_ID idx=IDX bucketName=BUCKET_NAME kind=KIND only'
EVENTTIME NUMBERofTHREADS,approximate,0,,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+loader\s+-\s+Maximum\s+number\s+of\s+threads\s+\(approximate\):\s+(?P<NUMBERofTHREADS>\d+\.?\d*),Active,EVENTTIME INFO  loader - Maximum number of threads (approximate): NUMBERofTHREADS
EVENTTIME STREAM_ID DATA_SOURCE DATA_HOST DATA_SOURCE_TYPE,data_source,1,CsvLineBreaker :emptyLine,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+WARN\s+CsvLineBreaker\s+-\s+CSV\s+StreamId:\s+(?P<STREAM_ID>\d+\.?\d*)\s+has\s+empty\s+line.\s+-\s+data_source=(?P<DATA_SOURCE>\S+)\s+data_host=(?P<DATA_HOST>\S+)\s+data_sourcetype=(?P<DATA_SOURCE_TYPE>\S+),Active,EVENTTIME WARN CsvLineBreaker - CSV StreamId: STREAM_ID has empty line. - data_source=DATA_SOURCE data_host=DATA_HOST data_sourcetype=DATA_SOURCE_TYPE
EVENTTIME,users,1,AuthenticationManagerSplunk -No users configured,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+ERROR\s+AuthenticationManagerSplunk\s+-\s+Either\s+password\s+or\s+seed\s+file\s+not\s+found!\s+No\s+users\s+configured!,Active,EVENTTIME ERROR AuthenticationManagerSplunk - Either password or seed file not found! No users configured!
EVENTTIME USER_ID IPADDRESS,ca,TRUE,X509Verify - This puts your Splunk instance at very high-risk,1,"(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+WARN\s+X509Verify\s+-\s+X509\s+certificate\s+\(O=(?P<USER_ID>[^\s+]+)\s+should\s+not\s+be\s+used,\s+as\s+it\s+is\s+issued\s+by\s+Splunk's\s+own\s+default\s+Certificate\s+Authority\s+\(CA\).\s+This\s+puts\s+your\s+Splunk\s+instance\s+at\s+very\s+high-risk\s+of\s+the\s+MITM\s+attack.\s+Either\s+commercial-CA-signed\s+or\s+self-CA-signed\s+certificates\s+must\s+be\s+used;\s+see:(?P<IPADDRESS>.*)",Active,"EVENTTIME WARN  X509Verify - X509 certificate (O=USER_ID should not be used, as it is issued by Splunk's own default Certificate Authority (CA). This puts your Splunk instance at very high-risk of the MITM attack. Either commercial-CA-signed or self-CA-signed certificates must be used; see:IPADDRESS"
EVENTTIME,recreateindexesthread,1,,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+IndexerService\s+-\s+removing\s+RecreateIndexesThread\s+from\s+eloop,Active,EVENTTIME INFO IndexerService - removing RecreateIndexesThread from eloop
EVENTTIME,map,1,map attribute not found,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+ERROR\s+map\s+-\s+Did\s+not\s+find\s+value\s+for\s+required\s+attribute\s+'keyword'.,Active,EVENTTIME ERROR map - Did not find value for required attribute 'keyword'.
EVENTTIME DECODE_TYPE DECODING_SECTION,error,1,NewSavedSearchMgr :ERROR,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+ERROR\s+NewSavedSearchMgr\s+-\s+Error\s+(?P<DECODE_TYPE>[^\s+]+)\s+decoding\s+section\s+of\s+(?P<DECODING_SECTION>[^\s+]+)\s+admin,Active,EVENTTIME ERROR NewSavedSearchMgr - Error DECODE_TYPE decoding section of DECODING_SECTION admin
EVENTTIME ID SECONDS BUCKETS MINSECONDS BYTES PASTSECS FUTURESECS,quarantinepastsecs,TRUE, HotDBManager - idx Setting hot mgr params,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+HotDBManager\s+-\s+idx=(?P<ID>[^\s+]+)\s+Setting\s+hot\s+mgr\s+params:\s+maxHotSpanSecs=(?P<SECONDS>[^\s+]+)\s+maxHotBuckets=(?P<BUCKETS>[^\s+]+)\s+minHotIdleSecsBeforeForceRoll=(?P<MINSECONDS>[^\s+]+)\s+maxDataSizeBytes=(?P<BYTES>[^\s+]+)\s+quarantinePastSecs=(?P<PASTSECS>[^\s+]+)\s+quarantineFutureSecs=(?P<FUTURESECS>[^\s+]+),Active,EVENTTIME INFO  HotDBManager - idx=ID Setting hot mgr params: maxHotSpanSecs=SECONDS maxHotBuckets=BUCKETS minHotIdleSecsBeforeForceRoll=MINSECONDS maxDataSizeBytes=BYTES quarantinePastSecs=PASTSECS quarantineFutureSecs=FUTURESECS 
EVENTTIME APP,searchprocessor,TRUE, ERROR SearchProcessor - Application does not exist,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+ERROR\s+SearchProcessor\s+-\s+Application\s+does\s+not\s+exist:\s+(?P<APP>\S+),Active,EVENTTIME ERROR SearchProcessor - Application does not exist: APP
EVENTTIME COUNT IP NAME,ip,TRUE, ClientSessionsManager:Listener_AppEvents ,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+ClientSessionsManager:Listener_AppEvents\s+-\s+Received\s+count=(?P<COUNT>[^\s+]+)\s+AppEvents\s+from\s+DC\s+ip=(?P<IP>[^\s+]+)\s+name=(?P<NAME>[^\s+]+),Active,EVENTTIME INFO  ClientSessionsManager:Listener_AppEvents - Received count=COUNT AppEvent from DC ip=IP name=NAME
EVENTTIME,initclustering,1,,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+IndexProcessor\s+-\s+initClustering\s+\(peer\):\s+Registering\s+with\s+the\s+cluster\s+master...,Active,EVENTTIME INFO IndexProcessor - initClustering \(peer\): Registering with the cluster master...
EVENTTIME KEY_PATH,reading,TRUE,KeyManagerSearchPeers - Reading public key for peer,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+KeyManagerSearchPeers\s+-\s+Reading\s+public\s+key\s+for\s+peer:\s+(?P<KEY_PATH>\S+),Active,EVENTTIME INFO  KeyManagerSearchPeers - Reading public key for peer: KEY_PATH
EVENTTIME PATH,hotwarmpath,TRUE,DatabaseDirectoryManager - Finished writing bucket manifest ,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+DatabaseDirectoryManager\s+-\s+Finished\s+writing\s+bucket\s+manifest\s+in\s+hotWarmPath=(?P<PATH>[^\s+]+),Active,EVENTTIME INFO  DatabaseDirectoryManager - Finished writing bucket manifest in hotWarmPath=PATH
EVENTTIME ID CONFIG,config,1,AdminManager Object OD cannot be deleted,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+ERROR\s+AdminManager\s+-\s+Object\s+id=(?P<ID>[^\s+]+)\s+cannot\s+be\s+deleted\s+in\s+config=(?P<CONFIG>[^\s+]+),Active,EVENTTIME ERROR AdminManager - Object id=ID cannot be deleted in config=CONFIG
EVENTTIME GROUP ACTION COUNT TOTAL MAX CPU_TOTAL CPU_MAX,cpu_total,TRUE, Metrics - action group ,1,"(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+Metrics\s+-\s+group=(?P<GROUP>[^\s+]+)\s+action=(?P<ACTION>[^\s+]+)\s+count=(?P<COUNT>[^\s+]+)\s+wallclock_ms_total=(?P<TOTAL>[^\s+]+),\s+wallclock_ms_max=(?P<MAX>[^\s+]+),\s+cpu_total=(?P<CPU_TOTAL>[^\s+]+),\s+cpu_max=(?P<CPU_MAX>[^\s+]+)",Active,"EVENTTIME INFO  Metrics - group=GROUP action=ACTION count=COUNT wallclock_ms_total=TOTAL, wallclock_ms_max=MAX, cpu_total=CPU_TOTAL, cpu_max=CPU_MAX"
EVENTTIME APP,app,TRUE,ApplicationManager - Detected app creation,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+ApplicationManager\s+-\s+Detected\s+app\s+creation:\s+(?P<APP>\S+),Active,EVENTTIME INFO  ApplicationManager - Detected app creation: APP
EVENTTIME GROUP KBPS EPS KB EV AVG_AGE MAX_AGE,max_age,TRUE,Metrics - group max age,1,"(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+Metrics\s+-\s+group=(?P<GROUP>[^\s+]+)\s+series=\""[^\""]+\"",\s+kbps=(?P<KBPS>[^\s+]+)\s+eps=(?P<EPS>[^\s+]+)\s+kb=(?P<KB>[^\s+]+)\s+ev=(?P<EV>[^\s+]+),\s+avg_age=(?P<AVG_AGE>[^\s+]+)\s+max_age=(?P<MAX_AGE>[^\s+]+)",Active,"EVENTTIME INFO  Metrics - group=GROUP series=""splunk_web_service"", kbps=KBPS eps=EPS kb=KB ev=EV, avg_age=AVG_AGE max_age=MAX_AGE"
EVENTTIME BID,deletebucketsummaries,TRUE,IndexerIf - deleteBucketSummaries bid,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+IndexerIf\s+-\s+deleteBucketSummaries\s+bid=(?P<BID>[^\s+]+),Active,EVENTTIME INFO  IndexerIf - deleteBucketSummaries bid=BID
EVENTTIME DATA_TYPE,searchassistant,TRUE,SearchAssistant - recurseSyntax: Stanza entry not found for data-type,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+WARN\s+SearchAssistant\s+-\s+recurseSyntax:\s+Stanza\s+entry\s+not\s+found\s+for\s+data-type\s+'(?P<DATA_TYPE>\S+)',Active,EVENTTIME WARN  SearchAssistant - recurseSyntax: Stanza entry not found for data-type 'DATA_TYPE'
EVENTTIME FILE,file,1,,1,"(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+WatchedFile\s+-\s+File\s+too\s+small\s+to\s+check\s+seekcrc,\s+probably\s+truncated.\s+Will\s+re-read\s+entire\s+file=(?P<FILE>[^\s+]+)",Active,"EVENTTIME INFO  WatchedFile - File too small to check seekcrc, probably truncated.  Will re-read entire file=FILE"
EVENTTIME USER_NAME SEARCH_ID REASON,search_id,TRUE, DispatchManager - maximum number for this user  has been reached,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+WARN\s+DispatchManager\s+-\s+enforceQuotas:\s+username=(?P<USER_NAME>[^\s+]+)\s+search_id=(?P<SEARCH_ID>[^\s+]+)\s+-\s+QUEUED\s+reason=(?P<REASON>\S+),Active,"EVENTTIME WARN  DispatchManager - enforceQuotas: username=USER_NAME search_id=SEARCH_ID - QUEUED reason=REASON maximum number of concurrent historical searches for this user based on their role quota has been reached. concurrency_limit=10"""
EVENTTIME GROUP NAME MAX_SIZE CURR_SIZE_KB CURR_SIZE LARGEST_SIZE SMALLEST_SIZE,smallest_size,TRUE, Metrics - group  largest size,1,"(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+Metrics\s+-\s+group=(?P<GROUP>[^\s+]+)\s+name=(?P<NAME>[^\s+]+)\s+max_size_kb=(?P<MAX_SIZE>[^\s+]+)\s+current_size_kb=(?P<CURR_SIZE_KB>[^\s+]+),\s+current_size=(?P<CURR_SIZE>[^\s+]+),\s+largest_size=(?P<LARGEST_SIZE>[^\s+]+)\s+smallest_size=(?P<SMALLEST_SIZE>[^\s+]+)",Active,"EVENTTIME INFO  Metrics - group=GROUP name=NAME max_size_kb=MAX_SIZE current_size_kb=CURR_SIZE_KB, current_size=CURR_SIZE, largest_size=LARGEST_SIZE smallest_size=SMALLEST_SIZE"
EVENTTIME GROUP SID PERIOD,sid,TRUE,Metrics - group mean preview period,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+Metrics\s+-\s+group=(?P<GROUP>[^\s+]+)\s+sid=(?P<SID>[^\s+]+)\s+mean_preview_period=(?P<PERIOD>[^\s+]+),Active,EVENTTIME INFO  Metrics - group=GROUP sid=SID mean_preview_period=PERIOD
EVENTTIME ERROR,streaming,TRUE,BucketReplicator - Failed to notify master of streaming success,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+WARN\s+BucketReplicator\s+-\s+Failed\s+to\s+notify\s+master\s+of\s+streaming\s+success.\s+Error=(?P<ERROR>[^\s+]+)\s+to\s+enqueue\s+streaming\s+success\s+job,Active,EVENTTIME WARN  BucketReplicator - Failed to notify master of streaming success. Error=ERROR to enqueue streaming success job
EVENTTIME GROUP NAME SIZE WORKERS UNITS,workers,TRUE,Metrics - group name qsize workers,1,"(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+Metrics\s+-\s+group=(?P<GROUP>[^\s+]+)\s+name=(?P<NAME>[^\s+]+)\s+qsize=(?P<SIZE>[^\s+]+),\s+workers=(?P<WORKERS>[^\s+]+)\s+qwork_units=(?P<UNITS>[^\s+]+)",Active,"EVENTTIME INFO  Metrics - group=GROUP name=NAME qsize=SIZE, workers=WORKERS qwork_units=UNITS"
EVENTTIME IPADDRESS ERROR_NO,error,1,HttpListener : Socket error-:SSL-no shared cipher,1,"(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+WARN\s+HttpListener\s+-\s+Socket\s+error\s+from\s+(?P<IPADDRESS>\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}[\#\:\-]\d+)\s+while\s+idling:\s+error:(?P<ERROR_NO>[0-9a-fA-F]+):SSL\s+routines:ssl3_get_client_hello:no\s+shared\s+cipher",Active,EVENTTIME WARN HttpListener - Socket error from IPADDRESS while idling: error:ERROR_NO:SSL routines:ssl3_get_client_hello:no shared cipher
EVENTTIME,cmnotifythread,1,,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+CMServiceThread\s+-\s+CMNotifyThread\s+finished\s+eloop,Active,EVENTTIME INFO CMServiceThread - CMNotifyThread finished eloop
EVENTTIME MASTER SLAVE,slave,TRUE,LMTracker - attempting to contact master from slave,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+LMTracker\s+-\s+attempting\s+to\s+contact\s+master=(?P<MASTER>[^\s+]+)\s+from\s+slave=(?P<SLAVE>[^\s+]+)\s+success,Active,EVENTTIME INFO  LMTracker - attempting to contact master=MASTER from slave=SLAVE success
EVENTTIME NO_OF_SOCKETS,ui,1,,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+UiHttpListener\s+-\s+Limiting\s+UI\s+HTTP\s+server\s+to\s+(?P<NO_OF_SOCKETS>\d+\.?\d*)\s+sockets,Active,EVENTTIME INFO  UiHttpListener - Limiting UI HTTP server to NO_OF_SOCKETS sockets
EVENTTIME MAX_EVENTS DATA_SOURCE DATA_HOST DATA_SOURCETYPE,single,TRUE,AggregatorMiningProcessor  - MAX_EVENTS  exceeded ,1,"(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+WARN\s+AggregatorMiningProcessor\s+-\s+Changing\s+breaking\s+behavior\s+for\s+event\s+stream\s+because\s+MAX_EVENTS\s+\((?P<MAX_EVENTS>\d+\.?\d*)\)\s+was\s+exceeded\s+without\s+a\s+single\s+event\s+break.\s+Will\s+set\s+BREAK_ONLY_BEFORE_DATE\s+to\s+False,\s+and\s+unset\s+any\s+MUST_NOT_BREAK_BEFORE\s+or\s+MUST_NOT_BREAK_AFTER\s+rules.\s+Typically\s+this\s+will\s+amount\s+to\s+treating\s+this\s+data\s+as\s+single-line\s+only.\s+-\s+data_source=(?P<DATA_SOURCE>\S+),\s+data_host=(?P<DATA_HOST>\S+),\s+data_sourcetype=(?P<DATA_SOURCETYPE>\S+)",Active,"EVENTTIME WARN  AggregatorMiningProcessor - Changing breaking behavior for event stream because MAX_EVENTS (MAX_EVENTS) was exceeded without a single event break. Will set BREAK_ONLY_BEFORE_DATE to False, and unset any MUST_NOT_BREAK_BEFORE or MUST_NOT_BREAK_AFTER rules. Typically this will amount to treating this data as single-line only. - data_source=DATA_SOURCE, data_host=DATA_HOST, data_sourcetype=DATA_SOURCETYPE"
EVENTTIME FEATURE FEATURENAME COLOR STANZA_NAME NODE_TYPE1 NODE_PATH,node_path,TRUE, PeriodicHealthReporter -  color due_to_stanza,1,"(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+PeriodicHealthReporter\s+-\s+(?P<FEATURE>\S+)=""(?P<FEATURENAME>\S+)""\s+color=(?P<COLOR>[^\s+]+)\s+due_to_stanza=""(?P<STANZA_NAME>\S+)""\s+node_type=(?P<NODE_TYPE1>\S+)\s+node_path=(?P<NODE_PATH>\S+)",Active,"EVENTTIME INFO  PeriodicHealthReporter - FEATURE=""FEATURENAME"" color=COLOR due_to_stanza=""STANZA_NAME"" node_type=NODE_TYPE1 node_path=NODE_PATH"
EVENTTIME GROUP HIST_SEARCHES REALTIME_SEARCHES,group,TRUE, Metrics - group active_realtime_searches,1,"(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+Metrics\s+-\s+group=(?P<GROUP>[^\s+]+)\s+system\s+total,\s+active_hist_searches=(?P<HIST_SEARCHES>[^\s+]+)\s+active_realtime_searches=(?P<REALTIME_SEARCHES>[^\s+]+)",Active,"EVENTTIME INFO  Metrics - group=GROUP system total, active_hist_searches=HIST_SEARCHES active_realtime_searches=REALTIME_SEARCHES"
EVENTTIME EVENT COMPONENT,component,TRUE,COMPONENT - event,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+CMSlave\s+-\s+event=(?P<EVENT>[^\s+]+)\s+component=(?P<COMPONENT>[^\s+]+),Active,EVENTTIME INFO  COMPONENT - event=EVENT component=CMSlave
EVENTTIME WEB_ADDRESS,remote,TRUE, LMStackMgr - partial init only since node has remote master,1,(?P<EVENTTIME>\d{2}\-\d{2}\-\d{4}\s+\d{2}:\d{2}:\d{2}\.\d{3}\s+\+\d{4})\s+INFO\s+LMStackMgr\s+-\s+partial\s+init\s+only\s+since\s+node\s+has\s+remote\s+master=(?P<WEB_ADDRESS>[^\s+]+),Active,EVENTTIME INFO  LMStackMgr - partial init only since node has remote master=WEB_ADDRESS
