CATEGORY,DESCRIPTION,NAME,PRIORITY,"TECHNICAL_NAME",seq
"Secure Configuration","Client 066 should be removed to reduce the attack surface","Delete client 066",Medium,A0112,112
"Secure Configuration","The ECHO ICF service should be deactivated due to known security vulnerabilities with the service.","ECHO ICF service",Medium,A0113,113
"Secure Configuration","The ERROR ICF service should be deactivated due to known security vulnerabilities with the service.","ERROR ICF service",Medium,A0114,114
"Secure Configuration","The HTMLB_SAMPLES ICF service ICF service should be deactivated due to known security vulnerabilities with the service.","HTMLB_SAMPLES ICF service",Medium,A0115,115
"Secure Configuration","The ICF service should be deactivated due to known security vulnerabilities with the service.","ICF service",Medium,A0116,116
"Secure Configuration","The IT00 ICF service ICF service should be deactivated due to known security vulnerabilities with the service.","IT00 ICF service",Medium,A0117,117
"Secure Configuration","The IT01 ICF service ICF service should be deactivated due to known security vulnerabilities with the service.","IT01 ICF service",Medium,A0118,118
"Secure Configuration","The IT02 ICF service ICF service should be deactivated due to known security vulnerabilities with the service.","IT02 ICF service",Medium,A0119,119
"Secure Configuration","The IT03 ICF service ICF service should be deactivated due to known security vulnerabilities with the service.","IT03 ICF service",Medium,A0120,120
"Secure Configuration","The IT04 ICF service ICF service should be deactivated due to known security vulnerabilities with the service.","IT04 ICF service",Medium,A0121,121
"Secure Configuration","The IT05 ICF service ICF service should be deactivated due to known security vulnerabilities with the service.","IT05 ICF service",Medium,A0122,122
"Secure Configuration","The ITMVC2 ICF service ICF service should be deactivated due to known security vulnerabilities with the service.","ITMVC2 ICF service",Medium,A0123,123
"Secure Configuration","The ITS CERTMAP ICF service should be deactivated due to known security vulnerabilities with the service.","ITS CERTMAP ICF service",Medium,A0124,124
"Secure Configuration","The ITS CERTREQ ICF service should be deactivated due to known security vulnerabilities with the service.","ITS CERTREQ ICF service",Medium,A0125,125
"Secure Configuration","The ITSM ICF service ICF service should be deactivated due to known security vulnerabilities with the service.","ITSM ICF service",Medium,A0126,126
"Secure Configuration","The REPORT ICF service should be deactivated due to known security vulnerabilities with the service.","REPORT ICF service",Medium,A0127,127
"Secure Configuration","The prxyinfo file should contain the following content:

P SOURCE=local,internal DEST=* ","RFC gateway hardening (prxyinfo)",Medium,A0128,128
"Secure Configuration","The SBSPEXT_HTMLB ICF service ICF service should be deactivated due to known security vulnerabilities with the service.","SBSPEXT_HTMLB ICF service",Medium,A0129,129
"Secure Configuration","The SBSPEXT_PHTMLB ICF service ICF service should be deactivated due to known security vulnerabilities with the service.","SBSPEXT_PHTMLB ICF service",Medium,A0130,130
"Secure Configuration","The SBSPEXT_TABLE ICF service ICF service should be deactivated due to known security vulnerabilities with the service.","SBSPEXT_TABLE ICF service",Medium,A0131,131
"Secure Configuration","The SBSPEXT_XHTMLB ICF service ICF service should be deactivated due to known security vulnerabilities with the service.","SBSPEXT_XHTMLB ICF service",Medium,A0132,132
"Secure Configuration","The SYSTEM_PRIVATE ICF service ICF service should be deactivated due to known security vulnerabilities with the service.","SYSTEM_PRIVATE ICF service",Medium,A0133,133
"Secure Configuration","The SYSTEM_PUBLIC ICF service ICF service should be deactivated due to known security vulnerabilities with the service.","SYSTEM_PUBLIC ICF service",Medium,A0134,134
"Secure Configuration","The XRFC ICF service should be deactivated due to known security vulnerabilities with the service.","XRFC ICF service",Medium,A0135,135
"Secure Configuration","The XRFC_TEST ICF service should be deactivated due to known security vulnerabilities with the service.","XRFC_TEST ICF service",Medium,A0136,136
