kl_host,kl_first_seen,kl_popularity,kl_threat
campingbichodagua.com.br,02.06.2017 07:55,2,Trojan-PSW.Win32.Fareit
dominiocassis.com.br,09.06.2015 20:15,2,Trojan-Ransom.Win32.Cryptodef
holidaycoasttours.com.au,20.03.2017 04:05,2,Backdoor.Win32.Androm
grupoagris.com.br,28.03.2017 05:17,2,Trojan.Win32.Inject
77.35.244.18,24.06.2017 15:58,2,Trojan.Win32.Agent
apprepairs.co.uk,13.11.2013 14:38,2,CnC.Win32.Generic
sistemacplus.com.br,24.04.2017 00:43,2,Trojan-Downloader.Win32.Agent
matheusprado.com.br,22.06.2015 01:59,2,Trojan-Ransom.Win32.Cryptodef
teamoz.com.au,06.06.2014 17:00,2,Trojan-Spy.Win32.Zbot
excellenceawards.org.au,14.01.2013 09:33,2,Trojan-Spy.Win32.Zbot
217.23.15.182,02.05.2017 01:00,2,Backdoor.Win32.Mokes
217.23.6.9,08.04.2017 23:48,2,Trojan.Win32.Kasidet
109.236.84.160,11.11.2016 01:21,2,Trojan.Win32.Yakes
109.236.81.125,01.07.2017 06:29,2,Worm.Win32.Ngrbot
alimco.com.co,02.04.2015 01:15,2,Trojan-Ransom.Win32.Cryptodef
89.38.99.130,24.05.2017 18:42,2,Worm.Win32.Ngrbot
cjmc.or.kr,08.04.2010 12:56,2,Trojan-Spy.Win32.Zbot
orangegraphics.altervista.org,08.04.2010 12:56,2,CnC.Win32.Generic
cryptos.no-ip.org,25.12.2013 21:59,2,Trojan.MSIL.Zapchast
134.255.220.79,23.11.2016 17:24,2,Trojan-Downloader.Win32.Andromeda
223.205.13.216,24.06.2017 11:09,2,Trojan.Win32.Agent
sbenter.co.in,17.02.2014 16:19,2,CnC.Win32.Generic
treefix.uk.com,24.12.2012 14:46,2,Trojan.Win32.IRCbot
cmacabamento.com.br,09.08.2013 12:08,2,CnC.Win32.Generic
rochaesodre.com.br,21.01.2014 20:17,2,CnC.Win32.Generic
cortinas-de-pelo.com.ar,30.03.2015 21:41,2,Trojan-Spy.Win32.Zbot
crete-holidays.com.gr,20.03.2014 19:26,2,Trojan-Spy.Win32.Zbot
aireacondicionadomexico.com.mx,22.02.2013 15:14,2,Trojan-Spy.Win32.Zbot
520hack.f3322.net,28.06.2017 07:36,2,Trojan.Win32.MicroFake
lifesgood.com.my,13.04.2015 17:16,2,Trojan-Spy.Win32.Zbot
yilmazcelikservis.com.tr,28.04.2014 06:58,2,Trojan-PSW.Win32.Fareit
blcartuchos.com.br,10.06.2015 19:37,2,Trojan-Spy.Win32.Zbot
mtesthost.dynu.com,20.09.2016 22:58,2,Backdoor.MSIL.Bladabindi
109.120.140.41,04.05.2017 13:13,2,Backdoor.Win32.Androm
rizambesi.com.au,21.08.2015 01:33,2,Trojan-Downloader.Win32.Upatre
harboursideelectrical.com.au,20.03.2015 23:06,2,Trojan-Spy.Win32.Zbot
procasaweb.com.mx,11.01.2017 15:29,2,Trojan.Win32.Neurevt
redwood.no-ip.biz,22.11.2011 18:07,2,Trojan.Win32.Xtrat
opencart.com.br,29.07.2014 11:21,2,Trojan-Spy.Win32.Zbot
oscar-bif.zapto.org,09.10.2013 17:51,2,CnC.Win32.Generic
6theastgrinstead.org.uk,21.07.2014 01:21,2,Trojan-Spy.Win32.Zbot
alemania.ddns.net,03.12.2016 03:13,2,Backdoor.Win32.DarkKomet
103.80.18.179,01.07.2017 18:04,2,Trojan-Spy.AndroidOS.SmForw
dwv.com.br,09.09.2014 08:26,2,Trojan-Spy.MSIL.Banker
financer.co.il,08.05.2014 01:44,2,Trojan-Spy.Win32.Zbot
birchiphotel.com.au,28.04.2015 18:41,2,Trojan-Spy.Win32.Zbot
tahoo.publicvm.com,24.06.2017 14:47,2,Trojan.MSIL.Cryptos
222.113.82.10,23.03.2017 04:06,2,Backdoor.Win32.Hlux
