"object-group",object,description
ltmRamUriExclGroup,ltmRamUriExclName,"The name of a HTTP profile."
ltmRamUriExclGroup,ltmRamUriExclIndex,"The index of RAM cached excludes URI for the specified HTTP profile."
ltmRamUriExclGroup,ltmRamUriExclUri,"The RAM cached excludes URI for the specified profile."
ltmRamUriInclGroup,ltmRamUriInclNumber,"Deprecated! The number of ltmHttpProfileRamUriIncl entries in the table."
ltmRamUriInclGroup,ltmRamUriInclName,"The name of a HTTP profile."
ltmRamUriInclGroup,ltmRamUriInclIndex,"The index of RAM cached includes URI for the specified HTTP profile."
ltmRamUriInclGroup,ltmRamUriInclUri,"The RAM cached includes URI for the specified profile."
ltmRamUriPinGroup,ltmRamUriPinNumber,"Deprecated! The number of ltmHttpProfileRamUriPin entries in the table."
ltmRamUriPinGroup,ltmRamUriPinName,"The name of a HTTP profile."
ltmRamUriPinGroup,ltmRamUriPinIndex,"The index of RAM cached URI pinned for the specified HTTP profile."
ltmRamUriPinGroup,ltmRamUriPinUri,"The RAM cached URI pinned for the specified profile."
ltmDnsProfileGroup,ltmDnsProfileNumber,"The number of ltmDnsProfile entries in the table."
ltmDnsProfileGroup,ltmDnsProfileName,"The name of a DNS profile."
ltmDnsProfileGroup,ltmDnsProfileConfigSource,"The state that specifies whether this is a base/pre-configured profile or user defined profile."
ltmDnsProfileGroup,ltmDnsProfileDefaultName,"The name of the profile from which the specified profile derives its attribute default values."
ltmDnsProfileGroup,ltmDnsProfileGtmEnabled,"The state indicating whether or not to allow GTMD (Global Traffic Management Daemon) to handle DNS resolution for DNS queries and responses that contain Wide IP names."
ltmDnsProfileGroup,ltmDnsProfileDns64Mode,"The mode which specifies whether to perform DNS64 translation, and how to perform it: disable - no DNS64 translation is performed; secondary - send AAAA first, if no result send another A; immediate - send both AAAA and A together; v4only - send only A request."
ltmDnsProfileGroup,ltmDnsProfileDns64PrefixType,"The IP address type of DNS64 prefix."
ltmDnsProfileGroup,ltmDnsProfileDns64Prefix,"The prefix for DNS64 mapping for the specified DNS profile."
ltmDnsProfileGroup,ltmDnsProfileDns64AdditionalRewrite,"Controls system behavior when a DNS response contains AAAA or A record(s) in the additional section. When DNS64 is enabled, this option selects how to rewrite (or not rewrite) these entries: disable - do not rewrite records in the additional section; v6only - the system deletes any A records in the additional section; v4only - the system deletes any AAAA records in the additional section, and rewrites A records into AAAA by prepending the IPv6 prefix; any - the system allows any AAAA records in the additional section, and rewrites A records into AAAA by prepending the IPv6 prefix."
ltmDnsProfileGroup,ltmDnsProfileDnsLastAction,"Last action that will be taken if there is no matching zone name, i.e. a DNS query does not match a GTM Wide IP name, is not a DNSSEC query type (e.g. DNSKEY, etc.), does not match a DNS-Express Zone name, and DNS cache is not configured/enabled. allow - last action is to pass the DNS query to either a pool member or on-box BIND. This is pre-11.x behavior: drop - last action is to drop the DNS query; reject - last action is to send a DNS response with a REFUSED rcode set in the header; hint - last action is to send a DNS response with a list of root name servers; noerror - last action is to send a DNS response with a NOERROR rcode set in the header."
ltmDnsProfileGroup,ltmDnsProfileUseLocalBind,"The state indicating whether or not local BIND is used as a DNS resource."
ltmDnsProfileGroup,ltmDnsProfileDnsExpressEnabled,"The state indicating whether or not DNS Express is enabled for the specified profile."
ltmDnsProfileGroup,ltmDnsProfileDnssecEnabled,"The state indicating whether or not DNSSEC is enabled for the specified profile."
ltmDnsProfileGroup,ltmDnsProfileCacheEnabled,"The state indicating whether or not DNS cache is enabled for the specified profile."
ltmDnsProfileGroup,ltmDnsProfileDnsCache,"The name of the DNS cache used for the specified profile."
ltmDnsProfileGroup,ltmDnsProfileProcessRd,"The state indicating whether or not the further processing of clientside DNS packets with the RD (recursion desired) bit set in the header is allowed. If set to false, packet is subject to last action processing. This is for DDOS mitigation."
ltmDnsProfileGroup,ltmDnsProfileAvrDnsStatSampleRate,"The AVR DNS statistics sample rate for the specified profile. When the value is 0, no DNS queries will be stored in analytics database. When the value is 1, all DNS queries will be stored. When the value is an integer N (N>1), only one DNS query for every N DNS queries will be stored."
ltmDnsProfileGroup,ltmDnsProfileSecurity,"The name of the DNS security used for the specified profile."
ltmDnsProfileGroup,ltmDnsProfileSecurityEnabled,"The state indicating whether or not DNS firewall is enabled for the specified profile."
ltmDnsProfileGroup,ltmDnsProfileLoggingProfile,"The name of DNS logging profile that is being used."
ltmDnsProfileGroup,ltmDnsProfileLoggingEnabled,"The state indicating whether or not DNS packet logging is enabled for the specified profile."
ltmDnsProfileGroup,ltmDnsProfileFastDnsEnabled,"The state indicating whether or not to allow DNS Rapid Response to handle DNS resolution for DNS queries that contain GTM Wide IP names or part of a DNS-Express Zone."
ltmHttpClassGroup,ltmHttpClassNumber,"Deprecated! The number of ltmHttpClassProfile entries in the table."
ltmHttpClassGroup,ltmHttpClassName,"Deprecated! The name of a HTTP class profile."
ltmHttpClassGroup,ltmHttpClassConfigSource,"Deprecated! The state that specifies whether this is a base/pre-configured profile or user defined profile."
ltmHttpClassGroup,ltmHttpClassDefaultName,"Deprecated! The name of the profile from which the specified profile derives its attribute default values."
ltmHttpClassGroup,ltmHttpClassPoolName,"Deprecated! The pool name which will be used when the specified class matches."
ltmHttpClassGroup,ltmHttpClassAsmEnabled,"Deprecated! The state indicating whether this is an Application Security Module class or not."
ltmHttpClassGroup,ltmHttpClassWaEnabled,"Deprecated! The state indicating whether this is a Web Accelerator class or not."
ltmHttpClassGroup,ltmHttpClassRedirectLocation,"Deprecated! The string (which may include a TCL expression) to indicate where to redirect the original HTTP request once a match occurs."
ltmHttpClassGroup,ltmHttpClassUrlRewrite,"Deprecated! The string (which may include a TCL expression) with which to rewrite the URLs."
ltmHttpClassHostGroup,ltmHttpClassHostNumber,"Deprecated! The number of ltmHttpClassProfileHost entries in the table."
ltmHttpClassHostGroup,ltmHttpClassHostName,"Deprecated! The name of a HTTP class profile."
ltmHttpClassHostGroup,ltmHttpClassHostIndex,"Deprecated! The index of host match patterns for the specified HTTP class profile."
ltmHttpClassHostGroup,ltmHttpClassHostString,"Deprecated! The host match pattern for the specified profile."
ltmHttpClassUriGroup,ltmHttpClassUriNumber,"Deprecated! The number of ltmHttpClassProfileUri entries in the table."
ltmHttpClassUriGroup,ltmHttpClassUriName,"Deprecated! The name of a HTTP class profile."
ltmHttpClassUriGroup,ltmHttpClassUriIndex,"Deprecated! The index of URI match patterns for the specified HTTP class profile."
ltmHttpClassUriGroup,ltmHttpClassUriString,"Deprecated! The URI match pattern for the specified profile."
ltmHttpClassHeadGroup,ltmHttpClassHeadNumber,"Deprecated! The number of ltmHttpClassProfileHead entries in the table."
ltmHttpClassHeadGroup,ltmHttpClassHeadName,"Deprecated! The name of a HTTP class profile."
ltmHttpClassHeadGroup,ltmHttpClassHeadIndex,"Deprecated! The index of HTTP request header match patterns for the specified HTTP class profile."
ltmHttpClassHeadGroup,ltmHttpClassHeadString,"Deprecated! The HTTP request header match pattern for the specified profile."
ltmHttpClassCookGroup,ltmHttpClassCookNumber,"Deprecated! The number of ltmHttpClassProfileCook entries in the table."
ltmHttpClassCookGroup,ltmHttpClassCookName,"Deprecated! The name of a HTTP class profile."
ltmHttpClassCookGroup,ltmHttpClassCookIndex,"Deprecated! The index of HTTP cookie match patterns for the specified HTTP class profile."
ltmHttpClassCookGroup,ltmHttpClassCookString,"Deprecated! The HTTP cookie match pattern for the specified profile."
ltmHttpClassStatGroup,ltmHttpClassStatResetStats,"Deprecated! The action to reset resettable statistics data in ltmHttpClassProfileStat. Setting this value to 1 will reset statistics data. Note, some statistics data may not be reset including data that are incremental counters."
ltmHttpClassStatGroup,ltmHttpClassStatNumber,"Deprecated! The number of ltmHttpClassProfileStat entries in the table."
ltmHttpClassStatGroup,ltmHttpClassStatName,"Deprecated! The name of a HTTP class profile."
ltmHttpClassStatGroup,ltmHttpClassStatCookiePersistInserts,"Deprecated! The number of successful attempts to insert HTTP headers for cookie persistence (set-cookie header insertions)."
ltmHttpClassStatGroup,ltmHttpClassStatResp2xxCnt,"Deprecated! The number of server-side responses in range of 200 to 206 (successful responses)."
ltmHttpClassStatGroup,ltmHttpClassStatResp3xxCnt,"Deprecated! The number of server-side responses in range of 300 to 307 (redirection responses)."
ltmHttpClassStatGroup,ltmHttpClassStatResp4xxCnt,"Deprecated! The number of server-side responses in range of 400 to 417 (client errors)."
ltmHttpClassStatGroup,ltmHttpClassStatResp5xxCnt,"Deprecated! The number of server-side responses in range of 500 to 505 (server errors)."
ltmHttpClassStatGroup,ltmHttpClassStatNumberReqs,"Deprecated! The total number of HTTP requests."
ltmHttpClassStatGroup,ltmHttpClassStatGetReqs,"Deprecated! The total number of HTTP get requests."
ltmHttpClassStatGroup,ltmHttpClassStatPostReqs,"Deprecated! The total number of HTTP post requests."
ltmHttpClassStatGroup,ltmHttpClassStatV9Reqs,"Deprecated! The total number of version 9 requests."
ltmHttpClassStatGroup,ltmHttpClassStatV10Reqs,"Deprecated! The total number of version 10 requests."
ltmHttpClassStatGroup,ltmHttpClassStatV11Reqs,"Deprecated! The total number of version 11 requests."
ltmHttpClassStatGroup,ltmHttpClassStatV9Resp,"Deprecated! The total number of version 9 responses."
ltmHttpClassStatGroup,ltmHttpClassStatV10Resp,"Deprecated! The total number of version 10 responses."
ltmHttpClassStatGroup,ltmHttpClassStatV11Resp,"Deprecated! The total number of version 11 responses."
ltmHttpClassStatGroup,ltmHttpClassStatMaxKeepaliveReq,"Deprecated! The maximum number of requests made in a connection."
ltmHttpClassStatGroup,ltmHttpClassStatRespBucket1k,"Deprecated! The number of responses under 1k."
ltmHttpClassStatGroup,ltmHttpClassStatRespBucket4k,"Deprecated! The number of responses between 1 - 4k."
ltmHttpClassStatGroup,ltmHttpClassStatRespBucket16k,"Deprecated! The number of responses between 4 - 16k."
ltmHttpClassStatGroup,ltmHttpClassStatRespBucket32k,"Deprecated! The number of responses between 16 - 32k."
ltmHttpClassStatGroup,ltmHttpClassStatRespBucket64k,"Deprecated! Please use larger buckets."
ltmHttpClassStatGroup,ltmHttpClassStatPrecompressBytes,"Deprecated! The number of response bytes before compression has taken place."
ltmHttpClassStatGroup,ltmHttpClassStatPostcompressBytes,"Deprecated! The number of response bytes after compression has taken place."
ltmHttpClassStatGroup,ltmHttpClassStatNullCompressBytes,"Deprecated! The number of bytes subjected to NULL compression (for license enforcement)."
ltmHttpClassStatGroup,ltmHttpClassStatHtmlPrecompressBytes,"Deprecated! The number of pre-compressed bytes for the MIME-Types: HTML."
ltmHttpClassStatGroup,ltmHttpClassStatHtmlPostcompressBytes,"Deprecated! The number of post-compressed bytes for the MIME-Types: HTML."
ltmHttpClassStatGroup,ltmHttpClassStatCssPrecompressBytes,"Deprecated! The number of pre-compressed bytes for the MIME-Types: CSS."
ltmHttpClassStatGroup,ltmHttpClassStatCssPostcompressBytes,"Deprecated! The number of post-compressed bytes for the MIME-Types: CSS."
ltmHttpClassStatGroup,ltmHttpClassStatJsPrecompressBytes,"Deprecated! The number of pre-compressed bytes for the MIME-Types: Javascript."
ltmHttpClassStatGroup,ltmHttpClassStatJsPostcompressBytes,"Deprecated! The number of post-compressed bytes for the MIME-Types: Javascript."
ltmHttpClassStatGroup,ltmHttpClassStatXmlPrecompressBytes,"Deprecated! The number of pre-compressed bytes for the MIME-Types: XML."
ltmHttpClassStatGroup,ltmHttpClassStatXmlPostcompressBytes,"Deprecated! The number of post-compressed bytes for the MIME-Types: XML."
ltmHttpClassStatGroup,ltmHttpClassStatSgmlPrecompressBytes,"Deprecated! The number of pre-compressed bytes for the MIME-Types: SGML."
ltmHttpClassStatGroup,ltmHttpClassStatSgmlPostcompressBytes,"Deprecated! The number of post-compressed bytes for the MIME-Types: SGML."
ltmHttpClassStatGroup,ltmHttpClassStatPlainPrecompressBytes,"Deprecated! The number of pre-compressed bytes for the MIME-Types: Plain."
ltmHttpClassStatGroup,ltmHttpClassStatPlainPostcompressBytes,"Deprecated! The number of post-compressed bytes for the MIME-Types: Plain."
ltmHttpClassStatGroup,ltmHttpClassStatOctetPrecompressBytes,"Deprecated! The number of pre-compressed bytes for the MIME-Types: Octet stream."
ltmHttpClassStatGroup,ltmHttpClassStatOctetPostcompressBytes,"Deprecated! The number of post-compressed bytes for the MIME-Types: Octet stream."
ltmHttpClassStatGroup,ltmHttpClassStatImagePrecompressBytes,"Deprecated! The number of pre-compressed bytes for the MIME-Types: Images."
ltmHttpClassStatGroup,ltmHttpClassStatImagePostcompressBytes,"Deprecated! The number of post-compressed bytes for the MIME-Types: Images."
ltmHttpClassStatGroup,ltmHttpClassStatVideoPrecompressBytes,"Deprecated! The number of pre-compressed bytes for the MIME-Types: Video files."
ltmHttpClassStatGroup,ltmHttpClassStatVideoPostcompressBytes,"Deprecated! The number of post-compressed bytes for the MIME-Types: Video files."
ltmHttpClassStatGroup,ltmHttpClassStatAudioPrecompressBytes,"Deprecated! The number of pre-compressed bytes for the MIME-Types: Audio files."
ltmHttpClassStatGroup,ltmHttpClassStatAudioPostcompressBytes,"Deprecated! The number of post-compressed bytes for the MIME-Types: Audio files."
ltmHttpClassStatGroup,ltmHttpClassStatOtherPrecompressBytes,"Deprecated! The number of pre-compressed bytes for the MIME-Types: other than HTML, CSS, Javascript, XML, SGML, Plain, Images, Video files, Audio files."
ltmHttpClassStatGroup,ltmHttpClassStatOtherPostcompressBytes,"Deprecated! The number of post-compressed bytes for the MIME-Types: other than HTML, CSS, Javascript, XML, SGML, Plain, Images, Video files, Audio files."
ltmHttpClassStatGroup,ltmHttpClassStatRamcacheHits,"Deprecated! The number of RAM cache hits."
ltmHttpClassStatGroup,ltmHttpClassStatRamcacheMisses,"Deprecated! The number of RAM cache misses, excluding un-cacheable data."
ltmHttpClassStatGroup,ltmHttpClassStatRamcacheMissesAll,"Deprecated! The total number of RAM cache misses."
ltmHttpClassStatGroup,ltmHttpClassStatRamcacheHitBytes,"Deprecated! The number of RAM cache hits in bytes."
ltmHttpClassStatGroup,ltmHttpClassStatRamcacheMissBytes,"Deprecated! The number of RAM cache misses in bytes, excluding un-cacheable data."
ltmHttpClassStatGroup,ltmHttpClassStatRamcacheMissBytesAll,"Deprecated! The total number of RAM cache misses in bytes."
ltmIiopProfileGroup,ltmIiopProfileNumber,"The number of ltmIiopProfile entries in the table."
ltmIiopProfileGroup,ltmIiopProfileName,"The name of a IIOP profile."
ltmIiopProfileGroup,ltmIiopProfileConfigSource,"The state that specifies whether this is a base/pre-configured profile or user defined profile."
ltmIiopProfileGroup,ltmIiopProfileDefaultName,"The name of the profile from which the specified profile derives its attribute default values."
ltmIiopProfileGroup,ltmIiopProfilePersistRequestId,"The state that if true, persist the request ID."
ltmIiopProfileGroup,ltmIiopProfilePersistObjectKey,"The state that if true, persist the object key."
ltmIiopProfileGroup,ltmIiopProfileAbortOnTimeout,"The state that if true, abort the connection when response is timed out."
ltmIiopProfileGroup,ltmIiopProfileTimeout,"The response timeout for the specified IIOP profile."
ltmIiopProfileStatGroup,ltmIiopProfileStatResetStats,"The action to reset resettable statistics data in ltmIiopProfileStat. Setting this value to 1 will reset statistics data. Note, some statistics data may not be reset including data that are incremental counters."
ltmIiopProfileStatGroup,ltmIiopProfileStatNumber,"The number of ltmIiopProfileStat entries in the table."
ltmIiopProfileStatGroup,ltmIiopProfileStatName,"The name of a IIOP profile."
ltmIiopProfileStatGroup,ltmIiopProfileStatNumRequests,"The total number of IIOP requests."
ltmIiopProfileStatGroup,ltmIiopProfileStatNumResponses,"The total number of IIOP responses."
ltmIiopProfileStatGroup,ltmIiopProfileStatNumCancels,"The total number of IIOP cancel messages."
ltmIiopProfileStatGroup,ltmIiopProfileStatNumErrors,"The total number of IIOP error messages."
ltmIiopProfileStatGroup,ltmIiopProfileStatNumFragments,"The total number of IIOP fragments."
ltmRtspProfileGroup,ltmRtspProfileNumber,"The number of ltmRtspProfile entries in the table."
ltmRtspProfileGroup,ltmRtspProfileName,"The name of a RTSP profile."
ltmRtspProfileGroup,ltmRtspProfileConfigSource,"The state that specifies whether this is a base/pre-configured profile or user defined profile."
ltmRtspProfileGroup,ltmRtspProfileDefaultName,"The name of the profile from which the specified profile derives its attribute default values."
ltmRtspProfileGroup,ltmRtspProfileIdleTimeout,"The idle timeout (in seconds) for the specified RTSP profile."
ltmRtspProfileGroup,ltmRtspProfileMaxHeaderSize,"The maximum header size in bytes for the specified RTSP profile."
ltmRtspProfileGroup,ltmRtspProfileMaxQueuedData,"The maximum queued data in bytes for the specified RTSP profile."
ltmRtspProfileGroup,ltmRtspProfileUnicastRedirect,"The state indicating whether unicast redirect is enable or not for the specified RTSP profile."
ltmRtspProfileGroup,ltmRtspProfileMulticastRedirect,"The state indicating whether multicast redirect is enable or not for the specified RTSP profile."
ltmRtspProfileGroup,ltmRtspProfileSessionReconnect,"The state indicating whether session reconnecting is enable or not for the specified RTSP profile."
ltmRtspProfileGroup,ltmRtspProfileRealHttpPersistence,"The state indicating whether real HTTP persistence is enable or not for the specified RTSP profile."
ltmRtspProfileGroup,ltmRtspProfileProxy,"The proxy state for the specified RTSP profile."
ltmRtspProfileGroup,ltmRtspProfileProxyHeader,"The proxy header for the specified RTSP profile."
ltmRtspProfileGroup,ltmRtspProfileRtpPort,"The RTP port for the specified RTSP profile."
ltmRtspProfileGroup,ltmRtspProfileRtcpPort,"The RTCP port for the specified RTSP profile."
ltmRtspProfileGroup,ltmRtspProfileLogPublisher,"Specifies the name of the log publisher that logs ALG events, if any."
ltmRtspProfileGroup,ltmRtspProfileLogProfile,"Specifies the name of the log profile that control the logging of ALG events, if any."
ltmRtspProfileStatGroup,ltmRtspProfileStatResetStats,"The action to reset resettable statistics data in ltmRtspProfileStat. Setting this value to 1 will reset statistics data. Note, some statistics data may not be reset including data that are incremental counters."
ltmRtspProfileStatGroup,ltmRtspProfileStatNumber,"The number of ltmRtspProfileStat entries in the table."
ltmRtspProfileStatGroup,ltmRtspProfileStatName,"The name of a RTSP profile."
ltmRtspProfileStatGroup,ltmRtspProfileStatNumRequests,"The total number of RTSP requests for the specified RTSP profile."
ltmRtspProfileStatGroup,ltmRtspProfileStatNumResponses,"The total number of RTSP responses for the specified RTSP profile."
ltmRtspProfileStatGroup,ltmRtspProfileStatNumErrors,"The total number of RTSP errors for the specified RTSP profile."
ltmRtspProfileStatGroup,ltmRtspProfileStatNumInterleaved,"The total number of interleaved RTSP data packets for the specified RTSP profile."
ltmSctpProfileGroup,ltmSctpProfileNumber,"The number of ltmSctpProfile entries in the table."
ltmSctpProfileGroup,ltmSctpProfileName,"The name of a SCTP profile."
ltmSctpProfileGroup,ltmSctpProfileConfigSource,"The state that specifies whether this is a base/pre-configured profile or user defined profile."
ltmSctpProfileGroup,ltmSctpProfileDefaultName,"The name of the profile from which the specified profile derives its attribute default values."
ltmSctpProfileGroup,ltmSctpProfileRcvOrdered,"The state indicating whether or not to in-order deliver messages to upper layer for the specified profile."
ltmSctpProfileGroup,ltmSctpProfileSndPartial,"The state indicating whether or not to accept partial of application data for the specified profile."
ltmSctpProfileGroup,ltmSctpProfileTcpShutdown,"The state indicating whether or not to emulate TCP closing for the specified profile."
ltmSctpProfileGroup,ltmSctpProfileResetOnTimeout,"The state indicating whether or not reset connection when timeout for the specified profile."
ltmSctpProfileGroup,ltmSctpProfileOutStreams,"The total number of out-bound streams for the specified profile."
ltmSctpProfileGroup,ltmSctpProfileInStreams,"The total number of in-bound streams for the specified profile."
ltmSctpProfileGroup,ltmSctpProfileSndbuf,"The send buffer size in bytes for the specified profile."
ltmSctpProfileGroup,ltmSctpProfileRcvwnd,"The received window size, should be prorated to ltmSctpProfileRxChuncks for the specified profile."
ltmSctpProfileGroup,ltmSctpProfileTxChunks,"The number of sending chunk buffer for the specified profile."
ltmSctpProfileGroup,ltmSctpProfileRxChunks,"The number of receiving chunk buffer for the specified profile."
ltmSctpProfileGroup,ltmSctpProfileCookieExpiration,"The valid duration of cookie for the specified profile."
ltmSctpProfileGroup,ltmSctpProfileInitMaxrtx,"The maximum number of retries to establish a connection for the specified profile."
ltmSctpProfileGroup,ltmSctpProfileAssocMaxrtx,"The maximum number of retries to send data for the specified profile."
ltmSctpProfileGroup,ltmSctpProfileProxyBufferLow,"The proxy buffer level at which the receive window is opened for the specified profile."
ltmSctpProfileGroup,ltmSctpProfileProxyBufferHigh,"The proxy buffer level at which the receive window is closed for the specified profile."
ltmSctpProfileGroup,ltmSctpProfileIdleTimeout,"The number of seconds without traffic before a connection is eligible for deletion for the specified profile."
ltmSctpProfileGroup,ltmSctpProfileHeartbeatInterval,"The number of seconds to send heartbeat for the specified profile."
ltmSctpProfileGroup,ltmSctpProfileIpTosToPeer,"The IP type of service set in packets sent to peer for the specified profile."
ltmSctpProfileGroup,ltmSctpProfileLinkQosToPeer,"The link quality of service set in packets sent to peer for the specified profile."
ltmSctpProfileGroup,ltmSctpProfileSecret,"The internal secret string used to HMAC cookie for the specified profile."
ltmSctpProfileGroup,ltmSctpProfileMaxBurst,"The maximum number of data packets sent in a burst."
ltmSctpProfileGroup,ltmSctpProfileHeartbeatMaxBurst,"The maximum number of heartbeat packets sent in a burst."
ltmSctpProfileStatGroup,ltmSctpProfileStatResetStats,"The action to reset resettable statistics data in ltmSctpProfileStat. Setting this value to 1 will reset statistics data. Note, some statistics data may not be reset including data that are incremental counters."
ltmSctpProfileStatGroup,ltmSctpProfileStatNumber,"The number of ltmSctpProfileStat entries in the table."
ltmSctpProfileStatGroup,ltmSctpProfileStatName,"The name of a SCTP profile."
ltmSctpProfileStatGroup,ltmSctpProfileStatAccepts,"The total number of accepted connections for the specified profile."
ltmSctpProfileStatGroup,ltmSctpProfileStatAcceptfails,"The total number of not accepted responses for the specified profile."
ltmSctpProfileStatGroup,ltmSctpProfileStatConnects,"The total number of established connections for the specified profile."
ltmSctpProfileStatGroup,ltmSctpProfileStatConnfails,"The total number of connections failures for the specified profile."
ltmSctpProfileStatGroup,ltmSctpProfileStatExpires,"The total number of expired connections due to idle timeout for the specified profile."
ltmSctpProfileStatGroup,ltmSctpProfileStatAbandons,"The total number of abandoned connections due to retries/keep-alives for the specified profile."
ltmSctpProfileStatGroup,ltmSctpProfileStatRxrst,"The total number of received Abort chunks for the specified profile."
ltmSctpProfileStatGroup,ltmSctpProfileStatRxbadsum,"The total number of bad checksum in received packets for the specified profile."
ltmSctpProfileStatGroup,ltmSctpProfileStatRxcookie,"The total number of received SCTP cookies (including bad and good ones) for the specified profile."
ltmSctpProfileStatGroup,ltmSctpProfileStatRxbadcookie,"The total number of received bad SCTP cookies for the specified profile."
ltmUserStatProfileGroup,ltmUserStatProfileNumber,"The number of ltmUserStatProfile entries in the table."
ltmUserStatProfileGroup,ltmUserStatProfileName,"The name of an user-defined statistics profile."
ltmUserStatProfileGroup,ltmUserStatProfileConfigSource,"The state that specifies whether this is a base/pre-configured profile or user defined profile."
ltmUserStatProfileGroup,ltmUserStatProfileDefaultName,"The name of the profile from which the specified profile derives its attribute default values."
ltmUserStatProfileGroup,ltmUserStatProfileStatResetStats,"The action to reset resettable statistics data in ltmUserStatProfileStat. Setting this value to 1 will reset statistics data. Note, some statistics data may not be reset including data that are incremental counters."
ltmUserStatProfileGroup,ltmUserStatProfileStatNumber,"The number of ltmUserStatProfileStat entries in the table."
ltmUserStatProfileGroup,ltmUserStatProfileStatName,"The name of an user-defined statistics profile."
ltmUserStatProfileGroup,ltmUserStatProfileStatFieldId,"The index of the user-defined statistics field."
ltmUserStatProfileGroup,ltmUserStatProfileStatFieldName,"The name of the related user-defined statistic field."
ltmUserStatProfileGroup,ltmUserStatProfileStatFieldValue,"The value of the related user-defined statistic field."
ltmVsHttpClassGroup,ltmVsHttpClassNumber,"Deprecated! The number of ltmVirtualServHttpClass entries in the table."
ltmVsHttpClassGroup,ltmVsHttpClassVsName,"Deprecated! The name of a virtual server."
ltmVsHttpClassGroup,ltmVsHttpClassProfileName,"Deprecated! The name of HTTP class profile with which the specified virtual server associate."
ltmVsHttpClassGroup,ltmVsHttpClassPriority,"Deprecated! The priority of the profile among profiles used by the specified virtual server."
ltmNodeAddrStatusGroup,ltmNodeAddrStatusNumber,"The number of ltmNodeAddrStatus entries in the table."
ltmNodeAddrStatusGroup,ltmNodeAddrStatusAddrType,"The IP address type of ltmNodeAddrStatusAddr."
ltmNodeAddrStatusGroup,ltmNodeAddrStatusAddr,"The IP address of a node. It is interpreted within the context of a ltmNodeAddrStatusAddrType value."
ltmNodeAddrStatusGroup,ltmNodeAddrStatusAvailState,"The availability of the specified node address indicated in color: none - error; green - available in some capacity; yellow - not currently available; red - not available; blue - availability is unknown; gray - unlicensed."
ltmNodeAddrStatusGroup,ltmNodeAddrStatusEnabledState,"The activity status of the specified node address, as specified by the user."
ltmNodeAddrStatusGroup,ltmNodeAddrStatusParentType,"Deprecated! This is an internal data. The type of parent object which disabled the specified node address."
ltmNodeAddrStatusGroup,ltmNodeAddrStatusDetailReason,"The detail description of the specified node's status."
ltmNodeAddrStatusGroup,ltmNodeAddrStatusName,"Node name."
ltmPoolStatusGroup,ltmPoolStatusNumber,"The number of ltmPoolStatus entries in the table."
ltmPoolStatusGroup,ltmPoolStatusName,"The name of a pool."
ltmPoolStatusGroup,ltmPoolStatusAvailState,"The availability of the specified pool indicated in color: none - error; green - available in some capacity; yellow - not currently available; red - not available; blue - availability is unknown; gray - unlicensed."
ltmPoolStatusGroup,ltmPoolStatusEnabledState,"The activity status of the specified pool, as specified by the user."
ltmPoolStatusGroup,ltmPoolStatusParentType,"Deprecated! This is an internal data. The type of parent object which disabled the specified pool."
ltmPoolStatusGroup,ltmPoolStatusDetailReason,"The detail description of the specified pool's status."
ltmPoolMbrStatusGroup,ltmPoolMbrStatusNumber,"The number of ltmPoolMemberStatus entries in the table."
ltmPoolMbrStatusGroup,ltmPoolMbrStatusPoolName,"The name of a pool."
ltmPoolMbrStatusGroup,ltmPoolMbrStatusAddrType,"The IP address type of ltmPoolMbrStatusAddr."
ltmPoolMbrStatusGroup,ltmPoolMbrStatusAddr,"The IP address of a pool member in the specified pool. It is interpreted within the context of an ltmPoolMbrStatusAddrType value."
ltmPoolMbrStatusGroup,ltmPoolMbrStatusPort,"The port number of the specified pool member."
ltmPoolMbrStatusGroup,ltmPoolMbrStatusAvailState,"The availability of the specified pool member indicated in color: none - error; green - available in some capacity; yellow - not currently available; red - not available; blue - availability is unknown; gray - unlicensed."
ltmPoolMbrStatusGroup,ltmPoolMbrStatusEnabledState,"The activity status of the specified pool member, as specified by the user."
ltmPoolMbrStatusGroup,ltmPoolMbrStatusParentType,"Deprecated! This is an internal data. The type of parent object which disabled the specified pool member."
ltmPoolMbrStatusGroup,ltmPoolMbrStatusDetailReason,"The detail description of the specified pool member's status."
ltmPoolMbrStatusGroup,ltmPoolMbrStatusNodeName,"Name of associated name."
ltmVsStatusGroup,ltmVsStatusNumber,"The number of ltmVirtualServStatus entries in the table."
ltmVsStatusGroup,ltmVsStatusName,"The name of a virtual server."
ltmVsStatusGroup,ltmVsStatusAvailState,"The availability of the specified virtual server indicated in color: none - error; green - available in some capacity; yellow - not currently available; red - not available; blue - availability is unknown; gray - unlicensed."
ltmVsStatusGroup,ltmVsStatusEnabledState,"The activity status of the specified virtual server, as specified by the user."
ltmVsStatusGroup,ltmVsStatusParentType,"Deprecated! This is an internal data. The type of parent object which disabled the specified virtual server."
ltmVsStatusGroup,ltmVsStatusDetailReason,"The detail description of the specified virtual server's status."
ltmVAddrStatusGroup,ltmVAddrStatusNumber,"The number of ltmVirtualAddrStatus entries in the table."
ltmVAddrStatusGroup,ltmVAddrStatusAddrType,"The IP address type of ltmVsAddrStatusAddr."
ltmVAddrStatusGroup,ltmVAddrStatusAddr,"The IP address of a virtual address. It is interpreted within the context of a ltmVsAddrAddrType value."
