"use_case","use_case_type",classification,"sub_classification","lantern_data_type",category,"sub_category",domain,"data_model","data_type",apps,url,"parent_use_case","parent_url",vertical,docs,status,notes,"created_by","last_updated","related_use_cases",description
"Measuring memory utilization by host","Analytic Capability","Digital Resilience","Foundational Visibility",Performance,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Microsoft:Windows data",,"https://lantern.splunk.com/@go/page/371","Troubleshoot Mission Critical Apps and Infrastructure","https://lantern.splunk.com/Observability/UCE/Foundational_visibility/IT_Ops","Industry Neutral",,Active,,,,,
"Measuring storage I/O latency","Analytic Capability","Digital Resilience","Foundational Visibility",Storage,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Microsoft:Windows data",,"https://lantern.splunk.com/@go/page/373","Troubleshoot Mission Critical Apps and Infrastructure","https://lantern.splunk.com/Observability/UCE/Foundational_visibility/IT_Ops","Industry Neutral",,Active,,,,,
"Measuring storage I/O latency","Analytic Capability","Digital Resilience","Foundational Visibility",Storage,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Storage data",,"https://lantern.splunk.com/@go/page/373","Troubleshoot Mission Critical Apps and Infrastructure","https://lantern.splunk.com/Observability/UCE/Foundational_visibility/IT_Ops","Industry Neutral",,Active,,,,,
"Measuring storage speed I/O utilization by host","Analytic Capability","Digital Resilience","Foundational Visibility",Storage,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Microsoft:Windows data",,"https://lantern.splunk.com/@go/page/372","Troubleshoot Mission Critical Apps and Infrastructure","https://lantern.splunk.com/Observability/UCE/Foundational_visibility/IT_Ops","Industry Neutral",,Active,,,,,
"Measuring storage speed I/O utilization by host","Analytic Capability","Digital Resilience","Foundational Visibility",Storage,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Storage data",,"https://lantern.splunk.com/@go/page/372","Troubleshoot Mission Critical Apps and Infrastructure","https://lantern.splunk.com/Observability/UCE/Foundational_visibility/IT_Ops","Industry Neutral",,Active,,,,,
"Microsoft recommended application log events","Analytic Capability","Digital Resilience","Foundational Visibility",Performance,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Microsoft:Windows data",,"https://lantern.splunk.com/@go/page/710","Maintaining Microsoft Windows systems with the Splunk platform","https://lantern.splunk.com/Observability/UCE/Foundational_visibility/IT_Ops/Maintaining_Microsoft_Windows_systems_with_the_Splunk_platform","Industry Neutral",,Active,,,,,
"Microsoft recommended application log events","Analytic Capability","Digital Resilience","Foundational Visibility",Performance,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"Updates data",,"https://lantern.splunk.com/@go/page/710","Maintaining Microsoft Windows systems with the Splunk platform","https://lantern.splunk.com/Observability/UCE/Foundational_visibility/IT_Ops/Maintaining_Microsoft_Windows_systems_with_the_Splunk_platform","Industry Neutral",,Active,,,,,
"Missing AWS resource tags","Analytic Capability","Digital Resilience","Foundational Visibility",Performance,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"AWS:Description data",,"https://lantern.splunk.com/@go/page/2831","Managing an Amazon Web Services environment","https://lantern.splunk.com/@go/page/625","Industry Neutral",,Active,,,,,
"Monitor CPU utilization for no-limit pod configuration situations",Capability,"Digital Resilience Journey","Foundational Visibility",,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,,,"https://lantern.splunk.com/Observability/UCE/Foundational_Visibility/Optimize_Cloud/Monitoring_Kubernetes_pods/Monitor_CPU_utilization_for_no-limit_pod_configuration_situations",,,,,,,,,,
"Monitoring API transactions","Technical Use Case","Digital Resilience","Proactive Response","Synthetic monitoring","Improve End User Experiences",,Observability,,"Synthetic Monitoring data",,"https://lantern.splunk.com/@go/page/1720","Optimize End User Experiences","https://lantern.splunk.com/Observability/UCE/Proactive_response/Optimize_End-User_Experiences","Industry Neutral",,Active,"Use Cases can be comprised of other use cases and/or capabilities.",,,,
"Monitoring ATM usage","Analytic Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Application data",,"https://lantern.splunk.com/@go/page/2684",,,"Financial Services and Insurance",,Active,,,,,
"Monitoring ATM usage","Analytic Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Financial data",,"https://lantern.splunk.com/@go/page/2684",,,"Financial Services and Insurance",,Active,,,,,
"Monitoring AWS Lambda functions","Technical Capability","Digital Resilience","Foundational Visibility","Cloud services","Optimize Cloud Monitoring",,Observability,,"AWS:Lambda data",,"https://lantern.splunk.com/Observability/UCE/Foundational_visibility/Optimize_Cloud/Monitoring_AWS_Lambda_functions","Optimize Cloud Monitoring","https://lantern.splunk.com/Observability/UCE/Foundational_visibility/Optimize_Cloud","Industry Neutral",,Active,,,,,
"Monitoring AWS Relational Database Services","Technical Use Case","Digital Resilience","Foundational Visibility","Cloud services","Optimize Cloud Monitoring",,Observability,,"AWS:RDS data",,"https://lantern.splunk.com/@go/page/3055","Optimize Cloud Monitoring","https://lantern.splunk.com/Observability/UCE/Foundational_visibility/Optimize_Cloud","Industry Neutral",,Active,"Data required missing RDS",,,,
"Monitoring AWS S3 for suspicious activities","Analytic Capability","Digital Resilience","Guided Insights",Change,"Threat Hunting",,Security,,"AWS:CloudTrail data",,"https://lantern.splunk.com/@go/page/2683","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Monitoring AWS S3 for suspicious activities","Analytic Capability","Digital Resilience","Guided Insights",Change,"Threat Hunting",,Security,,"AWS:CloudWatch data",,"https://lantern.splunk.com/@go/page/2683","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Monitoring Adobe Experience Manager as a Cloud Service",Capability,"Digital Resilience Journey","Foundational Visibility",,"Optimize Cloud Monitoring",,Observability,,,,"https://lantern.splunk.com/Observability/UCE/Foundational_Visibility/Optimize_Cloud/Monitoring_Adobe_Experience_Manager_as_a_Cloud_Service",,,,,,,,,,
"Monitoring Amazon Elastic Kubernetes Services (EKS) with Splunk Observability Cloud",Capability,"Digital Resilience Journey","Foundational Visibility",,"Optimize Cloud Monitoring",,Observability,,,,"https://lantern.splunk.com/Observability/UCE/Foundational_Visibility/Optimize_Cloud/Monitoring_Amazon_Elastic_Kubernetes_Services_(EKS)_with_Splunk_Observability_Cloud",,,,,,,,,,
"Monitoring Cisco switches, routers, WLAN controllers and access points","Analytic Capability","Digital Resilience","Foundational Visibility","Network router","Security Monitoring",,Platform,,"Inventory data",,"https://lantern.splunk.com/@go/page/8231","Security Monitoring","https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Security_monitoring","Industry Neutral",,Active,,,,,
"Monitoring Cisco switches, routers, WLAN controllers and access points","Analytic Capability","Digital Resilience","Foundational Visibility","Network router","Security Monitoring",,Platform,,"Network Management data",,"https://lantern.splunk.com/@go/page/8231","Security Monitoring","https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Security_monitoring","Industry Neutral",,Active,,,,,
"Monitoring Cisco switches, routers, WLAN controllers and access points","Analytic Capability","Digital Resilience","Foundational Visibility","Network router","Security Monitoring",,Platform,,"Network Router data",,"https://lantern.splunk.com/@go/page/8231","Security Monitoring","https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Security_monitoring","Industry Neutral",,Active,,,,,
"Monitoring Cisco switches, routers, WLAN controllers and access points","Analytic Capability","Digital Resilience","Foundational Visibility","Network router","Security Monitoring",,Platform,,"Network Switch data",,"https://lantern.splunk.com/@go/page/8231","Security Monitoring","https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Security_monitoring","Industry Neutral",,Active,,,,,
"Monitoring DNS queries","Analytic Capability","Digital Resilience","Guided Insights","Network resolution","Threat Hunting",,Security,,"Microsoft:Windows data",,"https://lantern.splunk.com/@go/page/2429","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Monitoring Gen AI apps with NVIDIA GPUs",Capability,"Digital Resilience Journey","Unified Workflows",,"Standardize Observability Practices",,Observability,,,,"https://lantern.splunk.com/Observability/UCE/Unified_Workflows/Standardize_O11y_Practices/Monitoring_Gen_AI_apps_with_NVIDIA_GPUs",,,,,,,,,,
"Monitoring HL7 traffic security in healthcare settings",Capability,Platform,,,Industry,Healthcare,Platform,,,,"https://lantern.splunk.com/Splunk_Platform/UCE/Healthcare/Monitoring_HL7_traffic_security_in_healthcare_settings",,,,,,,,,,
"Monitoring Kubernetes pods","Technical Use Case","Digital Resilience","Foundational Visibility",Performance,"Optimize Cloud Monitoring",,Observability,,"Kubernetes data",,"https://lantern.splunk.com/@go/page/2152","Optimize Cloud Monitoring","https://lantern.splunk.com/Observability/UCE/Foundational_visibility/Optimize_Cloud","Industry Neutral",,Active,,,,,
"Monitoring LangChain LLM applications with Splunk",Capability,"Digital Resilience Journey","Unified Workflows",,"Standardize Observability Practices",,Observability,,,,"https://lantern.splunk.com/Observability/UCE/Unified_Workflows/Standardize_O11y_Practices/Monitoring_LangChain_LLM_applications_with_Splunk_Observability_Cloud",,,,,,,,,,
"Monitoring NIST SP 800-53 rev5 control families","Analytic Use Case","Digital Resilience","Foundational Visibility",Authentication,Compliance,,Security,,"Authentication data",,"https://lantern.splunk.com/@go/page/2918",Compliance,"https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Compliance","Industry Neutral",,Active,,,,,
"Monitoring NIST SP 800-53 rev5 control families","Analytic Use Case","Digital Resilience","Foundational Visibility",Authentication,Compliance,,Security,,"Change data",,"https://lantern.splunk.com/@go/page/2918",Compliance,"https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Compliance","Industry Neutral",,Active,,,,,
"Monitoring NIST SP 800-53 rev5 control families","Analytic Use Case","Digital Resilience","Foundational Visibility",Authentication,Compliance,,Security,,"Intrusion Detection data",,"https://lantern.splunk.com/@go/page/2918",Compliance,"https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Compliance","Industry Neutral",,Active,,,,,
"Monitoring NIST SP 800-53 rev5 control families","Analytic Use Case","Digital Resilience","Foundational Visibility",Authentication,Compliance,,Security,,"Inventory data",,"https://lantern.splunk.com/@go/page/2918",Compliance,"https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Compliance","Industry Neutral",,Active,,,,,
"Monitoring NIST SP 800-53 rev5 control families","Analytic Use Case","Digital Resilience","Foundational Visibility",Authentication,Compliance,,Security,,"Malware data",,"https://lantern.splunk.com/@go/page/2918",Compliance,"https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Compliance","Industry Neutral",,Active,,,,,
"Monitoring NIST SP 800-53 rev5 control families","Analytic Use Case","Digital Resilience","Foundational Visibility",Authentication,Compliance,,Security,,"Network Traffic data",,"https://lantern.splunk.com/@go/page/2918",Compliance,"https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Compliance","Industry Neutral",,Active,,,,,
"Monitoring NIST SP 800-53 rev5 control families","Analytic Use Case","Digital Resilience","Foundational Visibility",Authentication,Compliance,,Security,,"Performance data",,"https://lantern.splunk.com/@go/page/2918",Compliance,"https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Compliance","Industry Neutral",,Active,,,,,
"Monitoring NIST SP 800-53 rev5 control families","Analytic Use Case","Digital Resilience","Foundational Visibility",Authentication,Compliance,,Security,,"Vulnerability Detection data",,"https://lantern.splunk.com/@go/page/2918",Compliance,"https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Compliance","Industry Neutral",,Active,,,,,
"Monitoring NIST SP 800-53 rev5 control families","Analytic Use Case","Digital Resilience","Foundational Visibility",Authentication,Compliance,,Security,,"Vulnerability Scanning data",,"https://lantern.splunk.com/@go/page/2918",Compliance,"https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Compliance","Industry Neutral",,Active,,,,,
"Monitoring NIST SP 800-53 rev5 control families","Analytic Use Case","Digital Resilience","Foundational Visibility",Authentication,Compliance,,Security,,"Web Server data",,"https://lantern.splunk.com/@go/page/2918",Compliance,"https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Compliance","Industry Neutral",,Active,,,,,
"Monitoring Postgres with OpenTelemetry",Capability,"Digital Resilience Journey","Foundational Visibility",,"Optimize Cloud Monitoring",,Observability,,,,"https://lantern.splunk.com/Observability/UCE/Foundational_Visibility/Optimize_Cloud/Monitoring_Postgres_with_OpenTelemetry",,,,,,,,,,
"Monitoring RDS database performance","Technical Capability","Digital Resilience","Foundational Visibility","Cloud services","Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"AWS:RDS data",,"https://lantern.splunk.com/Observability/UCE/Foundational_visibility/Optimize_Cloud/Monitoring_AWS_Relational_Database_Services/Monitoring_RDS_database_performance","Monitoring AWS Relational Database Services","https://lantern.splunk.com/Observability/UCE/Foundational_visibility/Optimize_Cloud/Monitoring_AWS_Relational_Database_Services","Industry Neutral",,,,,,,
"Monitoring RDS database services instances","Technical Capability","Digital Resilience","Foundational Visibility","Cloud services","Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"AWS:RDS data",,"https://lantern.splunk.com/Observability/UCE/Foundational_visibility/Optimize_Cloud/Monitoring_AWS_Relational_Database_Services/Monitoring_RDS_database_services_instances","Monitoring AWS Relational Database Services","https://lantern.splunk.com/Observability/UCE/Foundational_visibility/Optimize_Cloud/Monitoring_AWS_Relational_Database_Services","Industry Neutral",,"Data Required Unclear",,,,,
"Monitoring RDS system metrics","Technical Capability","Digital Resilience","Foundational Visibility","Cloud services","Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"APM data",,"https://lantern.splunk.com/Observability/UCE/Foundational_visibility/Optimize_Cloud/Monitoring_AWS_Relational_Database_Services/Monitoring_RDS_system_metrics","Monitoring AWS Relational Database Services","https://lantern.splunk.com/Observability/UCE/Foundational_visibility/Optimize_Cloud/Monitoring_AWS_Relational_Database_Services","Industry Neutral",,"Data Required Unclear",,,,,
"Monitoring RDS system metrics","Technical Capability","Digital Resilience","Foundational Visibility","Cloud services","Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"AWS:RDS data",,"https://lantern.splunk.com/Observability/UCE/Foundational_visibility/Optimize_Cloud/Monitoring_AWS_Relational_Database_Services/Monitoring_RDS_system_metrics","Monitoring AWS Relational Database Services","https://lantern.splunk.com/Observability/UCE/Foundational_visibility/Optimize_Cloud/Monitoring_AWS_Relational_Database_Services","Industry Neutral",,"Data Required Unclear",,,,,
"Monitoring Snowflake database usage","Analytic Capability","Digital Resilience","Foundational Visibility",Database,"Optimize Cloud Monitoring",,Observability,,"Database data",,"https://lantern.splunk.com/@go/page/4528","Optimize Cloud Monitoring","https://lantern.splunk.com/Observability/UCE/Foundational_visibility/Optimize_Cloud","Industry Neutral",,Active,,,,,
"Monitoring Tenable OT Security",Capability,Platform,,,Industry,Manufacturing,Platform,,,,"https://lantern.splunk.com/Splunk_Platform/UCE/Manufacturing/Monitoring_Tenable_OT_Security",,,,,,,,,,
"Monitoring VMware components with Infrastructure Monitoring","Analytic Capability","Digital Resilience","Foundational Visibility","Cloud services","Optimize Cloud Monitoring",,Observability,,"OpenTelemetry data",,"https://lantern.splunk.com/@go/page/7587","Optimize Cloud Monitoring","https://lantern.splunk.com/Observability/UCE/Foundational_visibility/Optimize_Cloud","Industry Neutral",,Active,,,,,
"Monitoring VMware components with Infrastructure Monitoring","Analytic Capability","Digital Resilience","Foundational Visibility","Cloud services","Optimize Cloud Monitoring",,Observability,,"VMware data",,"https://lantern.splunk.com/@go/page/7587","Optimize Cloud Monitoring","https://lantern.splunk.com/Observability/UCE/Foundational_visibility/Optimize_Cloud","Industry Neutral",,Active,,,,,
"Monitoring VMware virtualization infrastructure","Analytic Use Case","Digital Resilience","Foundational Visibility",Performance,"Troubleshoot Mission Critical Apps and Infrastructure",,Observability,,"VMware data",,"https://lantern.splunk.com/@go/page/628","Troubleshoot Mission Critical Apps and Infrastructure","https://lantern.splunk.com/Observability/UCE/Foundational_visibility/IT_Ops","Industry Neutral",,Active,,,,,
"Monitoring Windows account access","Analytic Use Case","Digital Resilience","Guided Insights",Authentication,"Threat Hunting",,Security,,"Microsoft:Windows data",,"https://lantern.splunk.com/@go/page/637","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,"Removed System Log data",,,,
"Monitoring a network for DNS exfiltration","Analytic Use Case","Digital Resilience","Guided Insights","Network resolution","Threat Hunting",,Security,,"Network Resolution data",,"http://lantern.splunk.com/@go/cid/AdoptionBoardDNS","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Monitoring and logging MQTT topic messages using Eclipse Mosquitto",Capability,Platform,,,Industry,"Technology, Communications, and Media",Platform,,,,"https://lantern.splunk.com/Splunk_Platform/UCE/Technology%2C_Communications%2C_and_Media/Monitoring_and_logging_MQTT_topic_messages_using_Eclipse_Mosquitto",,,,,,,,,,
"Monitoring and troubleshooting device temperature","Analytic Capability",Platform,,"IoT and IIoT",Industry,Manufacturing,Platform,,"IoT and Industrial data",,"https://lantern.splunk.com/@go/page/6491",,,Manufacturing,,Active,,,,,
"Monitoring badges for facilities access","Analytic Use Case","Digital Resilience","Foundational Visibility","Physical card readers","Security Monitoring",,Security,,"Call Detail Record data",,"https://lantern.splunk.com/@go/page/2448","Security Monitoring","https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Security_monitoring","Industry Neutral",,Active,,,,,
"Monitoring badges for facilities access","Analytic Use Case","Digital Resilience","Foundational Visibility","Physical card readers","Security Monitoring",,Security,,"Physical Card Reader data",,"https://lantern.splunk.com/@go/page/2448","Security Monitoring","https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Security_monitoring","Industry Neutral",,Active,,,,,
"Monitoring command line interface actions","Analytic Capability","Digital Resilience","Guided Insights",Endpoint,"Threat Hunting",,Security,,"Endpoint data",,"https://lantern.splunk.com/@go/page/518","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,"Removed System Log data",,,,
"Monitoring command line interface actions","Analytic Capability","Digital Resilience","Guided Insights",Endpoint,"Threat Hunting",,Security,,"Microsoft:Windows data",,"https://lantern.splunk.com/@go/page/518","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,"Removed System Log data",,,,
"Monitoring common Operational Technology protocol ports","Analytic Capability",Platform,,"Network router",Industry,Manufacturing,Platform,,"Network Router data",,"https://lantern.splunk.com/@go/page/7986",,,Manufacturing,,Active,,,,,
"Monitoring common Operational Technology protocol ports","Analytic Capability",Platform,,"Network router",Industry,Manufacturing,Platform,,"Network Switch data",,"https://lantern.splunk.com/@go/page/7986",,,Manufacturing,,Active,,,,,
"Monitoring common Operational Technology protocol ports","Analytic Capability",Platform,,"Network router",Industry,Manufacturing,Platform,,"Network Traffic data",,"https://lantern.splunk.com/@go/page/7986",,,Manufacturing,,Active,,,,,
"Monitoring consumer bank accounts to maintain compliance",Capability,"Digital Resilience Journey","Foundational Visibility",,Compliance,,Security,,,,"https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Compliance/Monitoring_consumer_bank_accounts_to_maintain_compliance",,,,,,,,,,
"Monitoring consumer credit card transactions","Technical Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Application data",,"https://lantern.splunk.com/@go/page/2722",,,"Financial Services and Insurance",,Active,,,,,
"Monitoring consumer credit card transactions","Technical Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Financial data",,"https://lantern.splunk.com/@go/page/2722",,,"Financial Services and Insurance",,Active,,,,,
"Monitoring electronic data interchange transmission and acknowledgement","Analytic Capability",Platform,,EDI,Industry,Manufacturing,Platform,,"EDI data",,"https://lantern.splunk.com/Splunk_Platform/UCE/Manufacturing/Monitoring_EDI_transmission_and_acknowledgement",Manufacturing,"https://lantern.splunk.com/Splunk_Platform/UCE/Manufacturing",Manufacturing,,Active,,,,,
"Monitoring equipment issues in real-time with predictive maintenance","Technical Capability",Platform,,"Operational technology",Industry,Manufacturing,Platform,,"IoT and Industrial data",,"https://lantern.splunk.com/@go/page/6604",,,Manufacturing,,Active,,,,,
"Monitoring for account abuse with the Splunk App for Behavioral Analytics","Technical Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Application data",,"https://lantern.splunk.com/Splunk_Platform/UCE/Financial_Services_and_Insurance/Monitoring_for_account_abuse_with_the_Splunk_App_for_Behavioral_Analytics","Financial Fraud",,"Financial Services and Insurance",,Active,,,,,
"Monitoring for account abuse with the Splunk App for Behavioral Analytics","Technical Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Financial data",,"https://lantern.splunk.com/Splunk_Platform/UCE/Financial_Services_and_Insurance/Monitoring_for_account_abuse_with_the_Splunk_App_for_Behavioral_Analytics","Financial Fraud",,"Financial Services and Insurance",,Active,,,,,
"Monitoring for account abuse with the Splunk platform","Technical Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Application data",,"https://lantern.splunk.com/Splunk_Platform/UCE/Financial_Services_and_Insurance/Monitoring_for_account_abuse_with_the_Splunk_platform","Financial Fraud",,"Financial Services and Insurance",,Active,,,,,
"Monitoring for account abuse with the Splunk platform","Technical Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Financial data",,"https://lantern.splunk.com/Splunk_Platform/UCE/Financial_Services_and_Insurance/Monitoring_for_account_abuse_with_the_Splunk_platform","Financial Fraud",,"Financial Services and Insurance",,Active,,,,,
"Monitoring for account takeover with the Splunk App for Behavioral Analytics","Technical Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Application data",,"https://lantern.splunk.com/Splunk_Platform/UCE/Financial_Services_and_Insurance/Monitoring_for_account_abuse_with_the_Splunk_App_for_Behavioral_Analytics","Financial Fraud",,"Financial Services and Insurance",,Active,,,,,
"Monitoring for account takeover with the Splunk App for Behavioral Analytics","Technical Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Financial data",,"https://lantern.splunk.com/Splunk_Platform/UCE/Financial_Services_and_Insurance/Monitoring_for_account_abuse_with_the_Splunk_App_for_Behavioral_Analytics","Financial Fraud",,"Financial Services and Insurance",,Active,,,,,
"Monitoring for account takeover with the Splunk App for Fraud Analytics","Analytic Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Financial data",,"https://lantern.splunk.com/@go/page/8264",,,"Financial Services and Insurance",,Active,,,,,
"Monitoring for account takeover with the Splunk App for Fraud Analytics","Analytic Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Fraud Detection data",,"https://lantern.splunk.com/@go/page/8264",,,"Financial Services and Insurance",,Active,,,,,
"Monitoring for account takeover with the Splunk platform","Technical Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Application data",,"https://lantern.splunk.com/Splunk_Platform/UCE/Financial_Services_and_Insurance/Monitoring_for_account_takeover_with_the_Splunk_platform","Financial Fraud",,"Financial Services and Insurance",,Active,,,,,
"Monitoring for account takeover with the Splunk platform","Technical Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Financial data",,"https://lantern.splunk.com/Splunk_Platform/UCE/Financial_Services_and_Insurance/Monitoring_for_account_takeover_with_the_Splunk_platform","Financial Fraud",,"Financial Services and Insurance",,Active,,,,,
"Monitoring for credit card fraud with the Splunk App for Fraud Analytics","Analytic Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Financial data",,"https://lantern.splunk.com/@go/page/8266",,,"Financial Services and Insurance",,Active,,,,,
"Monitoring for credit card fraud with the Splunk App for Fraud Analytics","Analytic Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Fraud Detection data",,"https://lantern.splunk.com/@go/page/8266",,,"Financial Services and Insurance",,Active,,,,,
"Monitoring for indicators of ransomware attacks","Analytic Capability","Digital Resilience","Guided Insights","Vulnerability detection","Threat Intelligence Enrichment",,Security,,"Malware data",,"https://lantern.splunk.com/@go/page/2382","Threat Intelligence Enrichment","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_intelligence","Industry Neutral",,Active,,,,,
"Monitoring for indicators of ransomware attacks","Analytic Capability","Digital Resilience","Guided Insights","Vulnerability detection","Threat Intelligence Enrichment",,Security,,"Microsoft:Windows data",,"https://lantern.splunk.com/@go/page/2382","Threat Intelligence Enrichment","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_intelligence","Industry Neutral",,Active,,,,,
"Monitoring for indicators of ransomware attacks","Analytic Capability","Digital Resilience","Guided Insights","Vulnerability detection","Threat Intelligence Enrichment",,Security,,"Web Proxy data",,"https://lantern.splunk.com/@go/page/2382","Threat Intelligence Enrichment","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_intelligence","Industry Neutral",,Active,,,,,
"Monitoring for network traffic volume outliers","Analytic Use Case","Digital Resilience","Foundational Visibility","Network traffic","Security Monitoring",,Security,,"Network Firewall data",,"https://lantern.splunk.com/@go/page/532","Security Monitoring","https://lantern.splunk.com/Security/UCE/Foundational_Visibility/Security_monitoring","Industry Neutral",,Active,,,,,
"Monitoring for new account fraud with the Splunk App for Fraud Analytics","Analytic Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Financial data",,"https://lantern.splunk.com/@go/page/8263",,,"Financial Services and Insurance",,Active,,,,,
"Monitoring for new account fraud with the Splunk App for Fraud Analytics","Analytic Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Fraud Detection data",,"https://lantern.splunk.com/@go/page/8263",,,"Financial Services and Insurance",,Active,,,,,
"Monitoring for signs of a Windows privilege escalation attack","Analytic Capability","Digital Resilience","Guided Insights",Endpoint,"Threat Hunting",,Security,,"Authentication data",,"https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting/monitoring_for_signs_of_a_windows_privilege_escalation_attack","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Monitoring for signs of a Windows privilege escalation attack","Analytic Capability","Digital Resilience","Guided Insights",Endpoint,"Threat Hunting",,Security,,"Binary Repositories data",,"https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting/monitoring_for_signs_of_a_windows_privilege_escalation_attack","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Monitoring for signs of a Windows privilege escalation attack","Analytic Capability","Digital Resilience","Guided Insights",Endpoint,"Threat Hunting",,Security,,"Endpoint data",,"https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting/monitoring_for_signs_of_a_windows_privilege_escalation_attack","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
"Monitoring for wire transfer fraud with the Splunk App for Fraud Analytics","Analytic Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Financial data",,"https://lantern.splunk.com/@go/page/8265",,,"Financial Services and Insurance",,Active,,,,,
"Monitoring for wire transfer fraud with the Splunk App for Fraud Analytics","Analytic Capability",Platform,,Financial,Industry,"Financial Services and Insurance",Platform,,"Fraud Detection data",,"https://lantern.splunk.com/@go/page/8265",,,"Financial Services and Insurance",,Active,,,,,
"Monitoring full DNS transaction data","Analytic Capability","Digital Resilience","Guided Insights","Network resolution","Threat Hunting",,Security,,"Network Resolution data",,"https://lantern.splunk.com/@go/page/7968","Threat Hunting","https://lantern.splunk.com/Security/UCE/Guided_Insights/Threat_hunting","Industry Neutral",,Active,,,,,
