dashboard,capability,capability_description,domain,expanded_guidance,ext_link,ext_product,icon,name,level,practice_description,visible
PM_8_1_rmf,PM-8,Critical Infrastructure Plan,Program Management,,,,fas fa-user-lock,PM-8.1,,The organization develops and documents a critical infrastructure and key resource protection plan that addresses information security issues.,TRUE
PM_8_2_rmf,PM-8,Critical Infrastructure Plan,Program Management,,,,fas fa-user-lock,PM-8.2,,The organization updates the critical infrastructure and key resources protection plan that addresses information security issues.,TRUE
PM_9_1_rmf,PM-9,Risk Management Strategy,Program Management,,,,fas fa-user-lock,PM-9.1,,"The organization develops a comprehensive strategy to manage risk to organizational operations and assets, individuals, other organizations, and the Nation associated with the operation and use of information systems.",TRUE
PM_9_2_rmf,PM-9,Risk Management Strategy,Program Management,,,,fas fa-user-lock,PM-9.2,,"The organization implements a comprehensive strategy to manage risk to organization operations and assets, individuals, other organizations, and the Nation associated with the operation and use of information systems consistently across the organization.",TRUE
PM_9_3_rmf,PM-9,Risk Management Strategy,Program Management,,,,fas fa-user-lock,PM-9.3,,"The organization reviews and updates the risk management strategy in accordance with organization-defined frequency or as required, to address organizational changes.",TRUE
PM_9_4_rmf,PM-9,Risk Management Strategy,Program Management,,,,fas fa-user-lock,PM-9.4,,The organization defines the frequency with which to review and update the risk management strategy to address organizational changes.,TRUE
RA_1_1_rmf,RA-1,Policy and Procedures,Risk Assessment,,,,fas fa-user-lock,RA-1.1,,The organization defines the personnel or roles to whom the risk assessment policy is disseminated.,TRUE
RA_1_10_rmf,RA-1,Policy and Procedures,Risk Assessment,,,,fas fa-user-lock,RA-1.10,,The organization defines the frequency with which to review and update the current risk assessment procedures.,TRUE
RA_1_2_rmf,RA-1,Policy and Procedures,Risk Assessment,,,,fas fa-user-lock,RA-1.2,,The organization defines the personnel or roles to whom the risk assessment procedures are disseminated.,TRUE
RA_1_3_rmf,RA-1,Policy and Procedures,Risk Assessment,,,,fas fa-user-lock,RA-1.3,,"The organization develops and documents a risk assessment policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.",TRUE
RA_1_4_rmf,RA-1,Policy and Procedures,Risk Assessment,,,,fas fa-user-lock,RA-1.4,,"The organization disseminates a risk assessment policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance to organization-defined personnel or roles.",TRUE
RA_1_5_rmf,RA-1,Policy and Procedures,Risk Assessment,,,,fas fa-user-lock,RA-1.5,,The organization develops and documents procedures to facilitate the implementation of the risk assessment policy and associated risk assessment controls.,TRUE
RA_1_6_rmf,RA-1,Policy and Procedures,Risk Assessment,,,,fas fa-user-lock,RA-1.6,,The organization disseminates risk assessment procedures to facilitate the implementation of the risk assessment policy and associated risk assessment controls to organization-defined personnel or roles.,TRUE
RA_1_7_rmf,RA-1,Policy and Procedures,Risk Assessment,,,,fas fa-user-lock,RA-1.7,,The organization reviews and updates the current risk assessment policy in accordance with organization-defined frequency.,TRUE
RA_1_8_rmf,RA-1,Policy and Procedures,Risk Assessment,,,,fas fa-user-lock,RA-1.8,,The organization defines the frequency with which to review and update the current risk assessment policy.,TRUE
RA_1_9_rmf,RA-1,Policy and Procedures,Risk Assessment,,,,fas fa-user-lock,RA-1.9,,The organization reviews and updates the current risk assessment procedures in accordance with organization-defined frequency.,TRUE
RA_2_1_rmf,RA-2,Security Categorization,Risk Assessment,,,,fas fa-user-lock,RA-2.1,,"The organization categorizes information and the information system in accordance with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance.",TRUE
RA_2_2_rmf,RA-2,Security Categorization,Risk Assessment,,,,fas fa-user-lock,RA-2.2,,The organization documents the security categorization results (including supporting rationale) in the security plan for the information system.,TRUE
RA_2_3_rmf,RA-2,Security Categorization,Risk Assessment,,,,fas fa-user-lock,RA-2.3,,The organization ensures the security categorization decision is reviewed and approved by the authorizing official or authorizing official designated representative.,TRUE
RA_3_1_rmf,RA-3,Risk Assessment,Risk Assessment,,,,fas fa-user-lock,RA-3.1,,"The organization conducts an assessment of risk of the information system and the information it processes, stores, or transmits that includes the likelihood and magnitude of harm from the unauthorized access, use, disclosure, disruption, modification, or destruction.",TRUE
RA_3_2_rmf,RA-3,Risk Assessment,Risk Assessment,,,,fas fa-user-lock,RA-3.2,,The organization documents risk assessment results in the organization-defined document.,TRUE
RA_3_3_rmf,RA-3,Risk Assessment,Risk Assessment,,,,fas fa-user-lock,RA-3.3,,"The organization defines the organizational document in which risk assessment results are documented (e.g., security plan, risk assessment report).",TRUE
RA_3_4_rmf,RA-3,Risk Assessment,Risk Assessment,,,,fas fa-user-lock,RA-3.4,,The organization reviews risk assessment results on an organization-defined frequency.,TRUE
RA_3_5_rmf,RA-3,Risk Assessment,Risk Assessment,,,,fas fa-user-lock,RA-3.5,,The organization defines a frequency for reviewing risk assessment results.,TRUE
RA_3_6_rmf,RA-3,Risk Assessment,Risk Assessment,,,,fas fa-user-lock,RA-3.6,,The organization disseminates risk assessment results to organization-defined personnel or roles.,TRUE
RA_3_7_rmf,RA-3,Risk Assessment,Risk Assessment,,,,fas fa-user-lock,RA-3.7,,The organization defines the personnel or roles to whom the risk assessment results will be disseminated.,TRUE
RA_3_8_rmf,RA-3,Risk Assessment,Risk Assessment,,,,fas fa-user-lock,RA-3.8,,"The organization updates the risk assessment on an organization-defined frequency or whenever there are significant changes to the information system or environment of operation (including the identification of new threats and vulnerabilities), or other conditions that may impact the security state of the system.",TRUE
RA_3_9_rmf,RA-3,Risk Assessment,Risk Assessment,,,,fas fa-user-lock,RA-3.9,,The organization defines a frequency for updating the risk assessment.,TRUE
RA_5-1_1_rmf,RA-5(1),Vulnerability Monitoring and Scanning | Update Tool Capability,Risk Assessment,,,,fas fa-user-lock,RA-5(1).1,,The organization employs vulnerability scanning tools that include the capability to readily update the information system vulnerabilities to be scanned.,TRUE
RA_5-10_1_rmf,RA-5(10),Vulnerability Monitoring and Scanning | Correlate Scanning Information,Risk Assessment,,,,fas fa-user-lock,RA-5(10).1,,The organization correlates the output from vulnerability scanning tools to determine the presence of multi-vulnerability/multi-hop attack vectors.,TRUE
RA_5-2_1_rmf,RA-5(2),Vulnerability Monitoring and Scanning | Update Vulnerabilities to Be Scanned,Risk Assessment,,,,fas fa-user-lock,RA-5(2).1,,"The organization updates the information system vulnerabilities scanned on an organization-defined frequency, prior to a new scan, and/or when new vulnerabilities are identified and reported.",TRUE
RA_5-2_2_rmf,RA-5(2),Vulnerability Monitoring and Scanning | Update Vulnerabilities to Be Scanned,Risk Assessment,,,,fas fa-user-lock,RA-5(2).2,,The organization defines a frequency for updating the information system vulnerabilities scanned.,TRUE
RA_5-3_1_rmf,RA-5(3),Vulnerability Monitoring and Scanning | Breadth and Depth of Coverage,Risk Assessment,,,,fas fa-user-lock,RA-5(3).1,,"The organization employs vulnerability scanning procedures that can identify the breadth and depth of coverage (i.e., information system components scanned and vulnerabilities checked).",TRUE
RA_5-4_1_rmf,RA-5(4),Vulnerability Monitoring and Scanning | Discoverable Information,Risk Assessment,,,,fas fa-user-lock,RA-5(4).1,,The organization determines what information about the information system is discoverable by adversaries.,TRUE
RA_5-4_2_rmf,RA-5(4),Vulnerability Monitoring and Scanning | Discoverable Information,Risk Assessment,,,,fas fa-user-lock,RA-5(4).2,,The organization defines the corrective actions when information about the information system is discoverable by adversaries.,TRUE
RA_5-4_3_rmf,RA-5(4),Vulnerability Monitoring and Scanning | Discoverable Information,Risk Assessment,,,,fas fa-user-lock,RA-5(4).3,,The organization takes organization-defined corrective actions when information about the information system is discoverable by adversaries.,TRUE
RA_5-5_1_rmf,RA-5(5),Vulnerability Monitoring and Scanning | Privileged Access,Risk Assessment,,,,fas fa-user-lock,RA-5(5).1,,The information system implements privileged access authorization to organization-identified information system components for selected organization-defined vulnerability scanning activities.,TRUE
RA_5-5_2_rmf,RA-5(5),Vulnerability Monitoring and Scanning | Privileged Access,Risk Assessment,,,,fas fa-user-lock,RA-5(5).2,,The organization identifies the information system components to which privileged access is authorized for selected organization-defined vulnerability scanning activities.,TRUE
RA_5-5_3_rmf,RA-5(5),Vulnerability Monitoring and Scanning | Privileged Access,Risk Assessment,,,,fas fa-user-lock,RA-5(5).3,,The organization defines the vulnerability scanning activities in which the information system implements privileged access authorization to organization-identified information system components.,TRUE
RA_5-6_1_rmf,RA-5(6),Vulnerability Monitoring and Scanning | Automated Trend Analyses,Risk Assessment,,,,fas fa-user-lock,RA-5(6).1,,The organization employs automated mechanisms to compare the results of vulnerability scans over time to determine trends in information system vulnerabilities.,TRUE
RA_5-8_1_rmf,RA-5(8),Vulnerability Monitoring and Scanning | Review Historic Audit Logs,Risk Assessment,,,,fas fa-user-lock,RA-5(8).1,,The organization reviews historic audit logs to determine if a vulnerability identified in the information system has been previously exploited.,TRUE
RA_5_1_rmf,RA-5,Vulnerability Monitoring and Scanning,Risk Assessment,,,,fas fa-user-lock,RA-5.1,,The organization scans for vulnerabilities in the information system and hosted applications on an organization-defined frequency.,TRUE
RA_5_10_rmf,RA-5,Vulnerability Monitoring and Scanning,Risk Assessment,,,,fas fa-user-lock,RA-5.10,,"The organization shares information obtained from the vulnerability scanning process and security control assessments with organization-defined personnel or roles to help eliminate similar vulnerabilities in other information systems (i.e., systemic weaknesses or deficiencies).",TRUE
RA_5_11_rmf,RA-5,Vulnerability Monitoring and Scanning,Risk Assessment,,,,fas fa-user-lock,RA-5.11,,The organization defines the personnel or roles with whom the information obtained from the vulnerability scanning process and security control assessments will be shared.,TRUE
RA_5_2_rmf,RA-5,Vulnerability Monitoring and Scanning,Risk Assessment,,,,fas fa-user-lock,RA-5.2,,The organization defines a frequency for scanning for vulnerabilities in the information system and hosted applications.,TRUE
RA_5_3_rmf,RA-5,Vulnerability Monitoring and Scanning,Risk Assessment,,,,fas fa-user-lock,RA-5.3,,The organization scans for vulnerabilities in the information system and hosted applications when new vulnerabilities potentially affecting the system/applications are identified and reported.,TRUE
RA_5_4_rmf,RA-5,Vulnerability Monitoring and Scanning,Risk Assessment,,,,fas fa-user-lock,RA-5.4,,The organization defines the process for conducting random vulnerability scans on the information system and hosted applications.,TRUE
RA_5_5_rmf,RA-5,Vulnerability Monitoring and Scanning,Risk Assessment,,,,fas fa-user-lock,RA-5.5,,The organization scans for vulnerabilities in the information system and hosted applications in accordance with the organization-defined process for random scans.,TRUE
RA_5_6_rmf,RA-5,Vulnerability Monitoring and Scanning,Risk Assessment,,,,fas fa-user-lock,RA-5.6,,"The organization employs vulnerability scanning tools and techniques that facilitate interoperability among tools and automate parts of the vulnerability management process by using standards for: enumerating platforms, software flaws, and improper configurations; formatting checklists and test procedures; and measuring vulnerability impact.",TRUE
RA_5_7_rmf,RA-5,Vulnerability Monitoring and Scanning,Risk Assessment,,,,fas fa-user-lock,RA-5.7,,The organization analyzes vulnerability scan reports and results from security control assessments.,TRUE
RA_5_8_rmf,RA-5,Vulnerability Monitoring and Scanning,Risk Assessment,,,,fas fa-user-lock,RA-5.8,,The organization remediates legitimate vulnerabilities in organization-defined response times in accordance with an organizational assessment risk.,TRUE
RA_5_9_rmf,RA-5,Vulnerability Monitoring and Scanning,Risk Assessment,,,,fas fa-user-lock,RA-5.9,,The organization defines response times for remediating legitimate vulnerabilities in accordance with an organization assessment of risk.,TRUE
RA_6_1_rmf,RA-6,Technical Surveillance Countermeasures Survey,Risk Assessment,,,,fas fa-user-lock,RA-6.1,,The organization employs a technical surveillance countermeasures survey at organization-defined locations on an organization-defined frequency or when organization-defined events or indicators occur.,TRUE
RA_6_2_rmf,RA-6,Technical Surveillance Countermeasures Survey,Risk Assessment,,,,fas fa-user-lock,RA-6.2,,The organization defines the locations where technical surveillance countermeasures surveys are to be employed.,TRUE
RA_6_3_rmf,RA-6,Technical Surveillance Countermeasures Survey,Risk Assessment,,,,fas fa-user-lock,RA-6.3,,The organization defines the frequency on which to employ technical surveillance countermeasures surveys.,TRUE
RA_6_4_rmf,RA-6,Technical Surveillance Countermeasures Survey,Risk Assessment,,,,fas fa-user-lock,RA-6.4,,The organization defines the events or indicators upon which technical surveillance countermeasures surveys are to be employed.,TRUE
SC_1_1_rmf,SC-1,Policy and Procedures,System and Communications Protection,,,,fas fa-user-lock,SC-1.1,,The organization defines the personnel or roles to be recipients of the system and communications protection policy.,TRUE
SC_1_10_rmf,SC-1,Policy and Procedures,System and Communications Protection,,,,fas fa-user-lock,SC-1.10,,The organization defines the frequency of system and communications protection procedure reviews and updates.,TRUE
SC_1_2_rmf,SC-1,Policy and Procedures,System and Communications Protection,,,,fas fa-user-lock,SC-1.2,,The organization defines the personnel or roles to be recipients of the procedures to facilitate the implementation of the system and communications protection policy and associated system and communications protection controls.,TRUE
SC_1_3_rmf,SC-1,Policy and Procedures,System and Communications Protection,,,,fas fa-user-lock,SC-1.3,,"The organization develops a system and communications protection policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.",TRUE
SC_1_4_rmf,SC-1,Policy and Procedures,System and Communications Protection,,,,fas fa-user-lock,SC-1.4,,The organization disseminates to organization-defined personnel or roles the system and communications protection policy.,TRUE
SC_1_5_rmf,SC-1,Policy and Procedures,System and Communications Protection,,,,fas fa-user-lock,SC-1.5,,The organization develops system and communications protection procedures to facilitate the implementation of the system and communications protection policy and associated system and communications protection controls.,TRUE
SC_1_6_rmf,SC-1,Policy and Procedures,System and Communications Protection,,,,fas fa-user-lock,SC-1.6,,The organization disseminates to organization-defined personnel or roles the procedures to facilitate the implementation of the system and communications protection policy and associated system and communications protection controls.,TRUE
SC_1_7_rmf,SC-1,Policy and Procedures,System and Communications Protection,,,,fas fa-user-lock,SC-1.7,,The organization reviews and updates the system and communications protection policy in accordance with organization-defined frequency.,TRUE
SC_1_8_rmf,SC-1,Policy and Procedures,System and Communications Protection,,,,fas fa-user-lock,SC-1.8,,The organization defines the frequency for reviewing and updating the system and communications protection policy.,TRUE
SC_1_9_rmf,SC-1,Policy and Procedures,System and Communications Protection,,,,fas fa-user-lock,SC-1.9,,The organization reviews and updates the system and communications protection procedures in accordance with organization-defined frequency.,TRUE
SC_10_1_rmf,SC-10,Network Disconnect,System and Communications Protection,,,,fas fa-user-lock,SC-10.1,,The information system terminates the network connection associated with a communications session at the end of the session or after an organization-defined time period of inactivity.,TRUE
SC_10_2_rmf,SC-10,Network Disconnect,System and Communications Protection,,,,fas fa-user-lock,SC-10.2,,The organization defines the time period of inactivity after which the information system terminates a network connection associated with a communications session.,TRUE
SC_11-1_1_rmf,SC-11(1),Trusted Path | Irrefutable Communications Path,System and Communications Protection,,,,fas fa-user-lock,SC-11(1).1,,The information system provides a trusted communications path that is logically isolated and distinguishable from other paths.,TRUE
SC_11_1_rmf,SC-11,Trusted Path,System and Communications Protection,,,,fas fa-user-lock,SC-11.1,,The information system establishes a trusted communications path between the user and organization-defined security functions within the information system.,TRUE
SC_11_2_rmf,SC-11,Trusted Path,System and Communications Protection,,,,fas fa-user-lock,SC-11.2,,"The organization defines the security functions, to minimally include information system authentication and re-authentication, within the information system to be included in a trusted communications path.",TRUE
SC_12-1_1_rmf,SC-12(1),Cryptographic Key Establishment and Management | Availability,System and Communications Protection,,,,fas fa-user-lock,SC-12(1).1,,The organization maintains availability of information in the event of the loss of cryptographic keys by users.,TRUE
SC_12-2_1_rmf,SC-12(2),Cryptographic Key Establishment and Management | Symmetric Keys,System and Communications Protection,,,,fas fa-user-lock,SC-12(2).1,,The organization produces symmetric cryptographic keys using NIST FIPS-compliant or NSA-approved key management technology and processes.,TRUE
SC_12-2_2_rmf,SC-12(2),Cryptographic Key Establishment and Management | Symmetric Keys,System and Communications Protection,,,,fas fa-user-lock,SC-12(2).2,,The organization controls symmetric cryptographic keys using NIST FIPS-compliant or NSA-approved key management technology and processes.,TRUE
SC_12-2_3_rmf,SC-12(2),Cryptographic Key Establishment and Management | Symmetric Keys,System and Communications Protection,,,,fas fa-user-lock,SC-12(2).3,,The organization distributes symmetric cryptographic keys using NIST FIPS-compliant or NSA-approved key management technology and processes.,TRUE
SC_12-3_1_rmf,SC-12(3),Cryptographic Key Establishment and Management | Asymmetric Keys,System and Communications Protection,,,,fas fa-user-lock,SC-12(3).1,,The organization produces asymmetric cryptographic keys using: NSA-approved key management technology and processes; approved PKI Class 3 certificates or prepositioned keying material; or approved PKI Class 3 or Class 4 certificates and hardware security tokens that protect the user^s private key.,TRUE
SC_12-3_2_rmf,SC-12(3),Cryptographic Key Establishment and Management | Asymmetric Keys,System and Communications Protection,,,,fas fa-user-lock,SC-12(3).2,,The organization controls asymmetric cryptographic keys using: NSA-approved key management technology and processes; approved PKI Class 3 certificates or prepositioned keying material; or approved PKI Class 3 or Class 4 certificates and hardware security tokens that protect the user^s private key.,TRUE
SC_12-3_3_rmf,SC-12(3),Cryptographic Key Establishment and Management | Asymmetric Keys,System and Communications Protection,,,,fas fa-user-lock,SC-12(3).3,,The organization distributes asymmetric cryptographic keys using: NSA-approved key management technology and processes; approved PKI Class 3 certificates or prepositioned keying material; or approved PKI Class 3 or Class 4 certificates and hardware security tokens that protect the user^s private key.,TRUE
SC_12_1_rmf,SC-12,Cryptographic Key Establishment and Management,System and Communications Protection,,,,fas fa-user-lock,SC-12.1,,The organization defines the requirements for cryptographic key generation to be employed within the information system.,TRUE
SC_12_10_rmf,SC-12,Cryptographic Key Establishment and Management,System and Communications Protection,,,,fas fa-user-lock,SC-12.10,,The organization establishes cryptographic keys for required cryptography employed within the information system in accordance with organization-defined requirements for key destruction.,TRUE
SC_12_11_rmf,SC-12,Cryptographic Key Establishment and Management,System and Communications Protection,,,,fas fa-user-lock,SC-12.11,,The organization manages cryptographic keys for required cryptography employed within the information system in accordance with organization-defined requirements for key generation.,TRUE
SC_12_12_rmf,SC-12,Cryptographic Key Establishment and Management,System and Communications Protection,,,,fas fa-user-lock,SC-12.12,,The organization manages cryptographic keys for required cryptography employed within the information system in accordance with organization-defined requirements for key distribution.,TRUE
SC_12_13_rmf,SC-12,Cryptographic Key Establishment and Management,System and Communications Protection,,,,fas fa-user-lock,SC-12.13,,The organization manages cryptographic keys for required cryptography employed within the information system in accordance with organization-defined requirements for key storage.,TRUE
SC_12_14_rmf,SC-12,Cryptographic Key Establishment and Management,System and Communications Protection,,,,fas fa-user-lock,SC-12.14,,The organization manages cryptographic keys for required cryptography employed within the information system in accordance with organization-defined requirements for key access.,TRUE
SC_12_15_rmf,SC-12,Cryptographic Key Establishment and Management,System and Communications Protection,,,,fas fa-user-lock,SC-12.15,,The organization manages cryptographic keys for required cryptography employed within the information system in accordance with organization-defined requirements for key destruction.,TRUE
SC_12_2_rmf,SC-12,Cryptographic Key Establishment and Management,System and Communications Protection,,,,fas fa-user-lock,SC-12.2,,The organization defines the requirements for cryptographic key distribution to be employed within the information system.,TRUE
SC_12_3_rmf,SC-12,Cryptographic Key Establishment and Management,System and Communications Protection,,,,fas fa-user-lock,SC-12.3,,The organization defines the requirements for cryptographic key storage to be employed within the information system.,TRUE
SC_12_4_rmf,SC-12,Cryptographic Key Establishment and Management,System and Communications Protection,,,,fas fa-user-lock,SC-12.4,,The organization defines the requirements for cryptographic key access to be employed within the information system.,TRUE
SC_12_5_rmf,SC-12,Cryptographic Key Establishment and Management,System and Communications Protection,,,,fas fa-user-lock,SC-12.5,,The organization defines the requirements for cryptographic key destruction to be employed within the information system.,TRUE
SC_12_6_rmf,SC-12,Cryptographic Key Establishment and Management,System and Communications Protection,,,,fas fa-user-lock,SC-12.6,,The organization establishes cryptographic keys for required cryptography employed within the information system in accordance with organization-defined requirements for key generation.,TRUE
SC_12_7_rmf,SC-12,Cryptographic Key Establishment and Management,System and Communications Protection,,,,fas fa-user-lock,SC-12.7,,The organization establishes cryptographic keys for required cryptography employed within the information system in accordance with organization-defined requirements for key distribution.,TRUE
SC_12_8_rmf,SC-12,Cryptographic Key Establishment and Management,System and Communications Protection,,,,fas fa-user-lock,SC-12.8,,The organization establishes cryptographic keys for required cryptography employed within the information system in accordance with organization-defined requirements for key storage.,TRUE
SC_12_9_rmf,SC-12,Cryptographic Key Establishment and Management,System and Communications Protection,,,,fas fa-user-lock,SC-12.9,,The organization establishes cryptographic keys for required cryptography employed within the information system in accordance with organization-defined requirements for key access.,TRUE
SC_13_1_rmf,SC-13,Cryptographic Protection,System and Communications Protection,,,,fas fa-user-lock,SC-13.1,,"The organization defines the cryptographic uses, and type of cryptography required for each use, to be implemented by the information system.",TRUE
SC_13_2_rmf,SC-13,Cryptographic Protection,System and Communications Protection,,,,fas fa-user-lock,SC-13.2,,"The information system implements organization-defined cryptographic uses and type of cryptography required for each use in accordance with applicable federal laws, Executive Orders, directives, policies, regulations, and standards.",TRUE
SC_15-1_1_rmf,SC-15(1),Collaborative Computing Devices and Applications | Physical or Logical Disconnect,System and Communications Protection,,,,fas fa-user-lock,SC-15(1).1,,The information system provides physical disconnect of collaborative computing devices in a manner that supports ease of use.,TRUE
SC_15-3_1_rmf,SC-15(3),Collaborative Computing Devices and Applications | Disabling and Removal in Secure Work Areas,System and Communications Protection,,,,fas fa-user-lock,SC-15(3).1,,The organization disables or removes collaborative computing devices from organization-defined information systems or information system components in organization-defined secure work areas.,TRUE
SC_15-3_2_rmf,SC-15(3),Collaborative Computing Devices and Applications | Disabling and Removal in Secure Work Areas,System and Communications Protection,,,,fas fa-user-lock,SC-15(3).2,,The organization defines secure work areas where collaborative computing devices are to be disabled or removed.,TRUE
SC_15-3_3_rmf,SC-15(3),Collaborative Computing Devices and Applications | Disabling and Removal in Secure Work Areas,System and Communications Protection,,,,fas fa-user-lock,SC-15(3).3,,The organization defines the information systems or information system components from which collaborative computing devices in organization-defined secure work areas are to be disabled or removed.,TRUE
SC_15-4_1_rmf,SC-15(4),Collaborative Computing Devices and Applications | Explicitly Indicate Current Participants,System and Communications Protection,,,,fas fa-user-lock,SC-15(4).1,,The organization defines the online meetings and teleconferences for which the information system provides an explicit indication of current participants.,TRUE
SC_15-4_2_rmf,SC-15(4),Collaborative Computing Devices and Applications | Explicitly Indicate Current Participants,System and Communications Protection,,,,fas fa-user-lock,SC-15(4).2,,The information system provides an explicit indication of current participants in organization-defined online meetings and teleconferences.,TRUE
SC_15_1_rmf,SC-15,Collaborative Computing Devices and Applications,System and Communications Protection,,,,fas fa-user-lock,SC-15.1,,"The information system prohibits remote activation of collaborative computing devices, excluding the organization-defined exceptions where remote activation is to be allowed.",TRUE
SC_15_2_rmf,SC-15,Collaborative Computing Devices and Applications,System and Communications Protection,,,,fas fa-user-lock,SC-15.2,,The organization defines exceptions to the prohibition of collaborative computing devices where remote activation is to be allowed.,TRUE
SC_15_3_rmf,SC-15,Collaborative Computing Devices and Applications,System and Communications Protection,,,,fas fa-user-lock,SC-15.3,,The information system provides an explicit indication of use to users physically present at collaborative computing devices.,TRUE
SC_16-1_1_rmf,SC-16(1),Transmission of Security and Privacy Attributes | Integrity Verification,System and Communications Protection,,,,fas fa-user-lock,SC-16(1).1,,The information system validates the integrity of transmitted security attributes.,TRUE
SC_16_1_rmf,SC-16,Transmission of Security and Privacy Attributes,System and Communications Protection,,,,fas fa-user-lock,SC-16.1,,The information system associates organization-defined security attributes with information exchanged between information systems.,TRUE
SC_16_2_rmf,SC-16,Transmission of Security and Privacy Attributes,System and Communications Protection,,,,fas fa-user-lock,SC-16.2,,The organization defines the security attributes the information system is to associate with the information being exchanged between information systems and between information system components.,TRUE
SC_16_3_rmf,SC-16,Transmission of Security and Privacy Attributes,System and Communications Protection,,,,fas fa-user-lock,SC-16.3,,The information system associates organization-defined security attributes with information exchanged between information system components.,TRUE
SC_17_1_rmf,SC-17,Public Key Infrastructure Certificates,System and Communications Protection,,,,fas fa-user-lock,SC-17.1,,The organization issues public key certificates under an organization-defined certificate policy or obtains public key certificates from an approved service provider.,TRUE
SC_17_2_rmf,SC-17,Public Key Infrastructure Certificates,System and Communications Protection,,,,fas fa-user-lock,SC-17.2,,The organization defines the certificate policy employed to issue public key certificates.,TRUE
SC_18-1_1_rmf,SC-18(1),Mobile Code | Identify Unacceptable Code and Take Corrective Actions,System and Communications Protection,,,,fas fa-user-lock,SC-18(1).1,,The information system identifies organization-defined unacceptable mobile code.,TRUE
SC_18-1_2_rmf,SC-18(1),Mobile Code | Identify Unacceptable Code and Take Corrective Actions,System and Communications Protection,,,,fas fa-user-lock,SC-18(1).2,,The information system takes organization-defined corrective action when organization-defined unacceptable mobile code is identified.,TRUE
SC_18-1_3_rmf,SC-18(1),Mobile Code | Identify Unacceptable Code and Take Corrective Actions,System and Communications Protection,,,,fas fa-user-lock,SC-18(1).3,,The organization defines the corrective actions to be taken when organization-defined unacceptable mobile code is identified.,TRUE
SC_18-1_4_rmf,SC-18(1),Mobile Code | Identify Unacceptable Code and Take Corrective Actions,System and Communications Protection,,,,fas fa-user-lock,SC-18(1).4,,The organization defines what constitutes unacceptable mobile code for its information systems.,TRUE
SC_18-2_1_rmf,SC-18(2),"Mobile Code | Acquisition, Development, and Use",System and Communications Protection,,,,fas fa-user-lock,SC-18(2).1,,The organization ensures the development of mobile code to be deployed in information systems meets organization-defined mobile code requirements.,TRUE
SC_18-2_2_rmf,SC-18(2),"Mobile Code | Acquisition, Development, and Use",System and Communications Protection,,,,fas fa-user-lock,SC-18(2).2,,"The organization defines requirements for the acquisition, development, and use of mobile code.",TRUE
SC_18-2_3_rmf,SC-18(2),"Mobile Code | Acquisition, Development, and Use",System and Communications Protection,,,,fas fa-user-lock,SC-18(2).3,,The organization ensures the use of mobile code to be deployed in information systems meets organization-defined mobile code requirements.,TRUE
SC_18-2_4_rmf,SC-18(2),"Mobile Code | Acquisition, Development, and Use",System and Communications Protection,,,,fas fa-user-lock,SC-18(2).4,,The organization ensures the acquisition of mobile code to be deployed in information systems meets organization-defined mobile code requirements.,TRUE
SC_18-3_1_rmf,SC-18(3),Mobile Code | Prevent Downloading and Execution,System and Communications Protection,,,,fas fa-user-lock,SC-18(3).1,,The information system prevents the download of organization-defined unacceptable mobile code.,TRUE
SC_18-3_2_rmf,SC-18(3),Mobile Code | Prevent Downloading and Execution,System and Communications Protection,,,,fas fa-user-lock,SC-18(3).2,,The information system prevents the execution of organization-defined unacceptable mobile code.,TRUE
SC_18-3_3_rmf,SC-18(3),Mobile Code | Prevent Downloading and Execution,System and Communications Protection,,,,fas fa-user-lock,SC-18(3).3,,The organization defines the unacceptable mobile code of which the information system is to prevent download and execution.,TRUE
SC_18-4_1_rmf,SC-18(4),Mobile Code | Prevent Automatic Execution,System and Communications Protection,,,,fas fa-user-lock,SC-18(4).1,,The information system prevents the automatic execution of mobile code in organization-defined software applications.,TRUE
SC_18-4_2_rmf,SC-18(4),Mobile Code | Prevent Automatic Execution,System and Communications Protection,,,,fas fa-user-lock,SC-18(4).2,,The organization defines software applications in which automatic mobile code execution is to be prohibited.,TRUE
SC_18-4_3_rmf,SC-18(4),Mobile Code | Prevent Automatic Execution,System and Communications Protection,,,,fas fa-user-lock,SC-18(4).3,,The organization defines actions to be enforced by the information system before executing mobile code.,TRUE
SC_18-4_4_rmf,SC-18(4),Mobile Code | Prevent Automatic Execution,System and Communications Protection,,,,fas fa-user-lock,SC-18(4).4,,The information system enforces organization-defined actions prior to executing mobile code.,TRUE
SC_18-5_1_rmf,SC-18(5),Mobile Code | Allow Execution Only in Confined Environments,System and Communications Protection,,,,fas fa-user-lock,SC-18(5).1,,The organization allows execution of permitted mobile code only in confined virtual machine environments.,TRUE
SC_18_1_rmf,SC-18,Mobile Code,System and Communications Protection,,,,fas fa-user-lock,SC-18.1,,The organization defines acceptable and unacceptable mobile code and mobile code technologies.,TRUE
SC_18_2_rmf,SC-18,Mobile Code,System and Communications Protection,,,,fas fa-user-lock,SC-18.2,,The organization establishes usage restrictions for acceptable mobile code and mobile code technologies.,TRUE
