name,dashboard,domain,capability,icon,practice_description,level,expanded_guidance,visible
WM-1G: Assign Cyber Security Responsibilities,WM_1G_aescsf,Workforce Management,Assign Cyber Security Responsibilities,,Assigned Cyber Security responsibilities are managed to ensure adequacy and redundancy of coverage,MIL-3 SP-3,,TRUE
WM-2A: Control the Workforce Life Cycle,WM_2A_aescsf,Workforce Management,Control the Workforce Life Cycle,,"Personnel vetting (e.g., background checks, drug tests) is performed, at least in an ad hoc manner, at hire for positions that have access to the assets required for delivery of the function",MIL-1 SP-1,,TRUE
WM-2B: Control the Workforce Life Cycle,WM_2B_aescsf,Workforce Management,Control the Workforce Life Cycle,,"Personnel termination procedures address Cyber Security, at least in an ad hoc manner",MIL-1 SP-1,,TRUE
WM-2C: Control the Workforce Life Cycle,WM_2C_aescsf,Workforce Management,Control the Workforce Life Cycle,,Personnel vetting is performed at an organisation-defined frequency for positions that have access to the assets required for delivery of the function,MIL-2 SP-2,,TRUE
WM-2D: Control the Workforce Life Cycle,WM_2D_aescsf,Workforce Management,Control the Workforce Life Cycle,,Personnel transfer procedures address Cyber Security,MIL-2 SP-2,,TRUE
WM-2E: Control the Workforce Life Cycle,WM_2E_aescsf,Workforce Management,Control the Workforce Life Cycle,,Risk designations are assigned to all positions that have access to the assets required for delivery of the function,MIL-3 SP-3,,TRUE
WM-2F: Control the Workforce Life Cycle,WM_2F_aescsf,Workforce Management,Control the Workforce Life Cycle,,"Vetting is performed for all positions (including employees, vendors, and contractors) at a level commensurate with position risk designation",MIL-3 SP-3,,TRUE
WM-2G: Control the Workforce Life Cycle,WM_2G_aescsf,Workforce Management,Control the Workforce Life Cycle,,Succession planning is performed for personnel based on risk designation,MIL-3 SP-3,,TRUE
WM-2H: Control the Workforce Life Cycle,WM_2H_aescsf,Workforce Management,Control the Workforce Life Cycle,,A formal accountability process that includes disciplinary actions is implemented for personnel who fail to comply with established Security policies and procedures,MIL-3 SP-2,,TRUE
WM-3A: Develop Cyber Security Workforce,WM_3A_aescsf,Workforce Management,Develop Cyber Security Workforce,,"Cyber Security training is made available, at least in an ad hoc manner, to personnel with assigned Cyber Security responsibilities",MIL-1 SP-1,,TRUE
WM-3B: Develop Cyber Security Workforce,WM_3B_aescsf,Workforce Management,Develop Cyber Security Workforce,,"Cyber Security knowledge, skill, and ability gaps are identified",MIL-2 SP-2,,TRUE
WM-3C: Develop Cyber Security Workforce,WM_3C_aescsf,Workforce Management,Develop Cyber Security Workforce,,Identified gaps are addressed through recruiting and/or training,MIL-2 SP-2,,TRUE
WM-3D: Develop Cyber Security Workforce,WM_3D_aescsf,Workforce Management,Develop Cyber Security Workforce,,"Cyber Security training is provided as a prerequisite to granting access to assets that support the delivery of the function (e.g., new personnel training, personnel transfer training)",MIL-2 SP-1,,TRUE
WM-3E: Develop Cyber Security Workforce,WM_3E_aescsf,Workforce Management,Develop Cyber Security Workforce,,Cyber Security workforce management objectives that support current and future operational needs are established and maintained,MIL-3 SP-3,,TRUE
WM-3F: Develop Cyber Security Workforce,WM_3F_aescsf,Workforce Management,Develop Cyber Security Workforce,,Recruiting and retention are aligned to support Cyber Security workforce management objectives,MIL-3 SP-3,,TRUE
WM-3G: Develop Cyber Security Workforce,WM_3G_aescsf,Workforce Management,Develop Cyber Security Workforce,,Training programs are aligned to support Cyber Security workforce management objectives,MIL-3 SP-3,,TRUE
WM-3H: Develop Cyber Security Workforce,WM_3H_aescsf,Workforce Management,Develop Cyber Security Workforce,,The effectiveness of training programs is evaluated at an organisation-defined frequency and improvements are made as appropriate,MIL-3 SP-3,,TRUE
WM-3I: Develop Cyber Security Workforce,WM_3I_aescsf,Workforce Management,Develop Cyber Security Workforce,,Training programs include continuing education and professional development opportunities for personnel with significant Cyber Security responsibilities,MIL-3 SP-3,,TRUE
WM-4A: Increase Cyber Security Awareness,WM_4A_aescsf,Workforce Management,Increase Cyber Security Awareness,,"Cyber Security awareness activities occur, at least in an ad hoc manner",MIL-1 SP-1,,TRUE
WM-4B: Increase Cyber Security Awareness,WM_4B_aescsf,Workforce Management,Increase Cyber Security Awareness,,Objectives for Cyber Security awareness activities are established and maintained,MIL-2 SP-2,,TRUE
WM-4C: Increase Cyber Security Awareness,WM_4C_aescsf,Workforce Management,Increase Cyber Security Awareness,,Cyber Security awareness content is based on the organisation's threat profile (TVM-1d),MIL-2 SP-2,,TRUE
WM-4D: Increase Cyber Security Awareness,WM_4D_aescsf,Workforce Management,Increase Cyber Security Awareness,,Cyber Security awareness activities are aligned with the predefined states of operation (SA-3f),MIL-3 SP-3,,TRUE
WM-4E: Increase Cyber Security Awareness,WM_4E_aescsf,Workforce Management,Increase Cyber Security Awareness,,The effectiveness of Cyber Security awareness activities is evaluated at an organisation-defined frequency and improvements are made as appropriate,MIL-3 SP-3,,TRUE
WM-AP1: WM Anti-Patterns,WM_AP1_aescsf,Workforce Management,WM Anti-Patterns,,Cyber security capabilities are dependent on one or two key personnel and no succession plan is in place to ensure retention of critical knowledge,MIL-3 SP-2,,TRUE
WM-AP2: WM Anti-Patterns,WM_AP2_aescsf,Workforce Management,WM Anti-Patterns,,Personnel interacting with critical assets are not assigned additional cyber security responsibilities,MIL-3 SP-3,,TRUE
WM-AP3: WM Anti-Patterns,WM_AP3_aescsf,Workforce Management,WM Anti-Patterns,,Personnel interacting with critical assets are not aware of their additional assigned cyber security responsibilities (WM-AP2),MIL-3 SP-3,,TRUE
