capability,"capability_description",dashboard,domain,icon,level,name,"practice_description",visible
"RA-3","Risk Assessment","RA_3_fisma","Risk Assessment","fas fa-user-lock","Low-Medium-High","RA-3","Assess supply chain risks associated with [Assignment: organization-defined systems, system components, and system services]; and Update the supply chain risk assessment [Assignment: organization-defined frequency], when there are significant changes to the relevant supply chain, or when changes to the system, environments of operation, or other conditions may necessitate a change in the supply chain.",TRUE
"RA-3","Risk Assessment | Supply Chain Risk Assessment","RA_3-1_fisma","Risk Assessment","fas fa-user-lock","Low-Medium-High","RA-3(1)","The organization conducts an assessment of risk of the information system and the information it processes, stores, or transmits that includes the likelihood and magnitude of harm from the unauthorized access, use, disclosure, disruption, modification, or destruction.",TRUE
"RA-5","Vulnerability Monitoring and Scanning","RA_5_fisma","Risk Assessment","fas fa-user-lock","Low-Medium-High","RA-5","The organization scans for vulnerabilities in the information system and hosted applications on an organization-defined frequency.",TRUE
"RA-5","Vulnerability Monitoring and Scanning | Update Vulnerabilities to Be Scanned","RA_5-2_fisma","Risk Assessment","fas fa-user-lock","Low-Medium-High","RA-5(2)","The organization updates the information system vulnerabilities scanned on an organization-defined frequency, prior to a new scan, and/or when new vulnerabilities are identified and reported.",TRUE
"RA-5","Vulnerability Monitoring and Scanning | Discoverable Information","RA_5-4_fisma","Risk Assessment","fas fa-user-lock",High,"RA-5(4)","The organization determines what information about the information system is discoverable by adversaries.",TRUE
"RA-5","Vulnerability Monitoring and Scanning | Privileged Access","RA_5-5_fisma","Risk Assessment","fas fa-user-lock","Medium-High","RA-5(5)","The information system implements privileged access authorization to organization-identified information system components for selected organization-defined vulnerability scanning activities.",TRUE
"RA-5","Vulnerability Monitoring and Scanning | Public Disclosure Program","RA_5-11_fisma","Risk Assessment","fas fa-user-lock","Low-Medium-High","RA-5(11)","Establish a public reporting channel for receiving reports of vulnerabilities in organizational systems and system components.",TRUE
"RA-7","Risk Response","RA_7_fisma","Risk Assessment","fas fa-user-lock","Low-Medium-High","RA-7","Respond to findings from security and privacy assessments, monitoring, and audits in accordance with organizational risk tolerance.",TRUE
"RA-9","Criticality Analysis","RA_9_fisma","Risk Assessment","fas fa-user-lock","Medium-High","RA-9","Identify critical system components and functions by performing a criticality analysis for [Assignment: organization-defined systems, system components, or system services] at [Assignment: organization-defined decision points in the system development life cycle].",TRUE
"SA-1","Policy and Procedures","SA_1_fisma","System And Services Acquisition","fas fa-user-lock","Low-Medium-High","SA-1","The organization defines the personnel or roles to whom the system and services acquisition policy is disseminated.",TRUE
"SA-2","Allocation of Resources","SA_2_fisma","System And Services Acquisition","fas fa-user-lock","Low-Medium-High","SA-2","The organization determines information security requirements for the information system or information system service in mission/business process planning.",TRUE
"SA-3","System Development Life Cycle","SA_3_fisma","System And Services Acquisition","fas fa-user-lock","Low-Medium-High","SA-3","The organization manages the information system using an organization-defined system development life cycle that incorporates information security considerations.",TRUE
"SA-4","Acquisition Process","SA_4_fisma","System And Services Acquisition","fas fa-user-lock","Low-Medium-High","SA-4","The organization includes the security functional requirements, explicitly or by reference, in the acquisition contract for the information system, system component, or information system service in accordance with applicable federal laws, Executive Orders, directives, policies, regulations, standards, guidelines, and organizational mission/business needs.",TRUE
"SA-4","Acquisition Process | Functional Properties of Controls","SA_4-1_fisma","System And Services Acquisition","fas fa-user-lock","Medium-High","SA-4(1)","The organization requires the developer of the information system, system component, or information system service to provide a description of the functional properties of the security controls to be employed.",TRUE
"SA-4","Acquisition Process | Use of Approved PIV Products","SA_4-10_fisma","System And Services Acquisition","fas fa-user-lock","Low-Medium-High","SA-4(10)","The organization employs only information technology products on the FIPS 201-approved products list for Personal Identity Verification (PIV) capability implemented within organizational information systems.",TRUE
"SA-4","Acquisition Process | Design and Implementation Information for Controls","SA_4-2_fisma","System And Services Acquisition","fas fa-user-lock","Medium-High","SA-4(2)","The organization requires the developer of the information system, system component, or information system service to provide design information for the security controls to be employed that includes security-relevant external system interfaces, high-level design, low-level design, source code, hardware schematics, and/or organization-defined design information at an organization-defined level of detail.",TRUE
"SA-4","Acquisition Process | System, Component, and Service Configurations","SA_4-5_fisma","System And Services Acquisition","fas fa-user-lock",High,"SA-4(5)","The organization requires the developer of the information system, system component, or information system service to deliver the system, component, or service with organization-defined security configurations implemented.",TRUE
"SA-4","Acquisition Process | Functions, Ports, Protocols, and Services in Use","SA_4-9_fisma","System And Services Acquisition","fas fa-user-lock","Medium-High","SA-4(9)","The organization requires the developer of the information system, system component, or information system service to identify early in the system development life cycle, the functions, ports, protocols, and services intended for organizational use.",TRUE
"SA-5","System Documentation","SA_5_fisma","System And Services Acquisition","fas fa-user-lock","Low-Medium-High","SA-5","The organization obtains administrator documentation for the information system, system component, or information system service that describes secure configuration of the system, component, or service.",TRUE
"SA-8","Security and Privacy Engineering Principles","SA_8_fisma","System And Services Acquisition","fas fa-user-lock","Low-Medium-High","SA-8","The organization applies information system security engineering principles in the specification of the information system.",TRUE
"SA-9","External System Services","SA_9_fisma","System And Services Acquisition","fas fa-user-lock","Low-Medium-High","SA-9","The organization requires that providers of external information system services comply with organizational information security requirements.",TRUE
"SA-9","External System Services | Identification of Functions, Ports, Protocols, and Services","SA_9-2_fisma","System And Services Acquisition","fas fa-user-lock","Medium-High","SA-9(2)","The organization requires providers of organization-defined external information system services to identify the functions, ports, protocols, and other services required for the use of such services.",TRUE
"SA-10","Developer Configuration Management | Software and Firmware Integrity Verification","SA_10-1_fisma","System And Services Acquisition","fas fa-user-lock","Medium-High","SA-10(1)","The organization requires the developer of the information system, system component, or information system service to enable integrity verification of software and firmware components.",TRUE
"SA-10","Developer Configuration Management","SA_10_fisma","System And Services Acquisition","fas fa-user-lock","Medium-High","SA-10","The organization requires the developer of the information system, system component, or information system service to perform configuration management during system, component, or service design, development, implementation and/or operation.",TRUE
"SA-11","Developer Testing and Evaluation","SA_11_fisma","System And Services Acquisition","fas fa-user-lock","Medium-High","SA-11","The organization requires the developer of the information system, system component, or information system service to create a security assessment plan.",TRUE
"SA-15","Development Process, Standards, and Tools | Criticality Analysis","SA_15-3_fisma","System And Services Acquisition","fas fa-user-lock","Medium-High","SA-15(3)","The organization defines the breadth/depth at which the developer of the information system, system component, or information system service is required to perform a criticality analysis.",TRUE
"SA-15","Development Process, Standards, and Tools","SA_15_fisma","System And Services Acquisition","fas fa-user-lock","Medium-High","SA-15","The organization requires the developer of the information system, system component, or information system service to follow a documented development process.",TRUE
"SA-16","Developer-provided Training","SA_16_fisma","System And Services Acquisition","fas fa-user-lock",High,"SA-16","The organization requires the developer of the information system, system component, or information system service to provide organization-defined training on the correct use and operation of the implemented security functions, controls, and/or mechanisms.",TRUE
"SA-17","Developer Security and Privacy Architecture and Design","SA_17_fisma","System And Services Acquisition","fas fa-user-lock",High,"SA-17","The organization requires the developer of the information system, system component, or information system service to produce a design specification and security architecture.",TRUE
"SA-21","Developer Screening","SA_21_fisma","System And Services Acquisition","fas fa-user-lock",High,"SA-21","The organization defines the information system, system component, or information system service which requires the information system developer to have appropriate access authorizations and satisfy additional personnel screening criteria.",TRUE
"SA-22","Unsupported System Components","SA_22_fisma","System And Services Acquisition","fas fa-user-lock","Low-Medium-High","SA-22","The organization replaces information system components when support for the components is no longer available from the developer, vendor, or manufacturer.",TRUE
"SC-1","Policy and Procedures","SC_1_fisma","System and Communications Protection","fas fa-user-lock","Low-Medium-High","SC-1","The organization defines the personnel or roles to be recipients of the system and communications protection policy.",TRUE
"SC-2","Separation of System and User Functionality","SC_2_fisma","System and Communications Protection","fas fa-user-lock","Medium-High","SC-2","The information system separates user functionality (including user interface services) from information system management functionality.",TRUE
"SC-3","Security Function Isolation","SC_3_fisma","System and Communications Protection","fas fa-user-lock",High,"SC-3","The information system isolates security functions from nonsecurity functions.",TRUE
"SC-4","Information in Shared System Resources","SC_4_fisma","System and Communications Protection","fas fa-user-lock","Medium-High","SC-4","The information system prevents unauthorized and unintended information transfer via shared system resources.",TRUE
"SC-5","Denial-of-service Protection","SC_5_fisma","System and Communications Protection","fas fa-user-lock","Low-Medium-High","SC-5","The organization defines the types of denial of service attacks (or provides references to sources of current denial of service attacks) that can be addressed by the information system.",TRUE
"SC-7","Boundary Protection","SC_7_fisma","System and Communications Protection","fas fa-user-lock","Low-Medium-High","SC-7","The information system monitors and controls communications at the external boundary of the information system and at key internal boundaries within the system.",TRUE
"SC-7","Boundary Protection | Fail Secure","SC_7-18_fisma","System and Communications Protection","fas fa-user-lock",High,"SC-7(18)","The information system fails securely in the event of an operational failure of a boundary protection device.",TRUE
"SC-7","Boundary Protection | Isolation of System Components","SC_7-21_fisma","System and Communications Protection","fas fa-user-lock",High,"SC-7(21)","The organization defines the information system components supporting organization-defined missions and/or business functions that are to be separated using boundary protection mechanisms.",TRUE
"SC-7","Boundary Protection | Access Points","SC_7-3_fisma","System and Communications Protection","fas fa-user-lock","Medium-High","SC-7(3)","The organization limits the number of external network connections to the information system.",TRUE
"SC-7","Boundary Protection | External Telecommunications Services","SC_7-4_fisma","System and Communications Protection","fas fa-user-lock","Medium-High","SC-7(4)","The organization establishes a traffic flow policy for each managed interface for each external telecommunication service.",TRUE
"SC-7","Boundary Protection | Deny by Default ? Allow by Exception","SC_7-5_fisma","System and Communications Protection","fas fa-user-lock","Medium-High","SC-7(5)","The information system at managed interfaces denies network communications traffic by default and allows network communications traffic by exception (i.e., deny all, permit by exception).",TRUE
"SC-7","Boundary Protection | Split Tunneling for Remote Devices","SC_7-7_fisma","System and Communications Protection","fas fa-user-lock","Medium-High","SC-7(7)","The information system, in conjunction with a remote device, prevents the device from simultaneously establishing non-remote connections with the system and communicating via some other connection to resources in external networks.",TRUE
"SC-7","Boundary Protection | Route Traffic to Authenticated Proxy Servers","SC_7-8_fisma","System and Communications Protection","fas fa-user-lock","Medium-High","SC-7(8)","The information system routes organization-defined internal communications traffic to organization-defined external networks through authenticated proxy servers at managed interfaces.",TRUE
"SC-8","Transmission Confidentiality and Integrity","SC_8_fisma","System and Communications Protection","fas fa-user-lock","Medium-High","SC-8","The information system protects the confidentiality and/or integrity of transmitted information.",TRUE
"SC-8","Transmission Confidentiality and Integrity | Cryptographic Protection","SC_8-1_fisma","System and Communications Protection","fas fa-user-lock","Medium-High","SC-8(1)","The organization defines the alternative physical safeguards to be employed when cryptographic mechanisms are not implemented to protect information during transmission.",TRUE
"SC-10","Network Disconnect","SC_10_fisma","System and Communications Protection","fas fa-user-lock","Medium-High","SC-10","The information system terminates the network connection associated with a communications session at the end of the session or after an organization-defined time period of inactivity.",TRUE
"SC-12","Cryptographic Key Establishment and Management | Availability","SC_12-1_fisma","System and Communications Protection","fas fa-user-lock",High,"SC-12(1)","The organization maintains availability of information in the event of the loss of cryptographic keys by users.",TRUE
"SC-12","Cryptographic Key Establishment and Management","SC_12_fisma","System and Communications Protection","fas fa-user-lock","Low-Medium-High","SC-12","The organization defines the requirements for cryptographic key generation to be employed within the information system.",TRUE
"SC-13","Cryptographic Protection","SC_13_fisma","System and Communications Protection","fas fa-user-lock","Low-Medium-High","SC-13","The organization defines the cryptographic uses, and type of cryptography required for each use, to be implemented by the information system.",TRUE
"SC-15","Collaborative Computing Devices and Applications","SC_15_fisma","System and Communications Protection","fas fa-user-lock","Low-Medium-High","SC-15","The information system prohibits remote activation of collaborative computing devices, excluding the organization-defined exceptions where remote activation is to be allowed.",TRUE
"SC-17","Public Key Infrastructure Certificates","SC_17_fisma","System and Communications Protection","fas fa-user-lock","Medium-High","SC-17","The organization issues public key certificates under an organization-defined certificate policy or obtains public key certificates from an approved service provider.",TRUE
"SC-18","Mobile Code","SC_18_fisma","System and Communications Protection","fas fa-user-lock","Medium-High","SC-18","The organization defines acceptable and unacceptable mobile code and mobile code technologies.",TRUE
"SC-20","Secure Name/Address Resolution Service (Authoritative Source)","SC_20_fisma","System and Communications Protection","fas fa-user-lock","Low-Medium-High","SC-20","The information system provides additional data origin authentication artifacts along with the authoritative name resolution data the system returns in response to external name/address resolution queries.",TRUE
"SC-21","Secure Name/Address Resolution Service (Recursive or Caching Resolver)","SC_21_fisma","System and Communications Protection","fas fa-user-lock","Low-Medium-High","SC-21","The information system requests data origin authentication verification on the name/address resolution responses the system receives from authoritative sources.",TRUE
"SC-22","Architecture and Provisioning for Name/Address Resolution Service","SC_22_fisma","System and Communications Protection","fas fa-user-lock","Low-Medium-High","SC-22","The information systems that collectively provide name/address resolution service for an organization are fault-tolerant.",TRUE
"SC-23","Session Authenticity","SC_23_fisma","System and Communications Protection","fas fa-user-lock","Medium-High","SC-23","The information system protects the authenticity of communications sessions.",TRUE
"SC-24","Fail in Known State","SC_24_fisma","System and Communications Protection","fas fa-user-lock",High,"SC-24","The information system fails to an organization-defined known-state for organization-defined types of failures.",TRUE
"SC-28","Protection of Information at Rest | Cryptographic Protection","SC_28-1_fisma","System and Communications Protection","fas fa-user-lock","Medium-High","SC-28(1)","The organization defines the information at rest for which cryptographic mechanisms will be implemented.",TRUE
"SC-28","Protection of Information at Rest","SC_28_fisma","System and Communications Protection","fas fa-user-lock","Medium-High","SC-28","The information system protects the confidentiality and/or integrity of organization-defined information at rest.",TRUE
"SC-39","Process Isolation","SC_39_fisma","System and Communications Protection","fas fa-user-lock","Low-Medium-High","SC-39","The information system maintains a separate execution domain for each executing process.",TRUE
"SI-1","Policy and Procedures","SI_1_fisma","System and Informational Integrity","fas fa-user-lock","Low-Medium-High","SI-1","The organization defines the personnel or roles to whom the system and information integrity policy and procedures are to be disseminated.",TRUE
"SI-2","Flaw Remediation","SI_2_fisma","System and Informational Integrity","fas fa-user-lock","Low-Medium-High","SI-2","The organization identifies information system flaws.",TRUE
"SI-2","Flaw Remediation | Automated Flaw Remediation Status","SI_2-2_fisma","System and Informational Integrity","fas fa-user-lock","Medium-High","SI-2(2)","The organization employs automated mechanisms on an organization-defined frequency to determine the state of information system components with regard to flaw remediation.",TRUE
"SI-3","Malicious Code Protection","SI_3_fisma","System and Informational Integrity","fas fa-user-lock","Low-Medium-High","SI-3","The organization employs malicious code protection mechanisms at information system entry points to detect malicious code.",TRUE
"SI-4","System Monitoring","SI_4_fisma","System and Informational Integrity","fas fa-user-lock","Low-Medium-High","SI-4","The organization defines the objectives of monitoring for attacks and indicators of potential attacks on the information system.",TRUE
"SI-4","System Monitoring | Visibility of Encrypted Communications","SI_4-10_fisma","System and Informational Integrity","fas fa-user-lock",High,"SI-4(10)","The organization defines the encrypted communications traffic that is to be visible to organization-defined information system monitoring tools.",TRUE
"SI-4","System Monitoring | Automated Organization-generated Alerts","SI_4-12_fisma","System and Informational Integrity","fas fa-user-lock",High,"SI-4(12)","The organization employs automated mechanisms to alert security personnel of organization-defined inappropriate or unusual activities with security implications.",TRUE
"SI-4","System Monitoring | Wireless Intrusion Detection","SI_4-14_fisma","System and Informational Integrity","fas fa-user-lock",High,"SI-4(14)","The organization employs a wireless intrusion detection system to identify rogue wireless devices and to detect attack attempts and potential compromises/breaches to the information system.",TRUE
"SI-4","System Monitoring | Automated Tools and Mechanisms for Real-time Analysis","SI_4-2_fisma","System and Informational Integrity","fas fa-user-lock","Medium-High","SI-4(2)","The organization employs automated tools to support near real-time analysis of events.",TRUE
"SI-4","System Monitoring | Privileged Users","SI_4-20_fisma","System and Informational Integrity","fas fa-user-lock",High,"SI-4(20)","The organization defines additional monitoring to be implemented for privileged users.",TRUE
"SI-4","System Monitoring | Unauthorized Network Services","SI_4-22_fisma","System and Informational Integrity","fas fa-user-lock",High,"SI-4(22)","The organization defines the authorization or approval process for network services.",TRUE
"SI-4","System Monitoring | Inbound and Outbound Communications Traffic","SI_4-4_fisma","System and Informational Integrity","fas fa-user-lock","Medium-High","SI-4(4)","The organization defines the frequency on which it will monitor inbound communications for unusual or unauthorized activities or conditions.",TRUE
"SI-4","System Monitoring | System-generated Alerts","SI_4-5_fisma","System and Informational Integrity","fas fa-user-lock","Medium-High","SI-4(5)","The organization defines indicators of compromise or potential compromise to the security of the information system which will result in information system alerts being provided to organization-defined personnel or roles.",TRUE
"SI-5","Security Alerts, Advisories, and Directives","SI_5_fisma","System and Informational Integrity","fas fa-user-lock","Low-Medium-High","SI-5","The organization receives information system security alerts, advisories, and directives from organization-defined external organizations on an ongoing basis.",TRUE
"SI-5","Security Alerts, Advisories, and Directives | Automated Alerts and Advisories","SI_5-1_fisma","System and Informational Integrity","fas fa-user-lock",High,"SI-5(1)","The organization employs automated mechanisms to make security alert and advisory information available throughout the organization.",TRUE
"SI-6","Security and Privacy Function Verification","SI_6_fisma","System and Informational Integrity","fas fa-user-lock",High,"SI-6","The organization defines the security functions that require verification of correct operation.",TRUE
"SI-7","Software, Firmware, and Information Integrity","SI_7_fisma","System and Informational Integrity","fas fa-user-lock","Medium-High","SI-7","The organization defines the software, firmware, and information which will be subjected to integrity verification tools to detect unauthorized changes.",TRUE
"SI-7","Software, Firmware, and Information Integrity | Integrity Checks","SI_7-1_fisma","System and Informational Integrity","fas fa-user-lock","Medium-High","SI-7(1)","The organization defines the software on which integrity checks will be performed.",TRUE
"SI-7","Software, Firmware, and Information Integrity | Code Authentication","SI_7-15_fisma","System and Informational Integrity","fas fa-user-lock",High,"SI-7(15)","The organization defines the software or firmware components on which cryptographic mechanisms are to be implemented to support authentication prior to installation.",TRUE
"SI-7","Software, Firmware, and Information Integrity | Automated Notifications of Integrity Violations","SI_7-2_fisma","System and Informational Integrity","fas fa-user-lock",High,"SI-7(2)","The organization employs automated tools that provide notification to organization-defined personnel or roles upon discovering discrepancies during integrity verification.",TRUE
"SI-7","Software, Firmware, and Information Integrity | Automated Response to Integrity Violations","SI_7-5_fisma","System and Informational Integrity","fas fa-user-lock",High,"SI-7(5)","The organization defines the security safeguards that are to be employed when integrity violations are discovered.",TRUE
"SI-7","Software, Firmware, and Information Integrity | Integration of Detection and Response","SI_7-7_fisma","System and Informational Integrity","fas fa-user-lock","Medium-High","SI-7(7)","The organization defines the unauthorized security-relevant changes to the information system that are to be incorporated into the organizational incident response capability.",TRUE
"SI-8","Spam Protection","SI_8_fisma","System and Informational Integrity","fas fa-user-lock","Medium-High","SI-8","The organization employs spam protection mechanisms at information system entry points to detect and take action on unsolicited messages.",TRUE
"SI-8","Spam Protection | Automatic Updates","SI_8-2_fisma","System and Informational Integrity","fas fa-user-lock","Medium-High","SI-8(2)","The information system automatically updates spam protection mechanisms.",TRUE
"SI-10","Information Input Validation","SI_10_fisma","System and Informational Integrity","fas fa-user-lock","Medium-High","SI-10","The information system checks the validity of organization-defined inputs.",TRUE
"SI-11","Error Handling","SI_11_fisma","System and Informational Integrity","fas fa-user-lock","Medium-High","SI-11","The information system generates error messages that provide information necessary for corrective actions without revealing information that could be exploited by adversaries.",TRUE
"SI-12","Information Management and Retention","SI_12_fisma","System and Informational Integrity","fas fa-user-lock","Low-Medium-High","SI-12","The organization handles information within the information system and information output from the system in accordance with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and operational requirements.",TRUE
"SI-16","Memory Protection","SI_16_fisma","System and Informational Integrity","fas fa-user-lock","Medium-High","SI-16","The organization defines the security safeguards to be implemented to protect the information system^s memory from unauthorized code execution.",TRUE
