"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Upper middle income","UMC","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","","155766","925308","4821583","14128840","32110449","49063223","70596750","97662279","125371736","155308772","187931935","229272997","256761228","279789530","",
"Uruguay","URY","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","27000","48539","92914","152040","227652","300827","367480","455197","563108","719966","",
"United States","USA","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","705900","2754286","7069874","12792812","19881549","27744342","37352520","51156350","60237701","70206000","75707000","78349000","82759000","86445000","90341000","91342000","",
"Uzbekistan","UZB","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","2757","5514","8271","8639","19180","65960","88735","118000","147760","212729","306300","",
"St. Vincent and the Grenadines","VCT","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","81","1086","1146","1320","3647","5618","7972","9364","11507","12502","13249","13616","14604","",
"Venezuela, RB","VEN","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","4473","31263","73087","112306","205068","351610","533319","853804","1092329","1343610","1625406","1781906","2007540","2222832","",
"Virgin Islands (U.S.)","VIR","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","1484","2967","","5933","7416","9000","9100","","","9100","",
"Vietnam","VNM","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1076","9180","52709","210024","516569","1294111","2048953","3214179","3669321","3838206","4446600","5151400","",
"Vanuatu","VUT","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","15","23","59","95","130","200","500","500","337","310","300","",
"West Bank and Gaza","PSE","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","18","7463","27172","55648","","","","155964","186380","203682","",
"World","WLD","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1028788","","15890822","37069250","66067070","103732225.33","158118965","219953714","284488369","346417978","410875623","468149531","526552381","588006512","636480417","674358486","",
"Samoa","WSM","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","32","65","98","130","160","200","200","","","200","",
"Yemen, Rep.","YEM","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","1498","2781","11000","26000","54000","84000","109000","167300","256800","",
"South Africa","ZAF","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2669","20313","60000","165290","335112","378000","426000","481000","743000","907000","1107200","1615210","",
"Congo, Dem. Rep.","COD","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","1000","1450","1500","1500","3000","4500","6799","","","5059","4621","",
"Zambia","ZMB","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","31","48","91","250","250","2339","4000","5703","10702","10267","15902","14794","10850","",
"Zimbabwe","ZWE","Fixed broadband Internet subscribers","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","771","2847","6386","8967","10185","10200","15210","18000","29130","33000","34000","71445","103574","",
