assessment_objective,assessment_objective_id,assessment_objective_letter,control,control_ace,control_ccm,control_cmmc_level,control_dod_weight,control_evidence_found,control_family,control_group,control_operator,control_owner,control_prereq_met,control_review_due,control_review_message,control_review_overdue,control_review_status,control_review_time,control_status,control_supercedes_until,control_update_message,control_update_time,cui_system_id,cui_system_name,cui_system_splunk_id,status_type
access to media containing CUI is controlled.,3.8.5[a],a,MP.L2-3.8.5,FALSE,FALSE,2,1,0,CMMC ML 1,Media Protection (MP),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
accountability for media containing CUI is maintained during transport outside of controlled areas.,3.8.5[b],b,MP.L2-3.8.5,FALSE,FALSE,2,1,0,CMMC ML 1,Media Protection (MP),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
Determine if the confidentiality of CUI stored on digital media is protected during transport using cryptographic mechanisms or alternative physical safeguards.,3.8.6[a],a,MP.L2-3.8.6,FALSE,FALSE,2,1,0,CMMC ML 1,Media Protection (MP),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
Determine if the use of removable media on system components is controlled.,3.8.7[a],a,MP.L2-3.8.7,TRUE,FALSE,2,5,0,CMMC ML 1,Media Protection (MP),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
Determine if the use of portable storage devices is prohibited when such devices have no identifiable owner.,3.8.8[a],a,MP.L2-3.8.8,FALSE,FALSE,2,3,0,CMMC ML 1,Media Protection (MP),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
Determine if the confidentiality of backup CUI is protected at storage locations.,3.8.9[a],a,MP.L2-3.8.9,FALSE,FALSE,2,1,0,CMMC ML 1,Media Protection (MP),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
Determine if individuals are screened prior to authorizing access to organizational systems containing CUI.,3.9.1[a],a,PS.L2-3.9.1,FALSE,FALSE,2,3,0,CMMC ML 1,Personnel Security (PS),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
a policy and/or process for terminating system access and any credentials coincident with personnel actions is established.,3.9.2[a],a,PS.L2-3.9.2,FALSE,FALSE,2,5,0,CMMC ML 1,Personnel Security (PS),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
system access and credentials are terminated consistent with personnel actions such as termination or transfer.,3.9.2[b],b,PS.L2-3.9.2,FALSE,FALSE,2,5,0,CMMC ML 1,Personnel Security (PS),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the system is protected during and after personnel transfer actions.,3.9.2[c],c,PS.L2-3.9.2,FALSE,FALSE,2,5,0,CMMC ML 1,Personnel Security (PS),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
authorized individuals allowed physical access are identified.,3.10.1[a],a,PE.L1-3.10.1,FALSE,FALSE,1,5,0,CMMC ML 1,Physical Protection (PE),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
physical access to organizational systems is limited to authorized individuals.,3.10.1[b],b,PE.L1-3.10.1,FALSE,FALSE,1,5,0,CMMC ML 1,Physical Protection (PE),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
physical access to equipment is limited to authorized individuals.,3.10.1[c],c,PE.L1-3.10.1,FALSE,FALSE,1,5,0,CMMC ML 1,Physical Protection (PE),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
physical access to operating environments is limited to authorized individuals.,3.10.1[d],d,PE.L1-3.10.1,FALSE,FALSE,1,5,0,CMMC ML 1,Physical Protection (PE),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the physical facility where organizational systems reside is protected.,3.10.2[a],a,PE.L2-3.10.2,FALSE,FALSE,2,5,0,CMMC ML 1,Physical Protection (PE),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the support infrastructure for organizational systems is protected.,3.10.2[b],b,PE.L2-3.10.2,FALSE,FALSE,2,5,0,CMMC ML 1,Physical Protection (PE),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the physical facility where organizational systems reside is monitored.,3.10.2[c],c,PE.L2-3.10.2,FALSE,FALSE,2,5,0,CMMC ML 1,Physical Protection (PE),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the support infrastructure for organizational systems is monitored.,3.10.2[d],d,PE.L2-3.10.2,FALSE,FALSE,2,5,0,CMMC ML 1,Physical Protection (PE),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
visitors are escorted.,3.10.3[a],a,PE.L1-3.10.3,FALSE,FALSE,1,1,0,CMMC ML 1,Physical Protection (PE),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
visitor activity is monitored.,3.10.3[b],b,PE.L1-3.10.3,FALSE,FALSE,1,1,0,CMMC ML 1,Physical Protection (PE),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
Determine if audit logs of physical access are maintained.,3.10.4[a],a,PE.L1-3.10.4,FALSE,FALSE,1,1,0,CMMC ML 1,Physical Protection (PE),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
physical access devices are identified.,3.10.5[a],a,PE.L1-3.10.5,FALSE,FALSE,1,1,0,CMMC ML 1,Physical Protection (PE),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
physical access devices are controlled.,3.10.5[b],b,PE.L1-3.10.5,FALSE,FALSE,1,1,0,CMMC ML 1,Physical Protection (PE),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
physical access devices are managed.,3.10.5[c],c,PE.L1-3.10.5,FALSE,FALSE,1,1,0,CMMC ML 1,Physical Protection (PE),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
safeguarding measures for CUI are defined for alternate work sites.,3.10.6[a],a,PE.L2-3.10.6,FALSE,FALSE,2,1,0,CMMC ML 1,Physical Protection (PE),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
safeguarding measures for CUI are enforced for alternate work sites.,3.10.6[b],b,PE.L2-3.10.6,FALSE,FALSE,2,1,0,CMMC ML 1,Physical Protection (PE),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the frequency to assess risk to organizational operations,3.11.1[a],a,RA.L2-3.11.1,FALSE,FALSE,2,3,0,CMMC ML 1,Risk Assessment (RA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
risk to organizational operations,3.11.1[b],b,RA.L2-3.11.1,FALSE,FALSE,2,3,0,CMMC ML 1,Risk Assessment (RA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the frequency to scan for vulnerabilities in organizational systems and applications is defined.,3.11.2[a],a,RA.L2-3.11.2,FALSE,FALSE,2,5,0,CMMC ML 1,Risk Assessment (RA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
vulnerability scans are performed on organizational systems with the defined frequency.,3.11.2[b],b,RA.L2-3.11.2,TRUE,TRUE,2,5,0,CMMC ML 1,Risk Assessment (RA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
vulnerability scans are performed on applications with the defined frequency.,3.11.2[c],c,RA.L2-3.11.2,FALSE,FALSE,2,5,0,CMMC ML 1,Risk Assessment (RA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
vulnerability scans are performed on organizational systems when new vulnerabilities are identified.,3.11.2[d],d,RA.L2-3.11.2,FALSE,FALSE,2,5,0,CMMC ML 1,Risk Assessment (RA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
vulnerability scans are performed on applications when new vulnerabilities are identified.,3.11.2[e],e,RA.L2-3.11.2,FALSE,FALSE,2,5,0,CMMC ML 1,Risk Assessment (RA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
vulnerabilities are identified.,3.11.3[a],a,RA.L2-3.11.3,FALSE,FALSE,2,1,0,CMMC ML 1,Risk Assessment (RA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
vulnerabilities are remediated in accordance with risk assessments.,3.11.3[b],b,RA.L2-3.11.3,FALSE,FALSE,2,1,0,CMMC ML 1,Risk Assessment (RA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the frequency of security control assessments is defined.,3.12.1[a],a,CA.L2-3.12.1,FALSE,FALSE,2,5,0,CMMC ML 1,Security Assessment (CA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
security controls are assessed with the defined frequency to determine if the controls are effective in their application.,3.12.1[b],b,CA.L2-3.12.1,FALSE,FALSE,2,5,0,CMMC ML 1,Security Assessment (CA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
deficiencies and vulnerabilities to be addressed by the plan of action are identified.,3.12.2[a],a,CA.L2-3.12.2,FALSE,FALSE,2,3,0,CMMC ML 1,Security Assessment (CA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
a plan of action is developed to correct identified deficiencies and reduce or eliminate identified vulnerabilities.,3.12.2[b],b,CA.L2-3.12.2,FALSE,FALSE,2,3,0,CMMC ML 1,Security Assessment (CA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the plan of action is implemented to correct identified deficiencies and reduce or eliminate identified vulnerabilities.,3.12.2[c],c,CA.L2-3.12.2,FALSE,FALSE,2,3,0,CMMC ML 1,Security Assessment (CA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
Determine if security controls are monitored on an ongoing basis to ensure the continued effectiveness of those controls.,3.12.3[a],a,CA.L2-3.12.3,FALSE,FALSE,2,5,0,CMMC ML 1,Security Assessment (CA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
a system security plan is developed.,3.12.4[a],a,CA.L2-3.12.4,FALSE,FALSE,2,N/A,0,CMMC ML 1,Security Assessment (CA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the system boundary is described and documented in the system security plan.,3.12.4[b],b,CA.L2-3.12.4,FALSE,FALSE,2,N/A,0,CMMC ML 1,Security Assessment (CA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the system environment of operation is described and documented in the system security plan.,3.12.4[c],c,CA.L2-3.12.4,FALSE,FALSE,2,N/A,0,CMMC ML 1,Security Assessment (CA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the security requirements identified and approved by the designated authority as non-applicable are identified.,3.12.4[d],d,CA.L2-3.12.4,FALSE,FALSE,2,N/A,0,CMMC ML 1,Security Assessment (CA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the method of security requirement implementation is described and documented in the system security plan.,3.12.4[e],e,CA.L2-3.12.4,FALSE,FALSE,2,N/A,0,CMMC ML 1,Security Assessment (CA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the relationship with or connection to other systems is described and documented in the system security plan.,3.12.4[f],f,CA.L2-3.12.4,FALSE,FALSE,2,N/A,0,CMMC ML 1,Security Assessment (CA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the frequency to update the system security plan is defined.,3.12.4[g],g,CA.L2-3.12.4,FALSE,FALSE,2,N/A,0,CMMC ML 1,Security Assessment (CA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
system security plan is updated with the defined frequency.,3.12.4[h],h,CA.L2-3.12.4,FALSE,FALSE,2,N/A,0,CMMC ML 1,Security Assessment (CA),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the external system boundary is defined.,3.13.1[a],a,SC.L1-3.13.1,FALSE,FALSE,1,5,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
key internal system boundaries are defined.,3.13.1[b],b,SC.L1-3.13.1,FALSE,FALSE,1,5,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
communications are monitored at the external system boundary.,3.13.1[c],c,SC.L1-3.13.1,TRUE,FALSE,1,5,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
communications are monitored at key internal boundaries.,3.13.1[d],d,SC.L1-3.13.1,TRUE,FALSE,1,5,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
communications are controlled at the external system boundary.,3.13.1[e],e,SC.L1-3.13.1,TRUE,TRUE,1,5,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
communications are controlled at key internal boundaries.,3.13.1[f],f,SC.L1-3.13.1,TRUE,TRUE,1,5,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
communications are protected at the external system boundary.,3.13.1[g],g,SC.L1-3.13.1,FALSE,FALSE,1,5,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
communications are protected at key internal boundaries.,3.13.1[h],h,SC.L1-3.13.1,FALSE,FALSE,1,5,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
architectural designs that promote effective information security are identified.,3.13.2[a],a,SC.L2-3.13.2,FALSE,FALSE,2,5,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
software development techniques that promote effective information security are identified.,3.13.2[b],b,SC.L2-3.13.2,FALSE,FALSE,2,5,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
systems engineering principles that promote effective information security are identified.,3.13.2[c],c,SC.L2-3.13.2,FALSE,FALSE,2,5,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
identified architectural designs that promote effective information security are employed.,3.13.2[d],d,SC.L2-3.13.2,FALSE,FALSE,2,5,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
identified software development techniques that promote effective information security are employed.,3.13.2[e],e,SC.L2-3.13.2,FALSE,FALSE,2,5,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
identified systems engineering principles that promote effective information security are employed.,3.13.2[f],f,SC.L2-3.13.2,FALSE,FALSE,2,5,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
user functionality is identified.,3.13.3[a],a,SC.L2-3.13.3,FALSE,FALSE,2,1,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
system management functionality is identified.,3.13.3[b],b,SC.L2-3.13.3,FALSE,FALSE,2,1,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
user functionality is separated from system management functionality.,3.13.3[c],c,SC.L2-3.13.3,FALSE,FALSE,2,1,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
Determine if unauthorized and unintended information transfer via shared system resources is prevented.,3.13.4[a],a,SC.L2-3.13.4,FALSE,FALSE,2,1,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
publicly accessible system components are identified.,3.13.5[a],a,SC.L1-3.13.5,FALSE,FALSE,1,5,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
subnetworks for publicly accessible system components are physically or logically separated from internal networks.,3.13.5[b],b,SC.L1-3.13.5,FALSE,FALSE,1,5,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
network communications traffic is denied by default.,3.13.6[a],a,SC.L2-3.13.6,FALSE,FALSE,2,5,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
network communications traffic is allowed by exception.,3.13.6[b],b,SC.L2-3.13.6,FALSE,FALSE,2,5,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
Determine if remote devices are prevented from simultaneously establishing non-remote connections with the system and communicating via some other connection to resources in external networks (i.e.,3.13.7[a],a,SC.L2-3.13.7,TRUE,TRUE,2,1,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
cryptographic mechanisms intended to prevent unauthorized disclosure of CUI are identified.,3.13.8[a],a,SC.L2-3.13.8,FALSE,FALSE,2,3,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
alternative physical safeguards intended to prevent unauthorized disclosure of CUI are identified.,3.13.8[b],b,SC.L2-3.13.8,FALSE,FALSE,2,3,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
either cryptographic mechanisms or alternative physical safeguards are implemented to prevent unauthorized disclosure of CUI during transmission.,3.13.8[c],c,SC.L2-3.13.8,FALSE,FALSE,2,3,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
a period of inactivity to terminate network connections associated with communications sessions is defined.,3.13.9[a],a,SC.L2-3.13.9,FALSE,FALSE,2,1,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
network connections associated with communications sessions are terminated at the end of the sessions.,3.13.9[b],b,SC.L2-3.13.9,TRUE,TRUE,2,1,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
network connections associated with communications sessions are terminated after the defined period of inactivity.,3.13.9[c],c,SC.L2-3.13.9,TRUE,FALSE,2,1,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
cryptographic keys are established whenever cryptography is employed.,3.13.10[a],a,SC.L2-3.13.10,FALSE,FALSE,2,1,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
cryptographic keys are managed whenever cryptography is employed.,3.13.10[b],b,SC.L2-3.13.10,FALSE,FALSE,2,1,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
Determine if FIPS-validated cryptography is employed to protect the confidentiality of CUI.,3.13.11[a],a,SC.L2-3.13.11,FALSE,FALSE,2,5,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
collaborative computing devices are identified.,3.13.12[a],a,SC.L2-3.13.12,FALSE,FALSE,2,1,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
collaborative computing devices provide indication to users of devices in use.,3.13.12[b],b,SC.L2-3.13.12,FALSE,FALSE,2,1,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
remote activation of collaborative computing devices is prohibited.,3.13.12[c],c,SC.L2-3.13.12,FALSE,FALSE,2,1,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
use of mobile code is controlled.,3.13.13[a],a,SC.L2-3.13.13,FALSE,FALSE,2,1,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
use of mobile code is monitored.,3.13.13[b],b,SC.L2-3.13.13,FALSE,FALSE,2,1,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
use of Voice over Internet Protocol (VoIP) technologies is controlled.,3.13.14[a],a,SC.L2-3.13.14,FALSE,FALSE,2,1,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
use of Voice over Internet Protocol (VoIP) technologies is monitored.,3.13.14[b],b,SC.L2-3.13.14,TRUE,FALSE,2,1,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
Determine if the authenticity of communications sessions is protected.,3.13.15[a],a,SC.L2-3.13.15,FALSE,FALSE,2,5,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
Determine if the confidentiality of CUI at rest is protected.,3.13.16[a],a,SC.L2-3.13.16,TRUE,FALSE,2,1,0,CMMC ML 1,System and Communications Protection (SC),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the time within which to identify system flaws is specified.,3.14.1[a],a,SI.L1-3.14.1,FALSE,FALSE,1,5,0,CMMC ML 1,System and Information Integrity (SI),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
system flaws are identified within the specified time frame.,3.14.1[b],b,SI.L1-3.14.1,FALSE,FALSE,1,5,0,CMMC ML 1,System and Information Integrity (SI),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the time within which to report system flaws is specified.,3.14.1[c],c,SI.L1-3.14.1,FALSE,FALSE,1,5,0,CMMC ML 1,System and Information Integrity (SI),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
system flaws are reported within the specified time frame.,3.14.1[d],d,SI.L1-3.14.1,FALSE,FALSE,1,5,0,CMMC ML 1,System and Information Integrity (SI),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the time within which to correct system flaws is specified.,3.14.1[e],e,SI.L1-3.14.1,FALSE,FALSE,1,5,0,CMMC ML 1,System and Information Integrity (SI),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
system flaws are corrected within the specified time frame.,3.14.1[f],f,SI.L1-3.14.1,FALSE,FALSE,1,5,0,CMMC ML 1,System and Information Integrity (SI),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
designated locations for malicious code protection are identified.,3.14.2[a],a,SI.L1-3.14.2,TRUE,FALSE,1,5,0,CMMC ML 1,System and Information Integrity (SI),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
protection from malicious code at designated locations is provided.,3.14.2[b],b,SI.L1-3.14.2,TRUE,TRUE,1,5,0,CMMC ML 1,System and Information Integrity (SI),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
response actions to system security alerts and advisories are identified.,3.14.3[a],a,SI.L2-3.14.3,FALSE,FALSE,2,5,0,CMMC ML 1,System and Information Integrity (SI),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
system security alerts and advisories are monitored.,3.14.3[b],b,SI.L2-3.14.3,FALSE,FALSE,2,5,0,CMMC ML 1,System and Information Integrity (SI),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
actions in response to system security alerts and advisories are taken.,3.14.3[c],c,SI.L2-3.14.3,FALSE,FALSE,2,5,0,CMMC ML 1,System and Information Integrity (SI),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
Determine if malicious code protection mechanisms are updated when new releases are available.,3.14.4[a],a,SI.L1-3.14.4,TRUE,TRUE,1,5,0,CMMC ML 1,System and Information Integrity (SI),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
the frequency for malicious code scans is defined.,3.14.5[a],a,SI.L1-3.14.5,FALSE,FALSE,1,3,0,CMMC ML 1,System and Information Integrity (SI),Operator,Owner,0,0,No message yet,0,Incomplete,0,N/A,0,No message yet,0,default_system,Default System,default_system,objective
