"assessment_objective","assessment_objective_id","nist_control","raw_list","status_type"
"privileged commands authorized for remote execution are identified.","3.1.15[a]","3.1.15","3.1.15[a] privileged commands authorized for remote execution are identified.",objective
"security-relevant information authorized to be accessed remotely is identified.","3.1.15[b]","3.1.15","3.1.15[b] security-relevant information authorized to be accessed remotely is identified.",objective
"the execution of the identified privileged commands via remote access is authorized.","3.1.15[c]","3.1.15","3.1.15[c] the execution of the identified privileged commands via remote access is authorized.",objective
"access to the identified security-relevant information via remote access is authorized.","3.1.15[d]","3.1.15","3.1.15[d] access to the identified security-relevant information via remote access is authorized.",objective
"wireless access points are identified.","3.1.16[a]","3.1.16","3.1.16[a] wireless access points are identified.",objective
"wireless access is authorized prior to allowing such connections.","3.1.16[b]","3.1.16","3.1.16[b] wireless access is authorized prior to allowing such connections.",objective
"wireless access to the system is protected using authentication.","3.1.17[a]","3.1.17","3.1.17[a] wireless access to the system is protected using authentication.",objective
"wireless access to the system is protected using encryption.","3.1.17[b]","3.1.17","3.1.17[b] wireless access to the system is protected using encryption.",objective
"mobile devices that process","3.1.18[a]","3.1.18","3.1.18[a] mobile devices that process",objective
"mobile device connections are authorized.","3.1.18[b]","3.1.18","3.1.18[b] mobile device connections are authorized.",objective
"mobile device connections are monitored and logged.","3.1.18[c]","3.1.18","3.1.18[c] mobile device connections are monitored and logged.",objective
"mobile devices and mobile computing platforms that process","3.1.19[a]","3.1.19","3.1.19[a] mobile devices and mobile computing platforms that process",objective
"encryption is employed to protect CUI on identified mobile devices and mobile computing platforms.","3.1.19[b]","3.1.19","3.1.19[b] encryption is employed to protect CUI on identified mobile devices and mobile computing platforms.",objective
"connections to external systems are identified.","3.1.20[a]","3.1.20","3.1.20[a] connections to external systems are identified.",objective
"the use of external systems is identified.","3.1.20[b]","3.1.20","3.1.20[b] the use of external systems is identified.",objective
"connections to external systems are verified.","3.1.20[c]","3.1.20","3.1.20[c] connections to external systems are verified.",objective
"the use of external systems is verified.","3.1.20[d]","3.1.20","3.1.20[d] the use of external systems is verified.",objective
"connections to external systems are controlled/limited.","3.1.20[e]","3.1.20","3.1.20[e] connections to external systems are controlled/limited.",objective
"the use of external systems is controlled/limited.","3.1.20[f]","3.1.20","3.1.20[f] the use of external systems is controlled/limited.",objective
"the use of portable storage devices containing CUI on external systems is identified and documented.","3.1.21[a]","3.1.21","3.1.21[a] the use of portable storage devices containing CUI on external systems is identified and documented.",objective
"limits on the use of portable storage devices containing CUI on external systems are defined.","3.1.21[b]","3.1.21","3.1.21[b] limits on the use of portable storage devices containing CUI on external systems are defined.",objective
"the use of portable storage devices containing CUI on external systems is limited as defined.","3.1.21[c]","3.1.21","3.1.21[c] the use of portable storage devices containing CUI on external systems is limited as defined.",objective
"individuals authorized to post or process information on publicly accessible systems are identified.","3.1.22[a]","3.1.22","3.1.22[a] individuals authorized to post or process information on publicly accessible systems are identified.",objective
"procedures to ensure CUI is not posted or processed on publicly accessible systems are identified.","3.1.22[b]","3.1.22","3.1.22[b] procedures to ensure CUI is not posted or processed on publicly accessible systems are identified.",objective
"a review process is in place prior to posting of any content to publicly accessible systems.","3.1.22[c]","3.1.22","3.1.22[c] a review process is in place prior to posting of any content to publicly accessible systems.",objective
"content on publicly accessible systems is reviewed to ensure that it does not include CUI.","3.1.22[d]","3.1.22","3.1.22[d] content on publicly accessible systems is reviewed to ensure that it does not include CUI.",objective
"mechanisms are in place to remove and address improper posting of CUI.","3.1.22[e]","3.1.22","3.1.22[e] mechanisms are in place to remove and address improper posting of CUI.",objective
"security risks associated with organizational activities involving CUI are identified.","3.2.1[a]","3.2.1","3.2.1[a] security risks associated with organizational activities involving CUI are identified.",objective
policies,"3.2.1[b]","3.2.1","3.2.1[b] policies",objective
managers,"3.2.1[c]","3.2.1","3.2.1[c] managers",objective
managers,"3.2.1[d]","3.2.1","3.2.1[d] managers",objective
"information security-related duties","3.2.2[a]","3.2.2","3.2.2[a] information security-related duties",objective
"information security-related duties","3.2.2[b]","3.2.2","3.2.2[b] information security-related duties",objective
"personnel are adequately trained to carry out their assigned information security-related duties","3.2.2[c]","3.2.2","3.2.2[c] personnel are adequately trained to carry out their assigned information security-related duties",objective
"potential indicators associated with insider threats are identified.","3.2.3[a]","3.2.3","3.2.3[a] potential indicators associated with insider threats are identified.",objective
"security awareness training on recognizing and reporting potential indicators of insider threat is provided to managers and employees.","3.2.3[b]","3.2.3","3.2.3[b] security awareness training on recognizing and reporting potential indicators of insider threat is provided to managers and employees.",objective
"audit logs needed (i.e.","3.3.1[a]","3.3.1","3.3.1[a] audit logs needed (i.e.",objective
"the content of audit records needed to support monitoring","3.3.1[b]","3.3.1","3.3.1[b] the content of audit records needed to support monitoring",objective
"audit records are created (generated).","3.3.1[c]","3.3.1","3.3.1[c] audit records are created (generated).",objective
"audit records","3.3.1[d]","3.3.1","3.3.1[d] audit records",objective
"retention requirements for audit records are defined.","3.3.1[e]","3.3.1","3.3.1[e] retention requirements for audit records are defined.",objective
"audit records are retained as defined.","3.3.1[f]","3.3.1","3.3.1[f] audit records are retained as defined.",objective
"the content of the audit records needed to support the ability to uniquely trace users to their actions is defined.","3.3.2[a]","3.3.2","3.3.2[a] the content of the audit records needed to support the ability to uniquely trace users to their actions is defined.",objective
"audit records","3.3.2[b]","3.3.2","3.3.2[b] audit records",objective
"a process for determining when to review logged events is defined.","3.3.3[a]","3.3.3","3.3.3[a] a process for determining when to review logged events is defined.",objective
"event types being logged are reviewed in accordance with the defined review process.","3.3.3[b]","3.3.3","3.3.3[b] event types being logged are reviewed in accordance with the defined review process.",objective
"event types being logged are updated based on the review.","3.3.3[c]","3.3.3","3.3.3[c] event types being logged are updated based on the review.",objective
"personnel or roles to be alerted in the event of an audit logging process failure are identified.","3.3.4[a]","3.3.4","3.3.4[a] personnel or roles to be alerted in the event of an audit logging process failure are identified.",objective
"types of audit logging process failures for which alert will be generated are defined.","3.3.4[b]","3.3.4","3.3.4[b] types of audit logging process failures for which alert will be generated are defined.",objective
"identified personnel or roles are alerted in the event of an audit logging process failure.","3.3.4[c]","3.3.4","3.3.4[c] identified personnel or roles are alerted in the event of an audit logging process failure.",objective
"audit record review","3.3.5[a]","3.3.5","3.3.5[a] audit record review",objective
"defined audit record review","3.3.5[b]","3.3.5","3.3.5[b] defined audit record review",objective
"an audit record reduction capability that supports on-demand analysis is provided.","3.3.6[a]","3.3.6","3.3.6[a] an audit record reduction capability that supports on-demand analysis is provided.",objective
"a report generation capability that supports on-demand reporting is provided.","3.3.6[b]","3.3.6","3.3.6[b] a report generation capability that supports on-demand reporting is provided.",objective
"internal system clocks are used to generate time stamps for audit records.","3.3.7[a]","3.3.7","3.3.7[a] internal system clocks are used to generate time stamps for audit records.",objective
"an authoritative source with which to compare and synchronize internal system clocks is specified.","3.3.7[b]","3.3.7","3.3.7[b] an authoritative source with which to compare and synchronize internal system clocks is specified.",objective
"internal system clocks used to generate time stamps for audit records are compared to and synchronized with the specified authoritative time source.","3.3.7[c]","3.3.7","3.3.7[c] internal system clocks used to generate time stamps for audit records are compared to and synchronized with the specified authoritative time source.",objective
"audit information is protected from unauthorized access.","3.3.8[a]","3.3.8","3.3.8[a] audit information is protected from unauthorized access.",objective
"audit information is protected from unauthorized modification.","3.3.8[b]","3.3.8","3.3.8[b] audit information is protected from unauthorized modification.",objective
"audit information is protected from unauthorized deletion.","3.3.8[c]","3.3.8","3.3.8[c] audit information is protected from unauthorized deletion.",objective
"audit logging tools are protected from unauthorized access.","3.3.8[d]","3.3.8","3.3.8[d] audit logging tools are protected from unauthorized access.",objective
"audit logging tools are protected from unauthorized modification.","3.3.8[e]","3.3.8","3.3.8[e] audit logging tools are protected from unauthorized modification.",objective
"audit logging tools are protected from unauthorized deletion.","3.3.8[f]","3.3.8","3.3.8[f] audit logging tools are protected from unauthorized deletion.",objective
"a subset of privileged users granted access to manage audit logging functionality is defined.","3.3.9[a]","3.3.9","3.3.9[a] a subset of privileged users granted access to manage audit logging functionality is defined.",objective
"management of audit logging functionality is limited to the defined subset of privileged users.","3.3.9[b]","3.3.9","3.3.9[b] management of audit logging functionality is limited to the defined subset of privileged users.",objective
"a baseline configuration is established.","3.4.1[a]","3.4.1","3.4.1[a] a baseline configuration is established.",objective
"the baseline configuration includes hardware","3.4.1[b]","3.4.1","3.4.1[b] the baseline configuration includes hardware",objective
"the baseline configuration is maintained (reviewed and updated) throughout the system development life cycle.","3.4.1[c]","3.4.1","3.4.1[c] the baseline configuration is maintained (reviewed and updated) throughout the system development life cycle.",objective
"a system inventory is established.","3.4.1[d]","3.4.1","3.4.1[d] a system inventory is established.",objective
"the system inventory includes hardware","3.4.1[e]","3.4.1","3.4.1[e] the system inventory includes hardware",objective
"the inventory is maintained (reviewed and updated) throughout the system development life cycle.","3.4.1[f]","3.4.1","3.4.1[f] the inventory is maintained (reviewed and updated) throughout the system development life cycle.",objective
"security configuration settings for information technology products employed in the system are established and included in the baseline configuration.","3.4.2[a]","3.4.2","3.4.2[a] security configuration settings for information technology products employed in the system are established and included in the baseline configuration.",objective
"security configuration settings for information technology products employed in the system are enforced.","3.4.2[b]","3.4.2","3.4.2[b] security configuration settings for information technology products employed in the system are enforced.",objective
"changes to the system are tracked.","3.4.3[a]","3.4.3","3.4.3[a] changes to the system are tracked.",objective
"changes to the system are reviewed.","3.4.3[b]","3.4.3","3.4.3[b] changes to the system are reviewed.",objective
"changes to the system are approved or disapproved.","3.4.3[c]","3.4.3","3.4.3[c] changes to the system are approved or disapproved.",objective
"changes to the system are logged.","3.4.3[d]","3.4.3","3.4.3[d] changes to the system are logged.",objective
"Determine if the security impact of changes to the system is analyzed prior to implementation.","3.4.4[a]","3.4.4","3.4.4 Determine if the security impact of changes to the system is analyzed prior to implementation.",objective
"physical access restrictions associated with changes to the system are defined.","3.4.5[a]","3.4.5","3.4.5[a] physical access restrictions associated with changes to the system are defined.",objective
"physical access restrictions associated with changes to the system are documented.","3.4.5[b]","3.4.5","3.4.5[b] physical access restrictions associated with changes to the system are documented.",objective
"physical access restrictions associated with changes to the system are approved.","3.4.5[c]","3.4.5","3.4.5[c] physical access restrictions associated with changes to the system are approved.",objective
"physical access restrictions associated with changes to the system are enforced.","3.4.5[d]","3.4.5","3.4.5[d] physical access restrictions associated with changes to the system are enforced.",objective
"logical access restrictions associated with changes to the system are defined.","3.4.5[e]","3.4.5","3.4.5[e] logical access restrictions associated with changes to the system are defined.",objective
"logical access restrictions associated with changes to the system are documented.","3.4.5[f]","3.4.5","3.4.5[f] logical access restrictions associated with changes to the system are documented.",objective
"logical access restrictions associated with changes to the system are approved.","3.4.5[g]","3.4.5","3.4.5[g] logical access restrictions associated with changes to the system are approved.",objective
"logical access restrictions associated with changes to the system are enforced.","3.4.5[h]","3.4.5","3.4.5[h] logical access restrictions associated with changes to the system are enforced.",objective
"essential system capabilities are defined based on the principle of least functionality.","3.4.6[a]","3.4.6","3.4.6[a] essential system capabilities are defined based on the principle of least functionality.",objective
"the system is configured to provide only the defined essential capabilities.","3.4.6[b]","3.4.6","3.4.6[b] the system is configured to provide only the defined essential capabilities.",objective
"essential programs are defined.","3.4.7[a]","3.4.7","3.4.7[a] essential programs are defined.",objective
"the use of nonessential programs is defined.","3.4.7[b]","3.4.7","3.4.7[b] the use of nonessential programs is defined.",objective
"the use of nonessential programs is restricted","3.4.7[c]","3.4.7","3.4.7[c] the use of nonessential programs is restricted",objective
"essential functions are defined.","3.4.7[d]","3.4.7","3.4.7[d] essential functions are defined.",objective
"the use of nonessential functions is defined.","3.4.7[e]","3.4.7","3.4.7[e] the use of nonessential functions is defined.",objective
"the use of nonessential functions is restricted","3.4.7[f]","3.4.7","3.4.7[f] the use of nonessential functions is restricted",objective
"essential ports are defined.","3.4.7[g]","3.4.7","3.4.7[g] essential ports are defined.",objective
