Index,Component,Sub_Component,Field_Display_Name,Field_Name,Default,Field_Description
Search job inspector,Execution costs of dispatched searches,dispatch,,writeStatus,,The time spent periodically updating status.csv and info.csv in the job's dispatch directory.
Introspection,PerProcess,,"Amount of data written (MB), excluding canceled writes",written_mb,Access operating system resource utilization information.,"Amount of data written (MB), excluding canceled writes."
_introspection,splunk_resource_usage,data,,written_mb,,"Amount of data written (MB), excluding canceled writes."
Dispatch_Directory,https://docs.splunk.com/Documentation/Splunk/8.2.1/Search/Dispatchdirectoryandsearchartifacts,,,args.txt,,The arguments that are passed to the search process.
Dispatch_Directory,https://docs.splunk.com/Documentation/Splunk/8.2.1/Search/Dispatchdirectoryandsearchartifacts,,,alive.token,,The status of the search process. Specifies if the search is alive or not alive.
Dispatch_Directory,https://docs.splunk.com/Documentation/Splunk/8.2.1/Search/Dispatchdirectoryandsearchartifacts,,,audited,,A flag to indicate the events have been audit signed.
Dispatch_Directory,https://docs.splunk.com/Documentation/Splunk/8.2.1/Search/Dispatchdirectoryandsearchartifacts,,,buckets,,A subdirectory that contains the field picker statistics for each-bucket. The buckets are typically the chunks that are visible in the search histogram UI. This is not related to index buckets.
Dispatch_Directory,https://docs.splunk.com/Documentation/Splunk/8.2.1/Search/Dispatchdirectoryandsearchartifacts,,,custom_prop.csv,,"Contains custom job properties, which are arbitrary key values that can be added to search job, retrieved later, are mostly used by UI display goals."
Dispatch_Directory,https://docs.splunk.com/Documentation/Splunk/8.2.1/Search/Dispatchdirectoryandsearchartifacts,,,events,,A subdirectory that contains the events that were used to generate the search results.
Dispatch_Directory,https://docs.splunk.com/Documentation/Splunk/8.2.1/Search/Dispatchdirectoryandsearchartifacts,,,generate_preview,,A flag to indicate that this search has requested preview. This file is used mainly for Splunk Web searches.
Dispatch_Directory,https://docs.splunk.com/Documentation/Splunk/8.2.1/Search/Dispatchdirectoryandsearchartifacts,,,info.csv,,"A list of search details that includes the earliest and latest time, and the results count."
Dispatch_Directory,https://docs.splunk.com/Documentation/Splunk/8.2.1/Search/Dispatchdirectoryandsearchartifacts,,,metadata.csv,,The search owner and roles.
Dispatch_Directory,https://docs.splunk.com/Documentation/Splunk/8.2.1/Search/Dispatchdirectoryandsearchartifacts,,,peers.csv,,The list of peers asked to run the search.
Dispatch_Directory,https://docs.splunk.com/Documentation/Splunk/8.2.1/Search/Dispatchdirectoryandsearchartifacts,,,pipeline_sets,,The number of pipeline sets an indexer runs. The default is 1.
Dispatch_Directory,https://docs.splunk.com/Documentation/Splunk/8.2.1/Search/Dispatchdirectoryandsearchartifacts,,,remote_events or events_num_num.csv.gz,,Used for the remote-timeline optimization so that a reporting search that is run with status_buckets>0 can be MapReduced.
Dispatch_Directory,https://docs.splunk.com/Documentation/Splunk/8.2.1/Search/Dispatchdirectoryandsearchartifacts,,,request.csv,,"A list of search parameters from the request, including the fields and the text of the search."
Dispatch_Directory,https://docs.splunk.com/Documentation/Splunk/8.2.1/Search/Dispatchdirectoryandsearchartifacts,,,results.srs.gz,,An archive file that contains the search results in a binary serialization format.
Dispatch_Directory,https://docs.splunk.com/Documentation/Splunk/8.2.1/Search/Dispatchdirectoryandsearchartifacts,,,rtwindow.czv.gz,,Events for the latest real-time window when there are more events in the window than can fit in memory. The default limit is 50K.
Dispatch_Directory,https://docs.splunk.com/Documentation/Splunk/8.2.1/Search/Dispatchdirectoryandsearchartifacts,,,runtime.csv,,Pause and cancel settings.
Dispatch_Directory,https://docs.splunk.com/Documentation/Splunk/8.2.1/Search/Dispatchdirectoryandsearchartifacts,,,search.log,,The log from the search process.
Dispatch_Directory,https://docs.splunk.com/Documentation/Splunk/8.2.1/Search/Dispatchdirectoryandsearchartifacts,,,sort…,,"A sort temporary file, used by the sort command for large searches."
Dispatch_Directory,https://docs.splunk.com/Documentation/Splunk/8.2.1/Search/Dispatchdirectoryandsearchartifacts,,,srtmpfile…,,"A generic search tempfile, used by facilities which did not give a name for their temporary files."
Dispatch_Directory,https://docs.splunk.com/Documentation/Splunk/8.2.1/Search/Dispatchdirectoryandsearchartifacts,,,status.csv,,"The current status of the search, for example if the search is still running. Search status can be any of the following: QUEUED, PARSING, RUNNING, PAUSED, FINALIZING, FAILED, DONE."
Dispatch_Directory,https://docs.splunk.com/Documentation/Splunk/8.2.1/Search/Dispatchdirectoryandsearchartifacts,,,timeline.csv,,Event count for each timeline bucket.
