"srch_num","srch_nme","srch_tag","srch_cat","srch_des","srch_str","srch_sts"
"IA4S-202","Saved Searches with Suggested Cron Schedule",health,"Scheduled_Jobs","Saved Searches with Suggested Cron Schedule","| from lookup:splunk_rest_saved_searches_sh_kv_store_lookup 
| search is_scheduled=1 disabled=0 
| fields search savedsearch_name author cron_schedule app sharing dispatch_earliest_time dispatch_latest_time action_summary_index search 
| search NOT (dispatch_earliest_time=rt* OR dispatch_latest_time=rt* OR action_summary_index=1 OR search=*timechart* OR search=bin OR search=span OR search=*bucket*) 
| eval fudge_author = case( 'eai:acl.sharing' == ""user"", 'author', 'eai:acl.sharing' == ""global"", ""nobody"", 'eai:acl.sharing' == ""app"", ""nobody"") 
| eval cron_type=case (match(cron_schedule,""\*/5 \* \* \* \*""),5, match(cron_schedule,""\*/10 \* \* \* \*""),10, match(cron_schedule,""\*/15 \* \* \* \*""),15, match(cron_schedule,""\*/30 \* \* \* \*""),30, match(cron_schedule,""^0 \* \* \* \*""),0,0=0,-1) 
| where cron_type >= 0 
| sort cron_type 
| eval reset_count=case(cron_type=5,4, cron_type=10,9, cron_type=15,14, cron_type=30,29, cron_type=0,59 ) 
| streamstats count reset_after=""count=reset_count"" by cron_type 
| eval lower_bound=count 
| eval upper_bound=59 
| eval new_cron=case ( cron_type=0,count . "" * * * *"", cron_type!=0,lower_bound . ""-"" . upper_bound . ""/"" . cron_type . "" * * * *"" ) 
| eval encoded_title=savedsearch_name 
| `encode_field(encoded_title)` 
| fields savedsearch_name author dispatch_earliest_time dispatch_latest_time cron_schedule new_cron app sharing",
"IA4S-203","Incomplete Data Model Accelerations",onprem,"Data_Models","Incomplete Data Model Accelerations","| rest /services/admin/summarization by_tstats=t splunk_server=local count=0 
| stats count as total, count(eval('summary.complete'<1 AND 'summary.is_inprogress'=0)) as enabled 
| eval op = enabled . ""/"" . total 
| fields op, enabled",
"IA4S-204","Data Sources Mapped to Indexes",onprem,"Data_Onboarding","Data Sources Mapped to Indexes","| rest /services/data/indexes count=0 
| dedup title 
| fields title 
| map 
    [| metadata type=sourcetypes index=""$title$"" 
    | eval type=""$title$""] maxsearches=1000 
| stats values(totalCount) AS EventCount values(sourcetype) AS Sourcetype by type 
| rename type as index 
| fields index Sourcetype EventCount",
"IA4S-205","Report on all ITSI Jobs using the IA4S Summary Index","ia4s,itsi,errors,longrunning",ITSI,"Report on all ITSI Jobs using the IA4S Summary Index","`setup_summary_index_list` source=*summary_tracker source=splunk_rest_search_jobs_sh_summary_tracker shcluster_label=* 
| stats values(*_messages) as *_messages count as num_runs max(*_count) as *_count max(*Count) as *Count latest(*) as * by search_id_normalized shcluster_label provenance app user savedsearch_name status 
| stats sum(num_runs) as num_runs max(*_count) as *_count values(*_messages) as *_messages latest(*) as * by shcluster_label provenance app user savedsearch_name status 
| eval time_frame_sec = round(search_lt - search_et) 
| `convert_runtime('total_run_time')` 
| eval diskUsageMB = diskUsage / 1024 
| `get_saved_searches_info(shcluster_label, app, savedsearch_name)` 
| table search_id_normalized shcluster_label provenance app user emp_name emp_type savedsearch_name cron_schedule dispatch_earliest_time dispatch_latest_time status total_run_time 'total_run_time' diskUsageMB ttl keywords num_runs TotalBucketsCount TotalEliminatedBucketsCount available_count event_count resultPreviewCount result_count scan_count error_messages warn_messages is* search",0
"IA4S-206","splunk rest buckets by peer",onprem,"Indexer_Cluster","splunk rest buckets by peer","| rest /services/cluster/manager/peers splunk_server=CM 
| fields label bucket_count_by_index* 
| untable label indexname bucketcount 
| rename label as host 
| rex mode=sed field=indexname ""s/bucket_count_by_index\.//"" 
| eval _time=now() 
| fields _time host indexname bucketcount 
| rename indexname AS index_name, bucketcount AS num_buckets",
"IA4S-207","splunk rest cluster status",onprem,"Indexer_Cluster","splunk rest cluster status","| rest /services/cluster/manager/generation/manager splunk_server=CM 
| fields num_buckets was_forced 
| appendcols 
    [| rest /services/cluster/manager/health splunk_server=CM 
    | fields all_data_is_searchable all_peers_are_up cm_version_is_compatible no_fixup_tasks_in_progress pre_flight_check replication_factor_met search_factor_met site_replication_factor_met site_search_factor_met] 
| appendcols 
    [| rest /services/cluster/manager/status splunk_server=CM 
    | fields splunk_server service_ready_flag searchable_rolling rolling_restart_or_upgrade rolling_restart_flag restart_progress.* maintenance_mode] 
| appendcols 
    [| rest /services/cluster/manager/info splunk_server=CM 
    | fields active_bundle.checksum, active_bundle.timestamp apply_bundle_status.status reload_bundle_issued last_validated_bundle.checksum last_validated_bundle.is_valid_bundle last_validated_bundle.timestamp latest_bundle.checksum latest_bundle.timestamp previous_active_bundle.checksum previous_active_bundle.timestamp] 
| eval _time=now() 
| eval host=splunk_server 
| rename active_bundle.checksum as active_bundle, last_validated_bundle.checksum as last_validated_bundle, latest_bundle.checksum as latest_bundle, num_buckets as total_buckets, previous_active_bundle.checksum as previous_active_bundle 
| fields _time host all_data_is_searchable,all_peers_are_up no_fixup_tasks_in_progress pre_flight_check cm_version_is_compatible search_factor_met, replication_factor_met site_search_factor_met site_replication_factor_met service_ready_flag searchable_rolling rolling_restart_or_upgrade rolling_restart_flag reload_bundle_issued restart_progress.* maintenance_mode active_bundle, active_bundle.timestamp apply_bundle_status.status last_validated_bundle last_validated_bundle.is_valid_bundle last_validated_bundle.timestamp latest_bundle latest_bundle.timestamp previous_active_bundle previous_active_bundle.timestamp was_forced total_buckets",
"IA4S-208","splunk rest index status",onprem,"Indexer_Cluster","splunk rest index status","| rest /services/cluster/manager/indexes splunk_server=CM 
| fields title, is_searchable, replicated_copies_tracker*, searchable_copies_tracker*, num_buckets, index_size splunk_server 
| rename replicated_copies_tracker.*.* as rp**, searchable_copies_tracker.*.* as sb** 
| eval is_searchable = if((is_searchable == 1) or (is_searchable == ""1""), ""Yes"", ""No"") 
| eval index_size_gb = round(index_size / 1024 / 1024 / 1024, 0) 
| eval host=splunk_server 
| rename title AS index_name 
| eval _time=now() 
| fields _time host index_name is_searchable num_buckets index_size_gb rp* sb*",
"IA4S-209","Users with Index access","onprem,users",Identities,"Users with Index access","| rest /services/authentication/users 
| table title roles 
| rename title as user 
| mvexpand roles 
| join type=left roles 
    [ rest /services/authorization/roles 
    | table title srchIndexesAllowed srchIndexesDefault 
    | rename title as roles] 
| makemv srchIndexesAllowed tokenizer=(\S+) 
| makemv srchIndexesDefault tokenizer=(\S+) 
| fillnull value="" "" 
| mvexpand srchIndexesAllowed 
| mvexpand srchIndexesDefault 
| join type=left max=999 srchIndexesAllowed 
    [ rest /services/data/indexes 
    | table title 
    | eval srchIndexesAllowed = if(match(title, ""^_""), ""_*"", ""*"") 
    | rename title as IndexesAllowed] 
| join type=left max=999 srchIndexesDefault 
    [ rest /services/data/indexes 
    | table title 
    | eval srchIndexesDefault = if(match(title, ""^_""), ""_*"", ""*"") 
    | rename title as IndexesDefault] 
| stats values(*) as * by user 
| foreach srch* 
    [ eval <<FIELD>> = mvappend(<<FIELD>>, <<MATCHSTR>>) 
    | eval <<FIELD>> = mvfilter(match(<<FIELD>>, ""^[^*]+$""))] 
| fields - Indexes*",
"IA4S-210","Report on Forwarder Connection Types",forwarding,Forwarding,"Report on Forwarder Connection Types","index=_internal source=*metrics.log group=tcpin_connections 
| eval sourceHost=if(isnull(hostname), sourceHost,hostname) 
| eval connectType=case(fwdType==""uf"",""univ fwder"", fwdType==""lwf"", ""lightwt fwder"",fwdType==""full"", ""heavy fwder"", connectType==""cooked"" or connectType==""cookedSSL"",""Splunk fwder"", connectType==""raw"" or connectType==""rawSSL"",""legacy fwder"") 
| eval version=if(isnull(version),""pre 4.2"",version) 
| rename version as Ver 
| fields connectType connectionType sourceIp sourceHost destPort kb tcp_eps tcp_Kprocessed tcp_KBps splunk_server Ver 
| eval Indexer= splunk_server 
| eval Hour=relative_time(_time,""@h"") 
| stats avg(tcp_KBps) sum(tcp_eps) sum(tcp_Kprocessed) sum(kb) by Hour connectType connectionType sourceIp sourceHost destPort Indexer Ver 
| fieldformat Hour=strftime(Hour,""%x %H"")",
"IA4S-211","User browser name and version information","ui,users",Usage,"User browser name and version information","index=_internal sourcetype=splunkd_ui_access useragent=* status=200 
| rex field=useragent ""(?<Browser_and_Version>(MSIE|Trident|(?!Gecko.+)Firefox|(?!appleWebKit.+Chrome.+)Safari(?!.+Edge)|(?!appleWebKit.+)Chrome(?!.+Edge)|(?!appleWebKit.+Chrome.+Safari.+)Edge|appleWebKit(?!.+Chrome|.+Safari)|Gecko(?!.+Firefox))(?: |\/)([\d\.apre]+)|Splunk.*?\s)"" 
| rex field=useragent ""(Version/|iPhone\sOS\s)(?<Safari_Version>.*?)\s"" 
| rex field=Browser_and_Version ""(?<Browser_Name>.*?)/"" 
| rex field=Browser_and_Version ""/(?<Browser_Version>.*?)$"" 
| rex field=useragent ""(?<Architecture>(Win64|x86_64))"" 
| rex field=useragent ""(?<OS_Name>(Linux|Macintosh|Windows\s*\w+|iPhone|iPad))"" 
| rex field=useragent ""(Linux\s|Macintosh;\s|i\w+;\s|Windows\sNT\s)(?<OS_Version>.*?)[;)]"" 
| eval Browser_Version = if(isnotnull(Safari_Version), Safari_Version, Browser_Version) 
| fillnull value=""unknown"" 
| fields clientip OS_Name OS_Version Browser_Name Browser_Version Architecture 
| lookup cim_http_status_lookup status OUTPUT status_action status_description status_type 
| stats values(*) as * count by clientip Browser_Name Browser_Version OS_Name OS_Version Architecture 
| table clientip Browser_Name Browser_Version OS_Name OS_Version Architecture Architecture count",
"IA4S-212","splunk rest kvstore status",onprem,Lookups,"splunk rest kvstore status","| rest /services/kvstore/status `setup_search_head_rest` 
| fields splunk_server current.disabled, current.port, current.replicationStatus , current.status, current.backupRestoreStatus 
| eval _time=now() 
| eval host=splunk_server 
| rename current.disabled as disabled,current.port as port, current.replicationStatus as replicationStatus , current.status as status, current.backupRestoreStatus as backupRestoreStatus 
| fields _time host backupRestoreStatus disabled port replicationStatus status",
"IA4S-213","splunk rest peer status",onprem,"Indexer_Cluster","splunk rest peer status","| rest /services/cluster/manager/peers splunk_server=CM 
| eval _time=now() 
| rename label as host, active_bundle_id as active_bundle, latest_bundle_id as latest_bundle 
| fields _time host active_bundle last_validated_bundle latest_bundle apply_bundle_status.invalid_bundle.bundle_validation_errors apply_bundle_status.invalid_bundle.invalid_bundle_id apply_bundle_status.reasons_for_restart apply_bundle_status.restart_required_for_apply_bundle apply_bundle_status.status bucket_count heartbeat_started indexing_disk_space is_valid_bundle last_heartbeat pending_job_count primary_count primary_count_remote restart_required_for_applying_dry_run_bundle search_state_counter.Searchable search_state_counter.SearchablePendingMask status status_counter.Complete status_counter.StreamingSource status_counter.StreamingTarget summary_replication_count",
"IA4S-214","Splunk License Usage Over the Last 30 Days",license,Internal,"Splunk License Usage Over the Last 30 Days","index=_internal source=*license_usage.log type=""RolloverSummary"" earliest=-30d@d
| eval _time=_time - 43200
| bin _time span=1d
| stats latest(b) AS b by slae, pool, _time
| timechart span=1d sum(b) AS ""volume"" fixedrange=false
| join type=outer _time [search index=_internal source=*license_usage.log type=""RolloverSummary"" earliest=-30d@d
| eval _time=_time - 43200
| bin _time span=1d
| stats latest(stacksz) AS ""stack size"" by _time]
| fields - _timediff
| foreach * [eval FIELD=round('FIELD'/1024/1024/1024, 3)]",
"IA4S-215","splunk rest saved searches sh drift monitoring",changes,Miscellaneous,"splunk rest saved searches sh drift monitoring","`setup_summary_index_list` source=splunk_rest_saved_searches_sh_summary_tracker earliest=-30d@d 
| table shcluster_label app savedsearch_name disabled is_scheduled cron_schedule auto_summarize dispatch_earliest_time dispatch_latest_time schedule_priority max_concurrent schedule_window allow_skew realtime_schedule 
| rename disabled As disabled_old is_scheduled As is_scheduled_old cron_schedule As cron_schedule_old auto_summarize As auto_summarize_old dispatch_earliest_time As dispatch_earliest_time_old dispatch_latest_time As dispatch_latest_time_old schedule_priority As schedule_priority_old max_concurrent As max_concurrent_old schedule_window As schedule_window_old allow_skew As allow_skew_old realtime_schedule As realtime_schedule_old 
| lookup splunk_rest_saved_searches_sh_kv_store_lookup shcluster_label app savedsearch_name OUTPUT is_scheduled As is_scheduled_new disabled As disabled_new cron_schedule As cron_schedule_new auto_summarize As auto_summarize_new dispatch_earliest_time As dispatch_earliest_time_new dispatch_latest_time As dispatch_latest_time_new schedule_priority As schedule_priority_new max_concurrent As max_concurrent_new schedule_window As schedule_window_new allow_skew As allow_skew_new realtime_schedule As realtime_schedule_new 
```| where is_scheduled_old!=is_scheduled_new OR disabled_old!=disabled_new OR cron_schedule_old!=cron_schedule_new OR auto_summarize_old!=auto_summarize_new OR dispatch_earliest_time_old!=dispatch_earliest_time_new OR dispatch_latest_time_old!=dispatch_latest_time_new OR schedule_priority_old!=schedule_priority_new OR max_concurrent_old!=max_concurrent_new OR schedule_window_old!=schedule_window_new OR allow_skew_old!=allow_skew_new OR realtime_schedule_old!=realtime_schedule_new```
| join savedsearch_name 
    [ search index=_internal sourcetype=splunkd_ui_access method=POST uri=""*/saved/searches*"" NOT file IN (acl, dispatch, searches) earliest=-30d@d 
    | fields _time clientip file host status user user uri 
    | rex field=uri ""\N+servicesNS/[^/]+/(?<app>[^/]+)/[^/]+/[^/]+/(?<savedsearch_name>\N+)$"" 
    | rex field=savedsearch_name mode=sed ""s/%20/ /g"" 
    | fields savedsearch_name user ] 
| table shcluster_label app savedsearch_name user is_scheduled_old is_scheduled_new disabled_old disabled_new cron_schedule_old cron_schedule_new auto_summarize_old auto_summarize_new dispatch_earliest_time_old dispatch_earliest_time_new dispatch_latest_time_old dispatch_latest_time_new schedule_priority_old schedule_priority_new max_concurrent_old max_concurrent_new schedule_window_old schedule_window_new allow_skew_old allow_skew_new realtime_schedule_old realtime_schedule_new",
"IA4S-216","splunk rest shcluster status",onprem,"Search_Head_Cluster","splunk rest shcluster status","| rest /services/shcluster/captain/info `setup_search_head_rest` 
| fields splunk_server elected_captain label maintenance_mode initialized_flag min_peers_joined_flag rolling_restart_flag 
| rename splunk_server as host, label as current_captain 
| append 
    [| rest /services/shcluster/captain/members `setup_search_head_rest` 
    | fields advertise_restart_required is_captain label last_heartbeat no_artifact_replications pending_job_count preferred_captain replication_count status title 
    | rename label as host, title as guid] 
| stats values(elected_captain) as elected_captain values(current_captain) as current_captain values(maintenance_mode) as maintenance_mode values(initialized_flag) as initialized_flag values(min_peers_joined_flag) as min_peers_joined_flag values(rolling_restart_flag) as rolling_restart_flag values(advertise_restart_required) as advertise_restart_required values(guid) as guid values(is_captain) as is_captain values(last_heartbeat) as last_heartbeat values(no_artifact_replications) as no_artifact_replications values(pending_job_count) as pending_job_count values(preferred_captain) as preferred_captain values(replication_count) as replication_count values(status) as status by host 
| eval _time=now() 
| fields _time host *",
"IA4S-217","License Usage Data Cube",license,Internal,"License Usage Data Cube","index=_internal source=*license_usage.log type=""Usage""
| eval h=if(len(h)=0 OR isnull(h),""(SQUASHED)"",h)
| eval s=if(len(s)=0 OR isnull(s),""(SQUASHED)"",s)
| eval idx=if(len(idx)=0 OR isnull(idx),""(UNKNOWN)"",idx)
| bin _time span=1d
| stats sum(b) as b by _time, pool, s, st, h, idx",
"IA4S-218","splunk saved searches drift alert",changes,Miscellaneous,"Monitor for changes made to any or specific (configurable) Saved Searches changes in the environment and send an automated Alert via Insights App for Splunk","index=_internal sourcetype=splunkd_ui_access method=POST uri=""*/saved/searches*"" NOT file IN (acl, dispatch, searches) 
| fields - useragent 
| fields _time clientip file host status user user uri 
| rex field=uri ""\N+servicesNS/[^/]+/(?<app>[^/]+)/[^/]+/[^/]+/(?<savedsearch_name>\N+)$"" 
| search savedsearch_name IN (""*"") | `get_shcluster_label(host)` 
| `get_saved_searches_info(shcluster_label,app,savedsearch_name)` 
| fields _time shcluster_label clientip file host app status user uri savedsearch_search cron_schedule is_scheduled schedule_priority schedule_window action_email_to allow_skew auto_summarize realtime_schedule savedsearch_type savedsearch_name dispatch_earliest_time dispatch_latest_time action_email updated 
| rename 
    disabled AS old_disabled
    updated as old_updated
    cron_schedule as old_cron_schedule 
    is_scheduled as old_is_scheduled 
    dispatch_earliest_time as old_dispatch_earliest_time
    dispatch_latest_time as old_dispatch_latest_time 
    action_email as old_action_email 
    action_email_to as old_action_email_to
    schedule_priority as old_schedule_priority 
    schedule_window as old_schedule_window
    action_email_to as old_action_email_to
    allow_skew as old_allow_skew
    auto_summarize as old_auto_summarize
    realtime_schedule as old_realtime_schedule 
    savedsearch_search as old_savedsearch_search 
    savedsearch_type as old_savedsearch_type 
| fields shcluster_label app savedsearch_name old_* _time clientip file host status user uri 
| join shcluster_label app savedsearch_name 
    [| rest /servicesNS/-/-/saved/searches splunk_server_group=dmc_group_search_head timeout=0 
    | eval savedsearch_type=if((NOT 'action'==""*"" AND NOT alert.track==""*"" AND NOT alert_condition==""*"" AND 'alert_type'==""always""),""report"",""alert"") 
    | rename eai:acl.app AS app, splunk_server AS Splunk_Instance, title AS savedsearch_name, alert.severity AS alert_severity, alert.track AS alert_track, dispatch.earliest_time AS dispatch_earliest_time, dispatch.latest_time AS dispatch_latest_time , eai:acl.sharing as sharing , eai:acl.removable as removable action.email.to AS action_email_to 
    | rename action.email AS action_email action.logevent AS action_logevent action.logevent.param.event AS action_logevent_param_event action.lookup AS action_lookup action.lookup.append AS action_lookup_append action.lookup.filename AS action_lookup_filename action.output_message AS action_output_message action.output_message.param.msgid AS action_output_message_param_msgid action.output_message.param.name AS action_output_message_param_name action.populate_lookup AS action_populate_lookup action.script AS action_script action.script.filename AS action_script_filename action.summary_index AS action_summary_index auto_summarize.cron_schedule AS auto_summarize_cron_schedule auto_summarize.max_concurrent AS auto_summarize_max_concurrent dispatch.ttl AS dispatch_ttl auto_summarize.dispatch.earliest_time AS auto_summarize_dispatch_earliest_time auto_summarize.dispatch.latest_time AS auto_summarize_dispatch_latest_time action.correlationsearch.enabled AS action_correlationsearch_enabled action.correlationsearch.label AS action_correlationsearch_label action.correlationsearch.related_searches AS action_correlationsearch_related_searches 
    | `strptime_format(updated)` 
    | `get_shcluster_label(Splunk_Instance)` 
    | fields shcluster_label app savedsearch_name updated disabled is_scheduled cron_schedule auto_summarize dispatch_earliest_time dispatch_latest_time schedule_priority schedule_window allow_skew realtime_schedule action_email_to search action_email savedsearch_type 
    | stats 
        last(*) AS * 
        BY shcluster_label app savedsearch_name 
    | rename 
        cron_schedule as new_cron_schedule 
        is_scheduled as new_is_scheduled
        dispatch_earliest_time as new_dispatch_earliest_time 
        dispatch_latest_time as new_dispatch_latest_time 
        action_email as new_action_email 
        action_email_to as new_action_email_to
        schedule_priority as new_schedule_priority
        schedule_window as new_schedule_window 
        allow_skew as new_allow_skew
        auto_summarize as new_auto_summarize 
        realtime_schedule as new_realtime_schedule 
        search as new_savedsearch_search
        savedsearch_type as new_savedsearch_type 
        updated AS new_updated
        disabled as new_disabled 
    | fields shcluster_label app savedsearch_name new_*] 
| stats values(*) as * latest(_time) as _time by shcluster_label app savedsearch_name user 
| convert ctime(*_updated) 
| table _time user clientip status host shcluster_label app savedsearch_name 
    old_savedsearch_type new_savedsearch_type
    old_updated new_updated
    old_disabled new_disabled
    old_cron_schedule new_cron_schedule
    old_is_scheduled new_is_scheduled 
    old_dispatch_earliest_time new_dispatch_earliest_time
    old_dispatch_latest_time new_dispatch_latest_time
    old_action_email new_action_email
    old_action_email_to new_action_email_to
    old_action_email_to new_action_email_to
    old_schedule_priority new_schedule_priority
    old_schedule_window new_schedule_window
    old_allow_skew new_allow_skew
    old_auto_summarize new_auto_summarize
    old_realtime_schedule new_realtime_schedule
    old_savedsearch_search new_savedsearch_search",
"IA4S-219","Extract Search SPL from Audit & Internal & Format it",ia4s,Search,"Extract Search SPL from Audit & Internal & Format it","index=_audit sourcetype=audittrail action=search info IN (completed) search=* 
| eval Raw=_raw 
| rex mode=sed field=Raw ""s/[\n\r]//g"" 
| rex mode=sed field=Raw ""s/\s{2,}/ /g"" 
| rex field=Raw ""search\=\'(?<Search_Job>.*?)',\s"" 
| rex mode=sed field=Search_Job ""s/^search\s+//g"" 
| rex mode=sed field=Search_Job ""s/REST/rest/g"" 
| rex mode=sed field=Search_Job ""s/^rest/| rest/g"" 
| rex mode=sed field=Search_Job ""s/^\|rest/| rest/g"" 
| rex mode=sed field=Search_Job ""s/^\|inputlookup /| inputlookup /g"" 
| eval Search_Job=trim(Search_Job) 
| stats count by Search_Job 
| append 
    [ search index=_internal sourcetype=splunkd component=DispatchManager id=* search=* 
    | eval Raw=_raw 
    | rex mode=sed field=Raw ""s/[\n\r]//g"" 
    | rex mode=sed field=Raw ""s/\s{2,}/ /g"" 
    | rex mode=sed field=Raw ""s/\\\n//g"" 
    | rex field=Raw ""search=\""search\s+(?<Search_Job>.*?)$"" 
    | rex mode=sed field=Search_Job ""s/\"",\sreason=.*?$//g"" 
    | eval Search_Job=trim(Search_Job) 
    | stats count by Search_Job ] 
| rex mode=sed field=Search_Job ""s/\|/\n|/g"" 
| eval Search_Job=trim(Search_Job) 
| rex mode=sed field=Search_Job ""s/^rest/| rest/g"" 
| stats count by Search_Job 
| fields - count",
"IA4S-220","Report on users and their group memberships so we can make decisions how to classify the groups",users,Identities,"| tstats SUMMARIESONLY=TRUE ALLOW_OLD_SUMMARIES=TRUE 
    VALUES(Authentication.app) AS app
    count 
    FROM DATAMODEL=Authentication 
    WHERE NODENAME=Authentication 
    AND Authentication.app IN (win:batch, win:service)
    AND sourcetype = ""XmlWinEventLog""
    BY  Authentication.user 
| `drop_dm_object_name(Authentication)`","index=appmsadmon sourcetype=ActiveDirectory objectCategory=""CN=Person,CN=Schema,CN=Configuration*"" 
| makemv delim=""|"" objectClass 
| eval user_Groups = memberOf 
| makemv delim=""|"" user_Groups 
| fields sAMAccountName distinguishedName displayName userPrincipalName memberOf DC description lastLogon whenCreated whenChanged user_Groups 
| stats values(*) as * by sAMAccountName 
| table sAMAccountName displayName userPrincipalName DC user_Groups lastLogon whenCreated whenChanged",
"IA4S-221","Concurrency Limits",onprem,"Search_Head_Cluster","Concurrency Limits","| rest /servicesNS/-/-/admin/server-status-limits-concurrency splunk_server_group=dmc_group_indexer
| table splunk_server title max_*",
"IA4S-222","Top 5 License Consuming Hosts",license,Licensing,"The following Splunk search query will return the top five licensing consuming hosts:","index=_internal source=*license_usage.log type=""Usage""
| stats sum(b) AS volume by h
| eval  GB=round(volume/1024/1024/1024,5)
| table h GB
| sort 5 - GB",
"IA4S-223","Jobs drifting or changing state",changes,"Scheduled_Jobs","Jobs drifting or changing state","`setup_summary_index_list` source=splunk_rest_saved_searches_sh_summary_data shcluster_label=""*"" updated>0 app!=insights_app_splunk earliest=-7d@d
| stats list(is_scheduled) As is_scheduled list(disabled) As disabled dc(is_scheduled) As dc_is_scheduled list(updated) as updated by shcluster_label app author savedsearch_name 
| eval updated_human=updated 
| convert ctime(updated_human) 
| where dc_is_scheduled >1",
"IA4S-224","License Usage Forecast Model",license,Licensing,"The following query can be used for Splunk license capacity planning. It is only a prediction based on your current ingestion rate, and attempts to predict what your usage will be over the next 120 days. It is recommended not to use all time in your search, as the predict command takes quite a bit of […]","index=_internal todaysbytesindexed startdaysago=60
| eval GB_Indexed = todaysBytesIndexed/1024/1024/1024
| timechart span=1d avg(""GB_Indexed"")
| predict avg(""GB_Indexed"") future_timespan=120 as ""Forecast Index Rate""
| rename avg(""GB_Indexed"") as ""Current Index Rate""",
"IA4S-225","Find Future Time Stamps by index","examples,onprem","Indexer_Cluster","Find Future Time Stamps by index","| rest /services/data/indexes search=""totalEventCount!=0"" splunk_server_group=dmc_group_indexer
| eval coldPath.maxDataSizeMB=if('coldPath.maxDataSizeMB' = 0, null(), 'coldPath.maxDataSizeMB') 
| eval homePath.maxDataSizeMB=if('homePath.maxDataSizeMB' = 0, null(), 'homePath.maxDataSizeMB') 
| eval roof=min((coalesce('homePath.maxDataSizeMB', 4294967295) + coalesce('coldPath.maxDataSizeMB', 4294967295)), maxTotalDataSizeMB) 
| eval span=tostring(currentDBSizeMB) + "" / "" + tostring(roof) + "" MB"" 
| eval PercentFull=tostring(round(currentDBSizeMB * 100 / roof)) + ""%"" 
| eval ""Total Events""=tostring(totalEventCount,""commas"") 
| stats first(span) AS ""Capacity vs Limit"" by splunk_server title minTime maxTime ""Total Events"" PercentFull 
| rename splunk_server AS Indexer title AS Index minTime AS ""Oldest Event"" maxTime AS ""Newest Event"" 
| table Indexer Index ""Capacity vs Limit"" ""Oldest Event"" ""Newest Event"" ""Total Events"" PercentFull 
| sort - PercentFull",
"IA4S-226","mcatalog command example",examples,Commands,"| mcatalog values(metric_name) as metric WHERE index=oswinmetrics by collection","| mcatalog 
    values(_dims) AS Dimension 
    WHERE metric_name IN (spl.mlog.searchscheduler.*, spl.mlog.search_concurrency.*, spl.mlog.realtime_search_data.*, spl.mlog.search_health_metrics.*, spl.mlog.search_pool.*) 
    AND index=_metrics 
    BY metric_name 
| rex field=metric_name ""spl.mlog.(?<group>\w+).(?<name>\w+).?(?<metric>\w+)?"" 
| table metric_name Dimension group name metric",
"IA4S-227","mstats command example",examples,Commands,"mstats command example","| mstats sum(_value) AS Total 
    WHERE index=_metrics 
    AND metric_name=spl.mlog.search_concurrency.search_queue_metrics.enqueue_seaches_count 
    BY group metric_name",
"IA4S-228","msearch command examples",examples,Commands,"The msearch command is used to return raw data-points in a metrics index.
It is NOT designed to work at scale since returning every metric event over a huge data set is prohibitively expensive.  Having said that, there are many use cases and workflows where seeing raw data points in the metrics index can be helpful, mostly around GDI/data onboarding/data discovery use cases.

The filter predicate can contain predicates involving dimensions or metric_name ONLY.
To constrain _time, one has to do it via API (TimePicker or specifying -[earliest/latest] as argument in CLI)
 
The index/es must be metrics indexes.  Only Quake version buckets are processed,
old buckets that are pre-Quake will be silently ignored by command.

Examples:
| mpreview index=_metrics
| mpreview index=_metrics filter=""metric_name=cpu.idle""
| mpreview index=_metrics filter=""metric_name=cpu.idle host=ronnie app=splunk""
| mpreview index=* filter=""app=slack""","| mpreview index=_metrics earliest=-1h@h latest=-1m@m filter=""metric_name=cpu.idle host=123 app=splunk""",
"IA4S-229","Health info Basic","health,onprem",Health,"Health info Basic","| rest /servicesNS/-/-/admin/health-report splunk_server_group=dmc_group_indexer 
| fields title splunk_server health",
"IA4S-230","Health info Detailed","health,onprem",Health,"Health info Detailed","| rest /servicesNS/-/-/admin/health-report/splunkd/details splunk_server_group=dmc_group_indexer 
| fields title splunk_server health features.* 
| rename features.* As *",
"IA4S-231","Delete Jobs from Job Manager or Dispatch Folder using curl",automation,"Scheduled_Jobs","To perform the action remotely, create an encrypted Credential using the REST storage/passwords Manager for Splunk and then run it like this: 
| eval urifield = ""https://IP:8089/services/search/jobs/"" . sid 
| curl urifield=urifield method=delete splunkpasswdname=""admin""","earliest=-24h `setup_summary_index_list` source=splunk_rest_search_jobs_sh_summary_tracker provenance = scheduler status=Completed ttl > 600 sid = ""*"" 
| eval Expires = updated + ttl 
| eval Expires_human = strftime(Expires,""%A %B %d, %Y %I:%M:%S %p %Z"") 
| table shcluster_label provenance app user savedsearch_name status updated ttl search_id_normalized sid 
    ``` 
| eval urifield = ""https://localhost:8089/services/search/jobs/"" . sid 
| curl urifield=urifield method=delete 
    ```
    ``` 
| eval urifield = ""https://IP:8089/services/search/jobs/"" . sid 
| curl urifield=urifield method=delete splunkpasswdname=""admin"" 
    ```",0
