id,action,"activity_action","change_type",template
5041,modified,"Account Modified",mgmt,"The management user {{ username }} updated {{ old_account_name }} account. {% if name_message %}{{ name_message }}{% endif %}{% if expiration_message %}{{ expiration_message }}{% endif %}{% if bundle_message %}{{ bundle_message }}{% endif %}{% if module_message %}{{ module_message }}{% endif %}{% if setting_message %}{{ setting_message }}{% endif %}"
5042,deleted,"Account Deleted",mgmt,"The management user {{ username }} deleted the account {{ account_name }}"
5043,modified,"Account Expired",mgmt,"The account {{ account_name }} expired automatically at {{ account_expiration | datetime}} because the expiration day was over"
5044,modified,"Account Policy Reverted",mgmt,"The management user {{ username }} has reverted {{ account_name }} account policy to global."
5045,modified,"Account Marked As Expired",mgmt,"The management user {{ username }} marked account {{ account_name }} as expired"
51,modified,"Agent Uninstalled",agent,"The machine {{ computer_name }} (OS Family: {{ os_type }}, Type: {{ machine_type }}, Cloud Provider:{% if cloud_provider_names %}{{ "", "".join(cloud_provider_names) }}{% else %}N/A{% endif %}) with IP address {{ external_ip }} was uninstalled."
5120,created,"Device Rule Created",mgmt,"The management user {{ username }} added Device Control rule {{ rule_name }} to {{scope_name}}"
5121,modified,"Device Rule Modified",mgmt,"The management user {{ username }} changed Device Control rule {{ rule_name }} in {{scope_name}}"
5122,deleted,"Device Rule Deleted",mgmt,"The management user {{ username }} deleted the Device Control rule {{ rule_name }} from {{scope_name}} Device Control policy"
5123,modified,"Device Rules Reordered",mgmt,"The management user {{ username }} modified the order of Device Control rules in {{scope_name}}"
5124,modified,"Device Rules Settings Modified",mgmt,"The management user {{ username }} updated Device Control settings in {{scope_name}}. Modified the settings parameter {{ setting }} from {{ previous }} to {{ current }}"
5125,modified,"Device Control Blocked Event",agent,"{{ interface }} device {% if device_name %}{{ device_name }}{% else %}{% endif %} was {{ ""configured as read-only"" if event_type == ""configured-read-only"" else event_type }} on {{ computer_name }}{% if rule_name %} based on rule: {{ rule_name }} in {{ rule_scope_name }}{% else %}{% endif %}."
5126,modified,"Device Control Approved Event",agent,"{{ interface }} device {% if device_name %}{{ device_name }}{% else %}{% endif %} was {{ ""configured as read-only"" if event_type == ""configured-read-only"" else event_type }} on {{ computer_name }}{% if rule_name %} based on rule: {{ rule_name }} in {{ rule_scope_name }}{% else %}{% endif %}."
5127,modified,"Device Rule Moved From Scope",agent,"The management user {{ username }} moved Device Control rule {{ rule_name }} from {{scope_name}}"
5128,modified,"Device Rule Moved To Scope",agent,"The management user {{ username }} moved Device Control rule {{ rule_name }} to {{scope_name}}"
5129,modified,"Device Rule Copied To Scope",agent,"The management user {{ username }} copied Device Control rule {{ rule_name }} to {{scope_name}}"
52,modified,"User Approved Agent Uninstall Request",agent,"The management user {{ username }} approved uninstall agent request on machine {{ computer_name }}."
5220,modified,"Firewall Rule Created",firewall,"The management user {{ username }} added Firewall Control rule {{ rule_name }} to {{scope_level}} {{scope_name}}"
5221,modified,"Firewall Rule Modified",firewall,"The management user {{ username }} changed Firewall Control rule {{ rule_name }} in {{scope_level}} {{scope_name}}"
5222,deleted,"Firewall Rule Deleted",firewall,"The management user {{ username }} deleted the Firewall Control rule {{ rule_name }} from {{scope_level}} {{scope_name}}"
5225,modified,"Firewall Control Settings Modified",firewall,"The management user {{ username }} updated Firewall Control Settings in {{scope_level}} {{scope_name}}. {% if old_status %} Firewall status changed from {{old_status}} to {{new_status}}.{%endif%}{% if old_inheritance_mode %} Inheritance Mode changed from {{old_inheritance_mode}} to {{ new_inheritance_mode }}.{%endif%}{% if new_inherit_settings == ""On"" %} Firewall status is now inherited from the parent scope.{%endif%}{% if new_inherit_settings == ""Off"" %} Firewall status is not inherited from the parent scope anymore.{%endif%}"
5226,modified,"Firewall Rules Reordered",firewall,"The management user {{ username }} modified the order of Firewall Control rules in {{scope_level}} {{ scope_name }}"
5227,started,"User Initiated Fetch Firewall Rules From Agent",user,"The management user {{ username }} initiated a fetch {%if config_state == ""initial"" %}pre-installation {% endif %}firewall rules command to the agent: {{ computer_name }} ({{ external_ip }})."
5228,modified,"Agent Uploaded Firewall Rules","firewall rules","Agent {{ computer_name }} ({{ external_ip }}) successfully uploaded {% if config_state %}{{ config_state }} {% endif %}firewall rules configuration."
5229,"acl_modified","Firewall Rule Moved From Scope",firewall,"The management user {{ username }} moved Firewall Control rule {{ rule_name }} from {{scope_level}} {{scope_name}}"
5230,"acl_modified","Firewall Rule Moved To Scope",firewall,"The management user {{ username }} moved Firewall Control rule {{ rule_name }} to {{scope_level}} {{scope_name}}"
5231,"acl_modified","Firewall Rule Copied To Scope",firewall,"The management user {{ username }} copied Firewall Control rule {{ rule_name }} to {{scope_level}} {{scope_name}}"
5232,modified,"Firewall Control Blocked Event",agent,"Firewall Control blocked traffic on the Endpoint {{ computer_name }}{% if rule_name %} because of rule {{ rule_name }} in {{ rule_scope_level }} {{ rule_scope_name }}{% else %}{% endif %}."
5233,modified,"User Requested Firewall Logging",agent,"The management user {{ username }} requested firewall logging from the agent: {{ computer_name }} ({{ external_ip }}). Local log is {{ ""Enabled"" if report_log else ""Disabled"" }}. Activity Log is {{ ""Enabled"" if report_mgmt else ""Disabled""}}"
5234,modified,"Network Quarantine Rule Created","network quarantine rule","The management user {{ username }} added Network Quarantine rule {{ rule_name }} to {{scope_level}} {{scope_name}}"
5235,modified,"Network Quarantine Rule Modified","network quarantine rule","The management user {{ username }} changed Network Quarantine rule {{ rule_name }} in {{scope_level}} {{scope_name}}"
5236,deleted,"Network Quarantine Rule Deleted","network quarantine rule","The management user {{ username }} deleted the Network Quarantine rule {{ rule_name }} from {{scope_level}} {{ scope_name }} Network Quarantine policy"
5237,modified,"Network Quarantine Control Settings Modified","network quarantine settings","The management user {{ username }} updated Configurable Network Quarantine Settings in {{ scope_level }} {{scope_name}}.{% if old_status %} Network Quarantine status changed from {{old_status}} to {{new_status}}.{%endif%}{% if old_inheritance_mode %} Inheritance Mode changed from {{old_inheritance_mode}} to {{ new_inheritance_mode }}.{%endif%}{% if new_inherit_settings and new_inherit_settings == ""On"" %} Network Quarantine status is now inherited from the parent scope.{%endif%}{% if new_inherit_settings and new_inherit_settings == ""Off"" %} Network quarantine status is not inherited from the parent scope anymore.{%endif%}"
5238,modified,"Network Quarantine Rules Reordered","network quarantine rule","The management user {{ username }} modified the order of Network Quarantine rules in {{ scope_level }} {{ scope_name }}"
5239,modified,"Network Quarantine Rule Moved From Scope","network quarantine rule","The management user {{ username }} moved Network Quarantine rule {{ rule_name }} from {{scope_level}} {{scope_name}}"
5240,modified,"Network Quarantine Rule Moved To Scope","network quarantine rule","The management user {{ username }} moved Network Quarantine rule {{ rule_name }} to {{scope_level}} {{scope_name}}"
5241,modified,"Network Quarantine Rule Copied To Scope","network quarantine rule","The management user {{ username }} copied Network Quarantine rule {{ rule_name }} to {{scope_level}} {{scope_name}}"
5242,created,"Ranger - Device Tag Created",ranger,"The management user {{ username }} added a new {{ tag_type }} Tag {{ tag_name }} to {{ scope_level }} {{ scope_name }}{% if tag_description %} with description {{ tag_description }}{% endif %}."
5243,modified,"Ranger - Device Tag Updated",ranger,"The management user {{ username }} modified the {{ tag_type }} tag {{ tag_name }} in {{ scope_level}} {{scope_name}}.{% if old_tag_name %} The name was changed from {{ old_tag_name }} to {{ new_tag_name }}.{% endif %}{% if old_tag_description %} The description was changed from {{ old_tag_description }} to {{ new_tag_description }}.{% endif %}"
5244,deleted,"Ranger - Device Tag Deleted",ranger,"The management user {{ username }} deleted the {{ tag_type }} Tag {{ tag_name }} from {{ scope_level }} {{ scope_name }}"
5250,created,"Firewall Control Tag Created",firewall,"The management user {{ username }} added a new Firewall Tag {{ tag_name }} to {{ scope_level }} {{ scope_name }}{% if tag_description %} with description {{ tag_description }}{% endif %}."
5251,modified,"Firewall Control Tag Updated",firewall,"The management user {{ username }} modified the Firewall Control tag {{ tag_name }} in {{ scope_level}} {{scope_name}}.{% if old_tag_name %} The name was changed from {{ old_tag_name }} to {{ new_tag_name }}.{% endif %}{% if old_tag_description %} The description was changed from {{ old_tag_description }} to {{ new_tag_description }}.{% endif %}"
5252,modified,"Firewall Control Tag Updated",firewall,"The management user {{ username }} deleted the Firewall Control Tag {{ tag_name }} from {{ scope_level }} {{ scope_name }}"
5253,created,"Network Quarantine Control Tag Created",unknown,"The management user {{ username }} added a new Network Quarantine Tag {{ tag_name }} to {{ scope_level }} {{ scope_name }}{% if tag_description %} with description {{ tag_description }}{% endif %}."
5254,modified,"Network Quarantine Control Tag Updated",unknown,"The management user {{ username }} modified the Network Quarantine tag {{ tag_name }} in {{ scope_level}} {{scope_name}}.{% if old_tag_name %} The name was changed from {{ old_tag_name }} to {{ new_tag_name }}.{% endif %}{% if old_tag_description %} The description was changed from {{ old_tag_description }} to {{ new_tag_description }}.{% endif %}"
5255,modified,"Network Quarantine Control Tag Deleted",unknown,"The management user {{ username }} deleted Network Quarantine Tag {{ tag_name }} from {{ scope_level }} {{ scope_name }}"
5256,deleted,"Firewall Control Tag Added/Removed From Rule",firewall,"The Firewall tag {{ tag_name }} that is being used in {{ scope_level }} {{ scope_name }} was modified.{% if rules_added %} The following rules were added: {{ rules_added }}.{% endif %}{% if rules_removed %} The following rules were removed: {{ rules_removed }}.{% endif %}"
5257,modified,"Firewall Control Tag Inherited",firewall,"The management user {{ username }} modified the list of inherited Firewall Control tags in {{ scope_level }} {{ scope_name }}.{% if tags_added %} The following tags were added: {{ tags_added }}.{% endif %}{% if tags_removed %} The following tags were removed {{ tags_removed }}.{% endif %}"
5258,modified,"Network Quarantine Control Tag Added/Removed From Rule",unknown,"The Network Quarantine tag {{ tag_name }} that is being used in {{ scope_level }} {{ scope_name }} was modified.{% if rules_added %} The following rules were added: {{ rules_added }}.{% endif %}{% if rules_removed %} The following rules were added: {{ rules_removed }}.{% endif %}"
5259,modified,"Network Quarantine Control Tag Inherited",unknown,"The management user {{ username }} modified the list of inherited Network Quarantine tags in {{ scope_level }} {{ scope_name }}.{% if tags_added %} The following tags were added: {{ tags_added }}.{% endif %}{% if tags_removed %} The following tags were removed {{ tags_removed }}.{% endif %}"
53,modified,"User Rejected Agent Uninstall Request",agent,"The management user {{ username }} rejected uninstall agent request on machine {{ computer_name }}."
54,modified,"User Decommissioned Agent",agent,"The management user {{ username }} has decommissioned Agent {{ computer_name }}."
55,modified,"User Recommissioned Agent",agent,"The management user {{ username }} has decommissioned Agent {{ computer_name }}."
56,modified,"Auto Mitigation Actions Modified",agent,"The management user {{ username }} has set the mitigation action to {{ new_value }} for {% if group_name %}{{ group_name }}at {{ site_name }}{% elif site_name %} {{ site_name }}{% else %} all Sites{% endif %}."
57,modified,"Quarantine Network Settings Modified",agent,"The management user {{ username }} changed Disconnect from network setting to {{ ""on"" if new_value else ""off"" }} for {% if group_name %}{{ group_name }} at {{ site_name }}{% elif site_name %} {{ site_name }}{% else %} all Sites{% endif %}."
58,modified,"Notification Option Level Modified",mgmt,"The management user {{ username }} changed the {{ transport_type }} notification level to {{ notification_level }}."
59,modified,"Event Severity Level Modified",mgmt,"The management user {{ username }} changed ""{{ activity_data[activity_type][""category""] }}"" event severity level to {{ severity_level }}."
6,unknown,,unknown,
60,modified,"Notification - Recipients Configuration Modified",mgmt,"The management user {{ username }} changed Recipients configuration."
6000,modified,"Mobile Policy updated",policy,"The management user {{ user_full_name }} updated Mobile Policy for {% if group_name %}{{ group_name }} at {{ site_name }}{% elif site_name %}{{ site_name }} at {{ account_name }}{% elif account_name %}{{ account_name }}{% else %}global{% endif %}."
6001,created,"Mobile Policy created",policy,"The management user {{ user_full_name }} created Mobile Policy for {% if group_name %}{{ group_name }} at {{ site_name }}{% elif site_name %}{{ site_name }} at {{ account_name }}{% elif account_name %}{{ account_name }}{% else %}global{% endif %}."
6002,deleted,"Mobile Policy removed",policy,"The management user {{ user_full_name }} removed Mobile Policy from {% if group_name %}{{ group_name }} at {{ site_name }}{% elif site_name %}{{ site_name }} at {{ account_name }}{% elif account_name %}{{ account_name }}{% else %}global{% endif %}."
6010,created,"UEM Connection created",unknown,"The management user {{ user_full_name }} created MDM Connection for {% if group_name %}{{ group_name }} at {{ site_name }}{% elif site_name %}{{ site_name }} at {{ account_name }}{% elif account_name %}{{ account_name }}{% else %}global{% endif %}."
6011,modified,"UEM Connection updated",unknown,"The management user {{ user_full_name }} updated MDM Connection for {% if group_name %}{{ group_name }} at {{ site_name }}{% elif site_name %}{{ site_name }} at {{ account_name }}{% elif account_name %}{{ account_name }}{% else %}global{% endif %}."
6012,deleted,"UEM Connection Removed",unknown,"The management user {{ user_full_name }} removed MDM Connection from {% if group_name %}{{ group_name }} at {{ site_name }}{% elif site_name %}{{ site_name }} at {{ account_name }}{% elif account_name %}{{ account_name }}{% else %}global{% endif %}."
6013,unknown,"UEM Connection Synced",unknown,"Sync finished for MDM Connection from {% if group_name %}{{ group_name }} at {{ site_name }}{% elif site_name %}{{ site_name }} at {{ account_name }}{% elif account_name %}{{ account_name }}{% else %}global{% endif %}."
6030,modified,"Mobile Device Updated",unknown,"The management user {{ user_full_name }} updated Mobile Device, id: {{ deviceId }}."
6031,created,"Mobile Device Created",unknown,"Mobile Device, id: {{ deviceId }}, was created and joined the group {{ group_name }} of site {{ site_name }}."
6032,deleted,"Mobile Device Removed",unknown,"Mobile Device, id: {{ deviceId }}, was removed from the group {{ group_name }} of site {{ site_name }}."
6050,unknown,"Mobile Incident Detected",unknown,"Incident {{ incidentName }} detected."
6051,unknown,"Mobile Incident Mitigated",unknown,"Incident {{ incidentName }} was mitigated by management user {{ user_full_name }}."
6052,unknown,"Mobile Incident Automatically Resolved",unknown,"Incident {{ incidentName }} was automatically resolved by SentinelOne."
6053,unknown,"Mobile Incident Resolved",unknown,"The management user {{ user_full_name }} marked incident {{ incidentName }} as resolved."
6054,modified,"Mobile Incident Status Changed",unknown,"The management user {{ user_full_name }} changed the status of incident {{ incidentName }} to {{ status }}."
6055,modified,"Mobile Incident Analyst Verdict Changed",unknown,"The management user {{ user_full_name }} changed the analyst verdict of incident {{ incidentName }} to {{ verdict }}."
61,modified,"User Disconnected Agent From Network",agent,"The management user {{ username }} issued a disconnect from network command to the machine {{ computer_name }}."
62,modified,"User Reconnected Agent to Network",agent,"The management user {{ username }} issued a reconnect to network command to the machine {{ computer_name }}."
63,modified,"User Shutdown Agent",agent,"The management user {{ username }} issued a shutdown command to {{ computer_name }}."
64,read,"User Requested Passphrase",user,"The management user {{ username }} viewed the agent's {{ computer_name }} passphrase."
65,modified,"User Requested Full Log Report",agent,"The management user {{ username }} initiated a fetch full report command to the agent: {{ computer_name }} ({{ external_ip }})."
66,modified,"Agent Uploaded Full Log Report",agent,"Agent {{ computer_name }} ({{ external_ip }}) successfully uploaded {{ filename }}."
67,modified,"User 2FA Modified",user,"The management user {{ by_user }} {{ ""enabled"" if new_value else ""disabled"" }} Two factor authentication on the user {{ username }}."
68,modified,"Engine Modified In Policy",mgmt,"The management user {{ username }} changed Engine policy for {% if group_name %}{{ group_name }} at {{ site_name }}{% elif site_name %} {{ site_name }}{% else %} all Sites{% endif %}."
69,modified,"Mitigation Policy Modified",mgmt,"The management user {{ username }} modified the threat mitigation policy to {{ new_value }} for {% if group_name %}{{ group_name }} at {{ site_name }}{% elif site_name %}{{ site_name }} at {{ account_name }}{% elif account_name %}{{ account_name }}{% else %}global{% endif %}."
6999,unknown,"Unknown mobile activity",unknown,"Unknown mobile activity"
7,unknown,unknown,unknown,unknown
70,modified,"Policy Setting - Agent Notification On Suspicious Modified",mgmt,"The management user {{ username }} set Agent notification on suspicious to {{ ""enabled"" if new_value else ""disabled"" }} for{% if group_name %}{{ group_name }} at {{ site_name }}{% elif site_name %} {{ site_name }}{% else %} all Sites{% endif %}."
71,modified,"Scan Initiated",agent,"{{ ""System"" if system else ""The management user {}"".format(username) }} initiated a full disk scan to the agent: {{ computer_name }} ({{ external_ip }})."
7100,modified,"Exclusion import",site,"The management user {{ user_name }} imported {{ succeeded }} exclusion into {{ imported_scope_name }} Scope"
7101,unknown,"Blacklist import",unknown,"The management user {{ user_name }} imported {{ succeeded }} blacklist into {{ imported_scope_name }} Scope"
72,modified,"Scan Aborted",agent,"The management user {{ username }} aborted a full disk scan to the agent: {{ computer_name }} ({{ external_ip }})."
7200,unknown,"Add cloud account",unknown,"{{ username }} added the {{ cloud_provider_name }} cloud account Name:'{{cloud_provider_account_name }}', at scope Account:'{{ account_name }}{% if site_name %}->{{ site_name }}{% endif %}'"
7201,modified,"Disable cloud Account",unknown,"{{ username }} disabled the {{ cloud_provider_name }} cloud account Name:'{{cloud_provider_account_name }}', at scope Account:'{{ account_name }}{% if site_name %}->{{ site_name }}{% endif %}'"
7202,created,"Enable cloud Account",unknown,"{{ username }} enabled the {{ cloud_provider_name }} cloud account Name:'{{cloud_provider_account_name }}', at scope Account:'{{ account_name }}{% if site_name %}->{{ site_name }}{% endif %}'"
7203,modified,"Disable and Purge cloud (AKA Delete)",unknown,"{{ username }} deleted the {{ cloud_provider_name }} cloud account Name:'{{cloud_provider_account_name }}', at scope Account:'{{ account_name }}{% if site_name %}->{{ site_name }}{% endif %}'"
7210,unknown,"Add cloud policy",policy,"{{ username }} added policy {{ policy_name }} of type {{ policy_type }} at scope Account:{{ account_name }}{% if site_name %}->{{ site_name }}{% endif %}"
7211,unknown,"Update cloud policy",policy,"{{ username }} updated policy {{ policy_name }} of type {{ policy_type }} at scope Account:{{ account_name }}{% if site_name %}->{{ site_name }}{% endif %}"
7212,deleted,"Delete cloud policy",policy,"{{ username }} deleted policy {{ policy_name }} of type {{ policy_type }} at scope Account:{{ account_name }}{% if site_name %}->{{ site_name }}{% endif %}"
73,modified,"Scan New Agents Changed",mgmt,"Scan new agents setting was changed to {{ ""on"" if new_value else ""off"" }} for {% if group_name %}{{ group_name }} at {{ site_name }} {% elif site_name %} {{ site_name }} {% else %} all Sites {% endif %}."
74,restarted,"Machine Restart",mgmt,"The management user  {{ username }} restarted agent: {{ computer_name }} ({{ external_ip }}) on {{ created_at | datetime }}."
75,modified,"On Access Modified",mgmt,
7500,created,"Remote Ops Password Configured",unknown,"The management user {{username}} created Remote Ops password configuration on {{password_scope_level}} scope{% if password_scope_name %} {{ password_scope_name }}{% endif %}."
7501,deleted,"Remote Ops Password Deleted",unknown,"The management user {{username}} deleted Remote Ops password configuration set on {{password_scope_level}} scope{% if password_scope_name %} {{ password_scope_name }}{% endif %}."
7502,started,"Forensics Profile Executed",unknown,"The management user {{username}} executed the {{profile_name}} Forensics Profile which will apply to a total of {{affected}} endpoints."
7503,created,"Forensics Profile Created",unknown,"The management user {{username}} created the {{profile_name}} Forensics Profile in scope {{full_scope_details_path}}."
7504,modified,"Forensics Profile Modified",unknown,"The management user {{username}} edited the {{profile_name}} Forensics Profile in scope {{full_scope_details_path}}."
7505,deleted,"Forensics Profile Deleted",unknown,"The management user {{username}} deleted the {{profile_name}} Forensics Profile in scope {{full_scope_details_path}}."
76,modified,"Anti Tampering Modified",mgmt,"Anti tampering setting was changed to {{ ""on"" if new_value else ""off"" }} for {% if group_name %}{{ group_name }} at {{ site_name }} {% elif site_name %} {{ site_name }} {% else %} all Sites {% endif %}."
7600,unknown,"User Submitted Script Execution For Review",user,"The management user {{ username }} submitted a script to run on {{ affected }} endpoints that reached the threshold criteria for scope: {{ full_scope_details_path }}. Waiting to be approved."
7601,unknown,"User Approved Script Execution",user,"The management user {{ username }} approved a run script task initiated by {{ initiator_username }} in scope {{ full_scope_details_path }}."
7602,modified,"User Edited Run Script Guardrails",user,"The management user {{ username }} edited guardrails in scope {{ full_scope_details_path }}."
7603,created,"User Enabled Run Script Guardrails",user,"The management user {{ username }} enabled guardrails in scope {{ full_scope_details_path }}."
7604,modified,"User Disabled Run Script Guardrails",user,"The management user {{ username }} disabled guardrails in scope {{ full_scope_details_path }}."
77,modified,"Agent UI Settings Modified",mgmt,"Agent UI setting was changed for {% if group_name %}{{ group_name }} at {{ site_name }} {% elif site_name %} {{ site_name }} {% else %} all Sites {% endif %}."
7700,unknown,"User Added New AD configuration",user,"The management user [{{ username }}] added an AD configuration for Domain [{{ domainName }}]."
7701,modified,"User Updated AD configuration",user,"The management user [{{ username }}] updated an AD configuration for domain [{{ domainName }}]."
7702,deleted,"User Deleted AD configuration",user,"The management user [{{ username }}] deleted the AD configuration of domain [{{ domainName }}]"
78,modified,"Snapshots Settings Modified",mgmt,"Snapshots setting was changed to {{ ""on"" if new_value else ""off"" }} for {% if group_name %}{{ group_name }} at {{ site_name }} {% elif site_name %} {{ site_name }} {% else %} all Sites {% endif %}."
7800,unknown,"User Deployed AD Connector",user,"The management user [{{ username }}] deployed the AD Connector on host [{{ hostname }} - {{ ipAddress }}]."
7801,modified,"User Updated AD Connector",user,"The management user [{{ username }}] started migration of the AD Connector host from [{{ prevHostname }} - {{ prevIpAddress }}] to [{{ hostname }} - {{ ipAddress }}]"
7802,deleted,"User Deleted AD Connector",user,"The management user [{{ username }}] deleted the AD Connector host from [{{ hostname }}]."
7830,stopped,"Ranger AD Scan Completed",scan,"Ranger AD scan completed on [{{ domainName }}] - {{ totalVulnerableCount }} Vulnerable Exposures were detected ({{ newVulnerableCount }} new Exposures)."
7831,unknown,"AD Assessment Detected New Exposure",unknown,"New Exposure Detected on [{{ domainName }}] - [{{ exposureName }}] is affecting {{ affectedObjectCount }} Objects."
7853,unknown,"User Triggered AD Exposure Assessment",user,"[{{ username }}] triggered AD scan for Exposure [{{ exposureName }}] on [{{ domainName }}]."
7854,unknown,"User Exported AD Exposure",user,"[{{ username }}] exported assessment for Exposure [{{ exposureName }}] on [{{ domainName }}]."
7855,unknown,"User Performed AD Exposure Skip",user,"[{{ username }}] set Exposure [{{ exposureName }}] on [{{ domainName }}] to Skip."
7856,unknown,"User Performed AD Exposure Unskip",user,"[{{ username }}] set Exposure [{{ exposureName }}] on [{{ domainName }}] to Unskip."
7857,unknown,"User Performed AD Exposure Ack",user,"[{{ username }}] set Exposure [{{ exposureName }}] on [{{ domainName }}] to Acknowledged."
7858,unknown,"User Performed AD Exposure Unack",user,"[{{ username }}] set Exposure [{{ exposureName }}] on [{{ domainName }}] to Unacknowledged."
7860,created,"User Created Mitigation Task",user,"[{{ username }}] generated a Mitigation script for {{ exposureCount }} exposures on [{{ domainNames }}] domain."
7861,created,"User Created Mitigation Task",user,"[{{ username }}] generated a Mitigation script for [{{ exposureName }}] exposure on [{{ domainNames }}] domain."
7862,unknown,"User Downloaded Mitigation Script",user,"[{{ username }}] downloaded a Mitigation script, to fix {{ exposureCount }} Exposures that are effecting {{ objectCount }} Objects."
7863,unknown,"User Ran Mitigation Script",user,"[{{ username }}] ran a Mitigation script, to fix {{ exposureCount }} Exposures that are effecting {{ objectCount }} Objects."
7870,modified,"User updated application status",user,"User {{ username }} updated the Status of {{application_name }} to {{ new_status }}, affecting {{ num_of_endpoints }} Endpoints."
7871,modified,"User updated application with spesific version status",user,"User {{ username }} updated the Status of {{ application_name }} - {{ application_version }} to {{ new_status }}, affecting {{ num_of_endpoints }} Endpoints."
7872,modified,"User updated application status",user,"User {{ username }} updated the Status of {{ application_name }} - {{ application_version }} on {{ endpoint_name }} to {{ new_status }}."
79,modified,"Agent Logging Modified",mgmt,"Agent logging setting was changed to {{ ""on"" if new_value else ""off"" }} for {% if group_name %}{{ group_name }} at {{ site_name }} {% elif site_name %} {{ site_name }} {% else %} all Sites {% endif %}."
7900,modified,"Vigilance Response Policy Modified",policy,"The management user {{ user_email }} modified Vigilance response policy for {% if group_name %}group {{ group_name }} at {{ site_name }}{% elif site_name %}site {{ site_name }} at {{ account_name }}{% elif account_name %}account {{ account_name }}{% else %}global{% endif %}."
7901,modified,"Vigilance Response Policy Inheritance Modified",policy,"The management user {{ user_email }} turned {% if value %}on{% else %}off{% endif %} policy inheritance of Vigilance response policy for {% if group_name %}group {{ group_name }} at {{ site_name }}{% elif site_name %}site {{ site_name }} at {{ account_name }}{% elif account_name %}account {{ account_name }}{% else %}global{% endif %}."
7902,modified,"Vigilance Escalation Contacts Modified",unknown,"The management user {{ user_email }} modified Vigilance escalation contacts for {% if group_name %}group {{ group_name }} at {{ site_name }}{% elif site_name %}site {{ site_name }} at {{ account_name }}{% elif account_name %}account {{ account_name }}{% else %}global{% endif %}."
7903,modified,"Vigilance Escalation Contacts Inheritance Modified",unknown,"The management user {{ user_email }} turned {% if value %}on{% else %}off{% endif %} policy inheritance of Vigilance escalation contacts for {% if group_name %}group {{ group_name }} at {{ site_name }}{% elif site_name %}site {{ site_name }} at {{ account_name }}{% elif account_name %}account {{ account_name }}{% else %}global{% endif %}."
8,unknown,unknown,unknown,unknown
80,modified,"Agent Uploaded Fetched Files",mgmt,"Agent {{ computer_name }} ({{ external_ip }}) successfully uploaded {{ filename }}."
8001,created,"Sign SAML Request - Enabled / Disabled",unknown,"The management user {{ username }} {{ ""enabled"" if sign_request else ""disabled"" }} the Request Signing in the SSO Integration settings for {% if scope_level == ""Global"" %}{{ scope_level }}{% else %}{{ scope_level }} {{ scope_name }}{% endif %}."
8002,unknown,"Accessing Protected Actions Configuration",unknown,"The management user {{ username }} changed the MFA setting for protected actions from {{old_setting}} to {{new_setting}} for {% if scope_level == ""Global"" %}{{ scope_level }}{% else %}{{ scope_level }} {{ scope_name }}{% endif %}."
81,modified,"User Requested Fetch Files",mgmt,"The management user {{ username }} initiated a fetch file command to the agent {{ computer_name }} ({{ external_ip }})."
82,modified,"Monitor On Execute",mgmt,"The management user {{ username }} changed On execute setting to {{ ""enabled"" if new_value else ""disabled"" }} for {% if group_name %}{{ group_name }} at {{ site_name }}{% elif site_name %} {{ site_name }}{% else %} all Sites{% endif %}."
83,modified,"Monitor On Write",mgmt,"The management user {{ username }} changed On write setting to {{ ""enabled"" if new_value else ""disabled"" }} for {% if group_name %}{{ group_name }} at {{ site_name }}{% elif site_name %} {{ site_name }}{% else %} all Sites{% endif %}."
84,modified,"Deep Visibility Settings Modified",mgmt,"Deep Visibility setting was changed to {{ ""on"" if new_value else ""off"" }} for {% if group_name %}{{ group_name }} at {{ site_name }} {% elif site_name %} {{ site_name }} {% else %} all Sites {% endif %}."
85,modified,"User Requested Fetch Threat File",mgmt,"The management user {{ username }} initiated a fetch threat file command to the agent {{ computer_name }} ({{ external_ip }})."
86,modified,"Agent Uploaded Threat File",mgmt,"Agent {{ computer_name }} ({{ external_ip }}) successfully uploaded a threat file."
87,modified,"Remote Shell Settings Modified",agent,"Enable remote shell setting was changed to {{ ""on"" if new_value else ""off"" }} for {% if group_name %}{{ group_name }} at {{ site_name }} {% elif site_name %} {{ site_name }} {% else %} all Sites {% endif %}."
88,modified,"User Remote Shell Modified",agent,"The management user {{ by_user }} {{ ""enabled"" if new_value else ""disabled"" }} Remote shell on the user {{ username }}."
89,modified,"User Requested Randomized Agent UUID",agent,"{% if system %}System{% else %}The management user {{ username }}{% endif %} commanded agents with UUID {{ uuid }} to randomize their UUID."
90,modified,"Agent Started Full Disk Scan",mgmt,"Agent {{ computer_name }} started full disk scan at {{ created_at | datetime }}."
9001,unknown,"User Added Deep Visibility Exclusion",user,"The management user {{ username }}  added / modified  {{ os_family }} Deep Visibility exclusion."
9002,deleted,"User Deleted Deep Visibility Exclusion",user,"The management user {{ username }} deleted the {{ os_family }} Deep Visibility exclusion."
91,modified,"Agent Aborted Full Disk Scan",mgmt,"Agent {{ computer_name }} aborted full disk scan at {{ created_at | datetime }}."
92,modified,"Agent Completed Full Disk Scan",mgmt,"Agent {{ computer_name }} completed full disk scan at {{ created_at | datetime }}."
93,modified,"User Reset Agent's Local Config",mgmt,"The management user {{ username }} reset agent {{ computer_name }}'s local config."
94,modified,"User Moved Agent To Another Site",mgmt,"The management user {{ username }} moved agent {{ computer_name }} to site {{ target_site_name }} at {{ target_account_name }}."
