source,                                       belong,                   eventClassification
"EnteredStandbyModeEvent",                    "MaintenanceEvents",      "MaintenanceEvents;HostEvents;Events"
"ExitMaintenanceModeEvent",                   "MaintenanceEvents",      "MaintenanceEvents;HostEvents;Events"
"ExitedStandbyModeEvent",                     "MaintenanceEvents",      "MaintenanceEvents;HostEvents;Events"
"ExitingStandbyModeEvent",                    "MaintenanceEvents",      "MaintenanceEvents;HostEvents;Events"
"HostShutdownEvent",                          "MaintenanceEvents",      "MaintenanceEvents;HostEvents;Events"
"LocalTSMEnabledEvent",                       "MaintenanceEvents",      "MaintenanceEvents;HostEvents;Events"
"RemoteTSMEnabledEvent",                      "MaintenanceEvents",      "MaintenanceEvents;HostEvents;Events"
"VmDasBeingResetEvent",                       "MaintenanceEvents",      "MaintenanceEvents;VMEvents;StorageEvents;HA/DRSEvents;HostEvents;Events"
"VmDasBeingResetWithScreenshotEvent",         "MaintenanceEvents",      "MaintenanceEvents;StorageEvents;VMEvents;HA/DRSEvents;HostEvents;Events"
"VmGuestRebootEvent",                         "MaintenanceEvents",      "MaintenanceEvents;VMEvents;Events"
"VmGuestShutdownEvent",                       "MaintenanceEvents",      "MaintenanceEvents;VMEvents;Events"
"VmGuestStandbyEvent",                        "MaintenanceEvents",      "MaintenanceEvents;VMEvents;Events"
"VmPowerOffOnIsolationEvent",                 "MaintenanceEvents",      "MaintenanceEvents;VMEvents;NetworkEvents;HA/DRSEvents;ClusterEvents;HostEvents;Events"
"VmPoweredOffEvent",                          "MaintenanceEvents",      "MaintenanceEvents;VMEvents;Events"
"VmPoweredOnEvent",                           "MaintenanceEvents",      "MaintenanceEvents;VMEvents;Events"
"VmPoweringOnWithCustomizedDVPortEvent",      "MaintenanceEvents",      "MaintenanceEvents;VMEvents;NetworkEvents;Events"
"VmResettingEvent",                           "MaintenanceEvents",      "MaintenanceEvents;VMEvents;Events"
"VmShutdownOnIsolationEvent",                 "MaintenanceEvents",      "MaintenanceEvents;VMEvents;NetworkEvents;HA/DRSEvents;ClusterEvents;HostEvents;Events"
"DasAdmissionControlEnabledEvent",            "StorageEvents",          "StorageEvents;ClusterEvents;HA/DRSEvents;Events"
"DasAgentFoundEvent",                         "StorageEvents",          "StorageEvents;ClusterEvents;HA/DRSEvents;VCEvents;HostEvents;Events"
"DasAgentUnavailableEvent",                   "StorageEvents",          "StorageEvents;ClusterEvents;NetworkEvents;HA/DRSEvents;VCEvents;HostEvents;Events"
"DasEnabledEvent",                            "StorageEvents",          "StorageEvents;ClusterEvents;Events"
"DatastoreCapacityIncreasedEvent",            "StorageEvents",          "StorageEvents;Events"
"DatastoreDiscoveredEvent",                   "StorageEvents",          "StorageEvents;VCEvents;HostEvents;Events"
"DatastoreDuplicatedEvent",                   "StorageEvents",          "StorageEvents;Events"
"DatastoreEvent",                             "StorageEvents",          "StorageEvents;Events"
"DatastoreFileCopiedEvent",                   "StorageEvents",          "StorageEvents;Events"
"DatastoreFileDeletedEvent",                  "StorageEvents",          "StorageEvents;Events"
"DatastoreFileEvent",                         "StorageEvents",          "StorageEvents;Events"
"DatastoreFileMovedEvent",                    "StorageEvents",          "StorageEvents;Events"
"DatastoreIORMReconfiguredEvent",             "StorageEvents",          "StorageEvents;Events"
"DatastorePrincipalConfigured",               "StorageEvents",          "StorageEvents;HostEvents;Events"
"DatastoreRenamedEvent",                      "StorageEvents",          "StorageEvents;Events"
"HostDasEnabledEvent",                        "StorageEvents",          "StorageEvents;HostEvents;HA/DRSEvents;Events"
"HostDasEnablingEvent",                       "StorageEvents",          "StorageEvents;HostEvents;HA/DRSEvents;Events"
"HostDasEvent",                               "StorageEvents",          "StorageEvents;HostEvents;Events"
"HostDasOkEvent",                             "StorageEvents",          "StorageEvents;HostEvents;HA/DRSEvents;Events"
"LocalDatastoreCreatedEvent",                 "StorageEvents",          "StorageEvents;Events"
"LockerMisconfiguredEvent",                   "StorageEvents",          "StorageEvents;NetworkEvents;Events"
"LockerReconfiguredEvent",                    "StorageEvents",          "StorageEvents;Events"
"NASDatastoreCreatedEvent",                   "StorageEvents",          "StorageEvents;Events"
"NoDatastoresConfiguredEvent",                "StorageEvents",          "StorageEvents;HostEvents;Events"
"NonVIWorkloadDetectedOnDatastoreEvent",      "StorageEvents",          "StorageEvents;Events"
"VMFSDatastoreCreatedEvent",                  "StorageEvents",          "StorageEvents;VMEvents;Events"
"VMFSDatastoreExpandedEvent",                 "StorageEvents",          "StorageEvents;VMEvents;Events"
"VMFSDatastoreExtendedEvent",                 "StorageEvents",          "StorageEvents;VMEvents;Events"
"VmDasUpdateOkEvent",                         "StorageEvents",          "StorageEvents;VMEvents;HA/DRSEvents;Events"
"DVPortgroupCreatedEvent",                    "NetworkEvents",          "NetworkEvents;Events"
"DVPortgroupDestroyedEvent",                  "NetworkEvents",          "NetworkEvents;Events"
"DVPortgroupEvent",                           "NetworkEvents",          "NetworkEvents;Events"
"DVPortgroupReconfiguredEvent",               "NetworkEvents",          "NetworkEvents;Events"
"DVPortgroupRenamedEvent",                    "NetworkEvents",          "NetworkEvents;Events"
"DasHostIsolatedEvent",                       "NetworkEvents",          "NetworkEvents;HostEvents;StorageEvents;ClusterEvents;HA/DRSEvents;Events"
"DvpgImportEvent",                            "NetworkEvents",          "NetworkEvents;Events"
"DvpgRestoreEvent",                           "NetworkEvents",          "NetworkEvents;Events"
"DvsCreatedEvent",                            "NetworkEvents",          "NetworkEvents;Events"
"DvsDestroyedEvent",                          "NetworkEvents",          "NetworkEvents;Events"
"DvsEvent",                                   "NetworkEvents",          "NetworkEvents;Events"
"DvsHealthStatusChangeEvent",                 "NetworkEvents",          "NetworkEvents;HostEvents;Events"
"DvsHostBackInSyncEvent",                     "NetworkEvents",          "NetworkEvents;HostEvents;Events"
"DvsHostJoinedEvent",                         "NetworkEvents",          "NetworkEvents;HostEvents;Events"
"DvsHostLeftEvent",                           "NetworkEvents",          "NetworkEvents;HostEvents;Events"
"DvsHostStatusUpdated",                       "NetworkEvents",          "NetworkEvents;HostEvents;Events"
"DvsImportEvent",                             "NetworkEvents",          "NetworkEvents;Events"
"DvsMergedEvent",                             "NetworkEvents",          "NetworkEvents;Events"
"DvsPortConnectedEvent",                      "NetworkEvents",          "NetworkEvents;Events"
"DvsPortCreatedEvent",                        "NetworkEvents",          "NetworkEvents;Events"
"DvsPortDeletedEvent",                        "NetworkEvents",          "NetworkEvents;Events"
"DvsPortDisconnectedEvent",                   "NetworkEvents",          "NetworkEvents;Events"
"DvsPortEnteredPassthruEvent",                "NetworkEvents",          "NetworkEvents;Events"
"DvsPortExitedPassthruEvent",                 "NetworkEvents",          "NetworkEvents;Events"
"DvsPortJoinPortgroupEvent",                  "NetworkEvents",          "NetworkEvents;Events"
"DvsPortLinkUpEvent",                         "NetworkEvents",          "NetworkEvents;Events"
"DvsPortReconfiguredEvent",                   "NetworkEvents",          "NetworkEvents;Events"
"DvsPortRuntimeChangeEvent",                  "NetworkEvents",          "NetworkEvents;Events"
"DvsPortVendorSpecificStateChangeEvent",      "NetworkEvents",          "NetworkEvents;Events"
"DvsReconfiguredEvent",                       "NetworkEvents",          "NetworkEvents;Events"
"DvsRenamedEvent",                            "NetworkEvents",          "NetworkEvents;Events"
"DvsRestoreEvent",                            "NetworkEvents",          "NetworkEvents;Events"
"DvsUpgradeAvailableEvent",                   "NetworkEvents",          "NetworkEvents;Events"
"DvsUpgradeInProgressEvent",                  "NetworkEvents",          "NetworkEvents;Events"
"DvsUpgradeRejectedEvent",                    "NetworkEvents",          "NetworkEvents;Events"
"DvsUpgradedEvent",                           "NetworkEvents",          "NetworkEvents;Events"
