Scope,Category Level 1,Category Level 2,Category Level 3,Category Level 4,Column Text,UOM,GHG,GHG Conversion Factor
Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Energy - Net CV,kWh (Net CV),kg N2O,0.00210
Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Volume,litres,kg CO2e,2.67620
Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Volume,litres,kg CH4,0.00060
Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Volume,litres,kg CO2,2.65464
Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Volume,litres,kg N2O,0.02096
Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Tonnes,tonnes,kg CO2e,"3,190.03148"
Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Tonnes,tonnes,kg CH4,0.71415
Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Tonnes,tonnes,kg CO2,"3,164.33333"
Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,Tonnes,tonnes,kg N2O,24.98400
Scope 1,Fuels,Liquid fuels,Fuel oil,,Energy - Gross CV,kWh (Gross CV),kg CO2e,0.26782
Scope 1,Fuels,Liquid fuels,Fuel oil,,Energy - Gross CV,kWh (Gross CV),kg CH4,0.00035
Scope 1,Fuels,Liquid fuels,Fuel oil,,Energy - Gross CV,kWh (Gross CV),kg CO2,0.26687
Scope 1,Fuels,Liquid fuels,Fuel oil,,Energy - Gross CV,kWh (Gross CV),kg N2O,0.00061
Scope 1,Fuels,Liquid fuels,Fuel oil,,Energy - Net CV,kWh (Net CV),kg CO2e,0.28492
Scope 1,Fuels,Liquid fuels,Fuel oil,,Energy - Net CV,kWh (Net CV),kg CH4,0.00037
Scope 1,Fuels,Liquid fuels,Fuel oil,,Energy - Net CV,kWh (Net CV),kg CO2,0.28390
Scope 1,Fuels,Liquid fuels,Fuel oil,,Energy - Net CV,kWh (Net CV),kg N2O,0.00064
Scope 1,Fuels,Liquid fuels,Fuel oil,,Volume,litres,kg CO2e,3.18058
Scope 1,Fuels,Liquid fuels,Fuel oil,,Volume,litres,kg CH4,0.00417
Scope 1,Fuels,Liquid fuels,Fuel oil,,Volume,litres,kg CO2,3.16922
Scope 1,Fuels,Liquid fuels,Fuel oil,,Volume,litres,kg N2O,0.00719
Scope 1,Fuels,Liquid fuels,Fuel oil,,Tonnes,tonnes,kg CO2e,"3,225.10794"
Scope 1,Fuels,Liquid fuels,Fuel oil,,Tonnes,tonnes,kg CH4,4.22807
Scope 1,Fuels,Liquid fuels,Fuel oil,,Tonnes,tonnes,kg CO2,"3,213.58867"
Scope 1,Fuels,Liquid fuels,Fuel oil,,Tonnes,tonnes,kg N2O,7.29120
Scope 1,Fuels,Liquid fuels,Gas oil,,Energy - Gross CV,kWh (Gross CV),kg CO2e,0.27631
Scope 1,Fuels,Liquid fuels,Gas oil,,Energy - Gross CV,kWh (Gross CV),kg CH4,0.00028
Scope 1,Fuels,Liquid fuels,Gas oil,,Energy - Gross CV,kWh (Gross CV),kg CO2,0.25359
Scope 1,Fuels,Liquid fuels,Gas oil,,Energy - Gross CV,kWh (Gross CV),kg N2O,0.02244
Scope 1,Fuels,Liquid fuels,Gas oil,,Energy - Net CV,kWh (Net CV),kg CO2e,0.29395
Scope 1,Fuels,Liquid fuels,Gas oil,,Energy - Net CV,kWh (Net CV),kg CH4,0.00030
Scope 1,Fuels,Liquid fuels,Gas oil,,Energy - Net CV,kWh (Net CV),kg CO2,0.26978
Scope 1,Fuels,Liquid fuels,Gas oil,,Energy - Net CV,kWh (Net CV),kg N2O,0.02387
Scope 1,Fuels,Liquid fuels,Gas oil,,Volume,litres,kg CO2e,2.96572
Scope 1,Fuels,Liquid fuels,Gas oil,,Volume,litres,kg CH4,0.00304
Scope 1,Fuels,Liquid fuels,Gas oil,,Volume,litres,kg CO2,2.72184
Scope 1,Fuels,Liquid fuels,Gas oil,,Volume,litres,kg N2O,0.24083
Scope 1,Fuels,Liquid fuels,Gas oil,,Tonnes,tonnes,kg CO2e,"3,475.82123"
Scope 1,Fuels,Liquid fuels,Gas oil,,Tonnes,tonnes,kg CH4,3.56661
Scope 1,Fuels,Liquid fuels,Gas oil,,Tonnes,tonnes,kg CO2,"3,190.00000"
Scope 1,Fuels,Liquid fuels,Gas oil,,Tonnes,tonnes,kg N2O,282.25462
Scope 1,Fuels,Liquid fuels,Lubricants,,Energy - Gross CV,kWh (Gross CV),kg CO2e,0.26424
Scope 1,Fuels,Liquid fuels,Lubricants,,Energy - Gross CV,kWh (Gross CV),kg CH4,0.00027
Scope 1,Fuels,Liquid fuels,Lubricants,,Energy - Gross CV,kWh (Gross CV),kg CO2,0.26334
Scope 1,Fuels,Liquid fuels,Lubricants,,Energy - Gross CV,kWh (Gross CV),kg N2O,0.00063
Scope 1,Fuels,Liquid fuels,Lubricants,,Energy - Net CV,kWh (Net CV),kg CO2e,0.28111
Scope 1,Fuels,Liquid fuels,Lubricants,,Energy - Net CV,kWh (Net CV),kg CH4,0.00028
Scope 1,Fuels,Liquid fuels,Lubricants,,Energy - Net CV,kWh (Net CV),kg CO2,0.28015
