source,metric_name,type,description
DSNDQBST,QBSTIMW              ,OTHR,Number of immed (synchronous) write i/os           
DSNDQBST,QBSTSEQ              ,OTHR,Number of seq prefetch requested           
DSNDQBST,QBSTSPP              ,OTHR,Number of page read due to seq prefetch           
DSNDQBST,QBSTSPD              ,OTHR,Number of seq prefetch disabled due to unavailable buffer resources           
DSNDQBST,QBSTREE              ,OTHR,Number of seq prefetch disabled due to unavailable read engine           
DSNDQBST,QBSTDWT              ,OTHR,Number of times that deferred write threshold is reached           
DSNDQBST,QBSTDMC              ,OTHR,Number of times that the data manager buffer critical threshold has been reached           
DSNDQBST,QBSTMIG              ,OTHR,Number of times that migrated data sets encountered           
DSNDQBST,QBSTRTO              ,OTHR,Number of recall timeouts           
DSNDQBST,QBSTPIO              ,OTHR,Number of seq prefetch (asynchronous) read i/os           
DSNDQBST,QBSTWKPD             ,OTHR,Number of wk prefetch aborted due to a zero prefetch quantity          
DSNDQBST,QBSTMAX              ,OTHR,Number of wk file cannot be created due to insufficient buffer resources           
DSNDQBST,QBSTWFM              ,OTHR,Maximum workfiles ever been allocated during the sort/merge processing           
DSNDQBST,QBSTWDRP             ,OTHR,Number of pages for which destructive read was requested          
DSNDQBST,QBSTWBVQ             ,OTHR,Number of pages dequeued from data set deferred write queue for destructive read request          
DSNDQBST,QBSTWFR              ,OTHR,Count of requests to query for worfiles in the process of sort/merge           
DSNDQBST,QBSTWFT              ,OTHR,Sum of workfiles that have been requested during the sort/merge processing           
DSNDQBST,QBSTWFD              ,OTHR,Sum of workfiles that have been denied during the sort/merge processing           
DSNDQBST,QBSTWFF              ,OTHR,Number of times sort/merge could not be efficiently performed due to the buffer shortage           
DSNDQBST,QBSTLPF              ,OTHR,Number of list prefetch requested concurrent prefetch against same pageset           
DSNDQBST,QBSTDPF              ,OTHR,Number of dynamic prefetch requested 
DSNDQBST,QBSTVPA              ,OTHR,Number of successful vpool exp/contration
DSNDQBST,QBSTPCO              ,OTHR,Number of pages written for castout i/o operations</dd>
DSNDQBST,QBSTCIO              ,OTHR,Number of castout i/o operations</dd>           
DSNDQBST,QBSTVPL              ,OTHR,Number of buffers allocated for virtual pool           
DSNDQBST,QBSTDPP              ,OTHR,Number of page read due to dynamic prefetch           
DSNDQBST,QBSTLPP              ,OTHR,Number of page read due to list prefetch
DSNDQBST,QBSTDIO              ,OTHR,Number of dynamic prefetch (asynchronous) read i/os           
DSNDQBST,QBSTLIO              ,OTHR,Number of list prefetch (asynchronous) read i/o           
DSNDQBST,QBSTSGT              ,OTHR,Number of get page issued by sequential request           
DSNDQBST,QBSTSIO              ,OTHR,Number of sync. read i/o operations performed by sequential requests           
DSNDQBST,QBSTNGT              ,OTHR,Number of unsuccessful getpage due to conditional getpage request           
DSNDQBST,QBSTXIS              ,OTHR,Highest prefetch i/o streams have ever been allocated           
DSNDQBST,QBSTJIS              ,OTHR,Number of prefetch i/o streams have been denied due to the shortage of bufferpool for example if 100 prefetch i/o streams are requested and only 80 are granted then 20 will be added to this counter.           
DSNDQBST,QBSTPQO              ,OTHR,Total Number of negotiations between bm and RDS runtime to support parallelism           
DSNDQBST,QBSTPQF              ,OTHR,Number of times parallelism has been down graded due to the shortage of bufferpool           
DSNDQBST,QBSTPL1              ,OTHR,Total Number of occurrences when prefetch qty decreased from normal to half of normal. normal is based on the buffer pool size           
DSNDQBST,QBSTPL2              ,OTHR,Total Number of occurrences when prefetch qty decreased from half of normal to one quarter of normal.normal is based on the buffer pool size.           
DSNDQBST,QBSTNSG              ,OTHR,Number of conditional sequential getpage requests which failed because the page was not in the buffer pool.           
DSNDQBST,QBSTLPL              ,OTHR,Number of times one or more pages were added to lpl           
DSNDQBST,QBSTSMIN             ,OTHR,Min Number of buffers on SLRU queue low water mark within an interval(SLRU=Sequential Least Recently Used queue)          
DSNDQBST,QBSTSMAX             ,OTHR,Max Number of buffers on SLRU queue high water mark within an interval(SLRU=Sequential Least Recently Used queue)          
DSNDQBST,QBSTHST              ,OTHR,Number of times when len of SLRU = VPSEQT           
DSNDQBST,QBSTRHS              ,OTHR,Number of times random getpage buffer hit found the buffer on SLRU (Sequential Least Recently Used queue) 
DSNDQDST,QDSTQDBT             ,DBAT,Number of times that a DBAT or Connection was queued due to having reached the ZPARM Maximum for Active Remote Threads(MAXDBAT).Also see QDSTNQR2.
DSNDQDST,QDSTCSTR             ,OTHR,Number of Cold Start Connections with all remote locations (Two-phase Commit Protocol only)
DSNDQDST,QDSTWSTR             ,OTHR,Number of Warm Start Connections with all remote locations (Two-phase Commit Protocol only)
DSNDQDST,QDSTRSAT             ,OTHR,Number of Resynchronization Connections attempted with all remote locations (Two-phase Commit Protocol only)
DSNDQDST,QDSTRSSU             ,OTHR,Number of Resynchronization Connections that succeeded with all remote locations (Two-phase Commit Protocol only)
DSNDQDST,QDSTQCRT             ,OTHR,Number of Connections that were rejected due to having reached the ZPARM Limit for Maximum remote Connections (CONDBAT)
DSNDQDST,QDSTQCIT             ,DBAT,Current Number of TYPE 1 Inactive DBATs
DSNDQDST,QDSTQMIT             ,DBAT,Maximum number of TYPE 1 Inactive DBATs that existed (High Water Mark)
DSNDQDST,QDSTCNAT             ,DBAT,Current Number of Active and Disconnected (Pooled) DBATs
