_time,Committed,Available,host,tmp_epochtime,index
,,,EC2AMAZ-3G1B1SF,1625158200,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625158230,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625158260,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625158290,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625158320,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625158350,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625158380,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625158410,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625158440,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625158470,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625158500,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625158530,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625158560,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625158590,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625158620,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625158650,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625158680,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625158710,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625158740,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625158770,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625158800,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625158830,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625158860,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625158890,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625158920,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625158950,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625158980,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625159010,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625159040,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625159070,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625159100,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625159130,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625159160,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625159190,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625159220,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625159250,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625159280,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625159310,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625159340,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625159370,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625159400,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625159430,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625159460,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625159490,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625159520,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625159550,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625159580,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625159610,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625159640,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625159670,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625159700,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625159730,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625159760,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625159790,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625159820,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625159850,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625159880,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625159910,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625159940,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625159970,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625160000,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625160030,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625160060,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625160090,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625160120,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625160150,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625160180,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625160210,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625160240,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625160270,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625160300,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625160330,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625160360,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625160390,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625160420,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625160450,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625160480,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625160510,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625160540,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625160570,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625160600,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625160630,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625160660,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625160690,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625160720,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625160750,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625160780,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625160810,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625160840,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625160870,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625160900,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625160930,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625160960,itsi_im_metrics
,,,EC2AMAZ-3G1B1SF,1625160990,itsi_im_metrics
