Technique_ID,Technique_Name,Tactics,Platform,Permissions_Required,Effective_Permissions,Data_Sources,CAPEC_ID,Contributors,Requires_Network,Version,Description,Mitigations
T1033,System Owner/User Discovery,Discovery,"Linux, macOS, Windows","User, Administrator",,"File monitoring, Process monitoring, Process command-line parameters",CAPEC-577,,,1.1,"<div class=""col-md-8 description-body"">
                                <h3>Windows</h3><p>Adversaries may attempt to identify the primary user, currently logged in user, set of users that commonly uses a system, or whether a user is actively using the system. They may do this, for example, by retrieving account usernames or by using Credential Dumping. The information may be collected in a number of different ways using other Discovery techniques, because user and username details are prevalent throughout a system and include running process ownership, file/directory ownership, session information, and system logs. Adversaries may use the information from System Owner/User Discovery during automated discovery to shape follow-on behaviors, including whether or not the adversary fully infects the target and/or attempts specific actions.</p><h3>Mac</h3><p>On Mac, the currently logged in user can be identified with <code>users</code>,<code>w</code>, and <code>who</code>.</p><h3>Linux</h3><p>On Linux, the currently logged in user can be identified with <code>w</code> and <code>who</code>.</p>
                            </div>",:=This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
T1007,System Service Discovery,Discovery,Windows,"User, Administrator, SYSTEM",,"Process monitoring, Process command-line parameters",CAPEC-574,,,1.1,"<div class=""col-md-8 description-body"">
                                <p>Adversaries may try to get information about registered services. Commands that may obtain information about services using operating system utilities are ""sc,"" ""tasklist /svc"" using Tasklist, and ""net start"" using Net, but adversaries may also use other tools as well. Adversaries may use the information from System Service Discovery during automated discovery to shape follow-on behaviors, including whether or not the adversary fully infects the target and/or attempts specific actions.</p>
                            </div>",:=This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
T1529,System Shutdown/Reboot,Impact,"Linux, macOS, Windows","User, Administrator, root, SYSTEM",,"Windows event logs, Process command-line parameters, Process monitoring",,,,1,"<div class=""col-md-8 description-body"">
                                <p>Adversaries may shutdown/reboot systems to interrupt access to, or aid in the destruction of, those systems. Operating systems may contain commands to initiate a shutdown/reboot of a machine. In some cases, these commands may also be used to initiate a shutdown/reboot of a remote computer.<span onclick=""scrollToRef('scite-1')"" id=""scite-ref-1-a"" class=""scite-citeref-number"" data-reference=""Microsoft Shutdown Oct 2017""></span> Shutting down or rebooting systems may disrupt access to computer resources for legitimate users.</p><p>Adversaries may attempt to shutdown/reboot a system after impacting it in other ways, such as Disk Structure Wipe or Inhibit System Recovery, to hasten the intended effects on system availability.<span onclick=""scrollToRef('scite-2')"" id=""scite-ref-2-a"" class=""scite-citeref-number"" data-reference=""Talos Nyetya June 2017""></span><span onclick=""scrollToRef('scite-3')"" id=""scite-ref-3-a"" class=""scite-citeref-number"" data-reference=""Talos Olympic Destroyer 2018""></span></p>
                            </div>",:=This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
T1124,System Time Discovery,Discovery,Windows,User,,"Process monitoring, Process command-line parameters, API monitoring",CAPEC-295,,,1,"<div class=""col-md-8 description-body"">
                                <p>The system time is set and stored by the Windows Time Service within a domain to maintain time synchronization between systems and services in an enterprise network. <span onclick=""scrollToRef('scite-1')"" id=""scite-ref-1-a"" class=""scite-citeref-number"" data-reference=""MSDN System Time""></span> <span onclick=""scrollToRef('scite-2')"" id=""scite-ref-2-a"" class=""scite-citeref-number"" data-reference=""Technet Windows Time Service""></span></p><p>An adversary may gather the system time and/or time zone from a local or remote system. This information may be gathered in a number of ways, such as with Net on Windows by performing <code>net time \hostname</code> to gather the system time on a remote system. The victim's time zone may also be inferred from the current system time or gathered by using <code>w32tm /tz</code>. <span onclick=""scrollToRef('scite-2')"" id=""scite-ref-2-a"" class=""scite-citeref-number"" data-reference=""Technet Windows Time Service""></span> The information could be useful for performing other techniques, such as executing a file with a Scheduled Task <span onclick=""scrollToRef('scite-3')"" id=""scite-ref-3-a"" class=""scite-citeref-number"" data-reference=""RSA EU12 They're Inside""></span>, or to discover locality information based on time zone to assist in victim targeting.</p>
                            </div>",:=This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
T1501,Systemd Service,Persistence,Linux,"root, User",,"Process command-line parameters, Process monitoring, File monitoring",,"Tony Lambert, Red Canary",,1,"<div class=""col-md-8 description-body"">
                                <p>Systemd services can be used to establish persistence on a Linux system. The systemd service manager is commonly used for managing background daemon processes (also known as services) and other system resources.<span onclick=""scrollToRef('scite-1')"" id=""scite-ref-1-a"" class=""scite-citeref-number"" data-reference=""Linux man-pages: systemd January 2014""></span><span onclick=""scrollToRef('scite-2')"" id=""scite-ref-2-a"" class=""scite-citeref-number"" data-reference=""Freedesktop.org Linux systemd 29SEP2018""></span> Systemd is the default initialization (init) system on many Linux distributions starting with Debian 8, Ubuntu 15.04, CentOS 7, RHEL 7, Fedora 15, and replaces legacy init systems including SysVinit and Upstart while remaining backwards compatible with the aforementioned init systems.</p><p>Systemd utilizes configuration files known as service units to control how services boot and under what conditions. By default, these unit files are stored in the <code>/etc/systemd/system</code> and <code>/usr/lib/systemd/system</code> directories and have the file extension <code>.service</code>. Each service unit file may contain numerous directives that can execute system commands. </p><ul><li>ExecStart, ExecStartPre, and ExecStartPost directives cover execution of commands when a services is started manually by 'systemctl' or on system start if the service is set to automatically start. </li><li>ExecReload directive covers when a service restarts. </li><li>ExecStop and ExecStopPost directives cover when a service is stopped or manually by 'systemctl'.</li></ul><p>Adversaries have used systemd functionality to establish persistent access to victim systems by creating and/or modifying service unit files that cause systemd to execute malicious commands at recurring intervals, such as at system boot.<span onclick=""scrollToRef('scite-3')"" id=""scite-ref-3-a"" class=""scite-citeref-number"" data-reference=""Anomali Rocke March 2019""></span><span onclick=""scrollToRef('scite-4')"" id=""scite-ref-4-a"" class=""scite-citeref-number"" data-reference=""gist Arch package compromise 10JUL2018""></span><span onclick=""scrollToRef('scite-5')"" id=""scite-ref-5-a"" class=""scite-citeref-number"" data-reference=""Arch Linux Package Systemd Compromise BleepingComputer 10JUL2018""></span><span onclick=""scrollToRef('scite-6')"" id=""scite-ref-6-a"" class=""scite-citeref-number"" data-reference=""acroread package compromised Arch Linux Mail 8JUL2018""></span></p><p>While adversaries typically require root privileges to create/modify service unit files in the <code>/etc/systemd/system</code> and <code>/usr/lib/systemd/system</code> directories, low privilege users can create/modify service unit files in directories such as <code>~/.config/systemd/user/</code> to achieve user-level persistence.<span onclick=""scrollToRef('scite-7')"" id=""scite-ref-7-a"" class=""scite-citeref-number"" data-reference=""Rapid7 Service Persistence 22JUNE2016""></span></p>
                            </div>",Limit Software Installation:=Restrict software installation to trusted repositories only and be cautious of orphaned software packages.||Privileged Account Management:=The creation and modification of systemd service unit files is generally reserved for administrators such as the Linux root user and other users with superuser privileges.||Restrict File and Directory Permissions:=Restrict read/write access to systemd unit files to only select privileged users who have a legitimate need to manage system services.||User Account Management:=Limit user access to system utilities such as 'systemctl' to only users who have a legitimate need.
T1080,Taint Shared Content,Lateral Movement,Windows,User,,"File monitoring, Process monitoring",CAPEC-562,"Michal Dida, ESET; David Routin",,1.1,"<div class=""col-md-8 description-body"">
                                <p>Content stored on network drives or in other shared locations may be tainted by adding malicious programs, scripts, or exploit code to otherwise valid files. Once a user opens the shared tainted content, the malicious portion can be executed to run the adversary's code on a remote system. Adversaries may use tainted shared content to move laterally.</p><p>A directory share pivot is a variation on this technique that uses several other techniques to propagate malware when users access a shared network directory. It uses Shortcut Modification of directory .LNK files that use Masquerading to look like the real directories, which are hidden through Hidden Files and Directories. The malicious .LNK-based directories have an embedded command that executes the hidden malware file in the directory and then opens the real intended directory so that the user's expected action still occurs. When used with frequently used network directories, the technique may result in frequent reinfections and broad access to systems and potentially to new and higher privileged accounts. <span onclick=""scrollToRef('scite-1')"" id=""scite-ref-1-a"" class=""scite-citeref-number"" data-reference=""Retwin Directory Share Pivot""></span></p><p>Adversaries may also compromise shared network directories through binary infections by appending or prepending its code to the healthy binary on the shared network directory. The malware may modify the original entry point (OEP) of the healthy binary to ensure that it is executed before the legitimate code. The infection could continue to spread via the newly infected file when it is executed by a remote system. These infections may target both binary and non-binary formats that end with extensions including, but not limited to, .EXE, .DLL, .SCR, .BAT, and/or .VBS.</p>
                            </div>","Execution Prevention:=Identify potentially malicious software that may be used to taint content or may result from it and audit and/or block the unknown programs by using whitelisting tools, like AppLocker, or Software Restriction Policies where appropriate.||Exploit Protection:=Use utilities that detect or mitigate common features used in exploitation, such as the Microsoft Enhanced Mitigation Experience Toolkit (EMET).||Restrict File and Directory Permissions:=Protect shared folders by minimizing users who have write access."
T1221,Template Injection,Defense Evasion,Windows,User,,"Anti-virus, Email gateway, Network intrusion detection system, Web logs",,"Patrick Campbell, @pjcampbe11",,1.1,"<div class=""col-md-8 description-body"">
                                <p>Microsoft&#8217;s Open Office XML (OOXML) specification defines an XML-based format for Office documents (.docx, xlsx, .pptx) to replace older binary formats (.doc, .xls, .ppt). OOXML files are packed together ZIP archives compromised of various XML files, referred to as parts, containing properties that collectively define how a document is rendered. <span onclick=""scrollToRef('scite-1')"" id=""scite-ref-1-a"" class=""scite-citeref-number"" data-reference=""Microsoft Open XML July 2017""></span></p><p>Properties within parts may reference shared public resources accessed via online URLs. For example, template properties reference a file, serving as a pre-formatted document blueprint, that is fetched when the document is loaded.</p><p>Adversaries may abuse this technology to initially conceal malicious code to be executed via documents (i.e. Scripting). Template references injected into a document may enable malicious payloads to be fetched and executed when the document is loaded. <span onclick=""scrollToRef('scite-2')"" id=""scite-ref-2-a"" class=""scite-citeref-number"" data-reference=""SANS Brian Wiltse Template Injection""></span> These documents can be delivered via other techniques such as Spearphishing Attachment and/or Taint Shared Content and may evade static detections since no typical indicators (VBA macro, script, etc.) are present until after the malicious payload is fetched. <span onclick=""scrollToRef('scite-3')"" id=""scite-ref-3-a"" class=""scite-citeref-number"" data-reference=""Redxorblue Remote Template Injection""></span> Examples have been seen in the wild where template injection was used to load malicious code containing an exploit. <span onclick=""scrollToRef('scite-4')"" id=""scite-ref-4-a"" class=""scite-citeref-number"" data-reference=""MalwareBytes Template Injection OCT 2017""></span></p><p>This technique may also enable Forced Authentication by injecting a SMB/HTTPS (or other credential prompting) URL and triggering an authentication attempt. <span onclick=""scrollToRef('scite-5')"" id=""scite-ref-5-a"" class=""scite-citeref-number"" data-reference=""Anomali Template Injection MAR 2018""></span> <span onclick=""scrollToRef('scite-6')"" id=""scite-ref-6-a"" class=""scite-citeref-number"" data-reference=""Talos Template Injection July 2017""></span> <span onclick=""scrollToRef('scite-7')"" id=""scite-ref-7-a"" class=""scite-citeref-number"" data-reference=""ryhanson phishery SEPT 2016""></span></p>
                            </div>","Antivirus/Antimalware:=Network/Host intrusion prevention systems, antivirus, and detonation chambers can be employed to prevent documents from fetching and/or executing malicious payloads.||Disable or Remove Feature or Program:=Consider disabling Microsoft Office macros/active content to prevent the execution of malicious payloads in documents, though this setting may not mitigate the Forced Authentication use for this technique.||Network Intrusion Prevention:=Network/Host intrusion prevention systems, antivirus, and detonation chambers can be employed to prevent documents from fetching and/or executing malicious payloads.||User Training:=Train users to identify social engineering techniques and spearphishing emails."
T1072,Third-party Software,"Execution, Lateral Movement","Linux, macOS, Windows","User, Administrator, SYSTEM",,"File monitoring, Third-party application logs, Windows Registry, Process monitoring, Process use of network, Binary file metadata",,"Shane Tully, @securitygypsy",,1.1,"<div class=""col-md-8 description-body"">
                                <p>Third-party applications and software deployment systems may be in use in the network environment for administration purposes (e.g., SCCM, VNC, HBSS, Altiris, etc.). If an adversary gains access to these systems, then they may be able to execute code.</p><p>Adversaries may gain access to and use third-party systems installed within an enterprise network, such as administration, monitoring, and deployment systems as well as third-party gateways and jump servers used for managing other systems. Access to a third-party network-wide or enterprise-wide software system may enable an adversary to have remote code execution on all systems that are connected to such a system. The access may be used to laterally move to other systems, gather information, or cause a specific effect, such as wiping the hard drives on all endpoints.</p><p>The permissions required for this action vary by system configuration; local credentials may be sufficient with direct access to the third-party system, or specific domain credentials may be required. However, the system may require an administrative account to log in or to perform it's intended purpose.</p>
                            </div>","Active Directory Configuration:=Ensure proper system and access isolation for critical network systems through use of group policy.||Multi-factor Authentication:=Ensure proper system and access isolation for critical network systems through use of multi-factor authentication.||Network Segmentation:=Ensure proper system isolation for critical network systems through use of firewalls.||Password Policies:=Verify that account credentials that may be used to access deployment systems are unique and not used throughout the enterprise network.||Privileged Account Management:=Grant access to application deployment systems only to a limited number of authorized administrators.||Remote Data Storage:=If the application deployment system can be configured to deploy only signed binaries, then ensure that the trusted signing certificates are not co-located with the application deployment system and are instead located on a system that cannot be accessed remotely or to which remote access is tightly controlled.||Update Software:=Patch deployment systems regularly to prevent potential remote access through Exploitation for Privilege Escalation.||User Account Management:=Ensure that any accounts used by third-party providers to access these systems are traceable to the third-party and are not used throughout the network or used by other third-party providers in the same environment. Ensure there are regular reviews of accounts provisioned to these systems to verify continued business need, and ensure there is governance to trace de-provisioning of access that is no longer required. Ensure proper system and access isolation for critical network systems through use of account privilege separation.||User Training:=Have a strict approval policy for use of deployment systems."
T1209,Time Providers,Persistence,Windows,"Administrator, SYSTEM",,"API monitoring, Binary file metadata, DLL monitoring, File monitoring, Loaded DLLs, Process monitoring",,"Scott Lundgren, @5twenty9, Carbon Black",,1,"<div class=""col-md-8 description-body"">
                                <p>The Windows Time service (W32Time) enables time synchronization across and within domains. <span onclick=""scrollToRef('scite-1')"" id=""scite-ref-1-a"" class=""scite-citeref-number"" data-reference=""Microsoft W32Time Feb 2018""></span> W32Time time providers are responsible for retrieving time stamps from hardware/network resources and outputting these values to other network clients. <span onclick=""scrollToRef('scite-2')"" id=""scite-ref-2-a"" class=""scite-citeref-number"" data-reference=""Microsoft TimeProvider""></span></p><p>Time providers are implemented as dynamic-link libraries (DLLs) that are registered in the subkeys of  <code>HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\W32Time\TimeProviders\</code>. <span onclick=""scrollToRef('scite-2')"" id=""scite-ref-2-a"" class=""scite-citeref-number"" data-reference=""Microsoft TimeProvider""></span> The time provider manager, directed by the service control manager, loads and starts time providers listed and enabled under this key at system startup and/or whenever parameters are changed. <span onclick=""scrollToRef('scite-2')"" id=""scite-ref-2-a"" class=""scite-citeref-number"" data-reference=""Microsoft TimeProvider""></span></p><p>Adversaries may abuse this architecture to establish Persistence, specifically by registering and enabling a malicious DLL as a time provider. Administrator privileges are required for time provider registration, though execution will run in context of the Local Service account. <span onclick=""scrollToRef('scite-3')"" id=""scite-ref-3-a"" class=""scite-citeref-number"" data-reference=""Github W32Time Oct 2017""></span></p>
                            </div>",Restrict File and Directory Permissions:=Consider using Group Policy to configure and block additions/modifications to W32Time DLLs.||Restrict Registry Permissions:=Consider using Group Policy to configure and block modifications to W32Time parameters in the Registry.
T1099,Timestomp,Defense Evasion,"Linux, Windows, macOS","User, Administrator, SYSTEM",,"File monitoring, Process monitoring, Process command-line parameters",,"Romain Dumont, ESET",,1.1,"<div class=""col-md-8 description-body"">
                                <p>Timestomping is a technique that modifies the timestamps of a file (the modify, access, create, and change times), often to mimic files that are in the same folder. This is done, for example, on files that have been modified or created by the adversary so that they do not appear conspicuous to forensic investigators or file analysis tools. Timestomping may be used along with file name Masquerading to hide malware and tools. <span onclick=""scrollToRef('scite-1')"" id=""scite-ref-1-a"" class=""scite-citeref-number"" data-reference=""WindowsIR Anti-Forensic Techniques""></span></p>
                            </div>",:=This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
T1537,Transfer Data to Cloud Account,Exfiltration,"Azure, AWS, GCP",User,,"Stackdriver logs, Azure activity logs, AWS CloudTrail logs",,Praetorian,Yes,1,"<div class=""col-md-8 description-body"">
                                <p>An adversary may exfiltrate data by transferring the data, including backups of cloud environments, to another cloud account they control on the same service to avoid typical file transfers/downloads and network-based exfiltration detection.</p><p>A defender who is monitoring for large transfers to outside the cloud environment through normal file transfers or over command and control channels may not be watching for data transfers to another account within the same cloud provider. Such transfers may utilize existing cloud provider APIs and the internal address space of the cloud provider to blend into normal traffic or avoid data transfers over external network interfaces.</p><p>Incidents have been observed where adversaries have created backups of cloud instances and transferred them to separate accounts.<span onclick=""scrollToRef('scite-1')"" id=""scite-ref-1-a"" class=""scite-citeref-number"" data-reference=""DOJ GRU Indictment Jul 2018""></span> </p>
                            </div>",Filter Network Traffic:=Implement network-based filtering restrictions to prohibit data transfers to untrusted VPCs.||Password Policies:=Consider rotating access keys within a certain number of days to reduce the effectiveness of stolen credentials.||User Account Management:=Limit user account and IAM policies to the least privileges required. Consider using temporary credentials for accounts that are only valid for a certain period of time to reduce the effectiveness of compromised accounts.
T1493,Transmitted Data Manipulation,Impact,"Linux, macOS, Windows","User, Administrator, root, SYSTEM",,"Packet capture, Network protocol analysis",,,,1,"<div class=""col-md-8 description-body"">
                                <p>Adversaries may alter data en route to storage or other systems in order to manipulate external outcomes or hide activity.<span onclick=""scrollToRef('scite-1')"" id=""scite-ref-1-a"" class=""scite-citeref-number"" data-reference=""FireEye APT38 Oct 2018""></span><span onclick=""scrollToRef('scite-2')"" id=""scite-ref-2-a"" class=""scite-citeref-number"" data-reference=""DOJ Lazarus Sony 2018""></span> By manipulating transmitted data, adversaries may attempt to affect a business process, organizational understanding, and decision making. </p><p>Manipulation may be possible over a network connection or between system processes where there is an opportunity deploy a tool that will intercept and change information. The type of modification and the impact it will have depends on the target transmission mechanism as well as the goals and objectives of the adversary. For complex systems, an adversary would likely need special expertise and possibly access to specialized software related to the system that would typically be gained through a prolonged information gathering campaign in order to have the desired impact.</p>
                            </div>",Encrypt Sensitive Information:=Encrypt all important data flows to reduce the impact of tailored modifications on data in transit.
T1154,Trap,"Execution, Persistence","Linux, macOS","User, Administrator",,"File monitoring, Process monitoring, Process command-line parameters",,,,1.1,"<div class=""col-md-8 description-body"">
                                <p>The <code>trap</code> command allows programs and shells to specify commands that will be executed upon receiving interrupt signals. A common situation is a script allowing for graceful termination and handling of common  keyboard interrupts like <code>ctrl+c</code> and <code>ctrl+d</code>. Adversaries can use this to register code to be executed when the shell encounters specific interrupts either to gain execution or as a persistence mechanism. Trap commands are of the following format <code>trap 'command list' signals</code> where ""command list"" will be executed when ""signals"" are received.<span onclick=""scrollToRef('scite-1')"" id=""scite-ref-1-a"" class=""scite-citeref-number"" data-reference=""Trap Manual""></span><span onclick=""scrollToRef('scite-2')"" id=""scite-ref-2-a"" class=""scite-citeref-number"" data-reference=""Cyberciti Trap Statements""></span></p>
                            </div>",:=This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
T1127,Trusted Developer Utilities,"Defense Evasion, Execution",Windows,User,,Process monitoring,,"Casey Smith; Matthew Demaske, Adaptforward",,1.1,"<div class=""col-md-8 description-body"">
                                <p>There are many utilities used for software development related tasks that can be used to execute code in various forms to assist in development, debugging, and reverse engineering. These utilities may often be signed with legitimate certificates that allow them to execute on a system and proxy execution of malicious code through a trusted process that effectively bypasses application whitelisting defensive solutions.</p><h3>MSBuild</h3><p>MSBuild.exe (Microsoft Build Engine) is a software build platform used by Visual Studio. It takes XML formatted project files that define requirements for building various platforms and configurations. <span onclick=""scrollToRef('scite-1')"" id=""scite-ref-1-a"" class=""scite-citeref-number"" data-reference=""MSDN MSBuild""></span> </p><p>Adversaries can use MSBuild to proxy execution of code through a trusted Windows utility. The inline task capability of MSBuild that was introduced in .NET version 4 allows for C# code to be inserted into the XML project file. <span onclick=""scrollToRef('scite-1')"" id=""scite-ref-1-a"" class=""scite-citeref-number"" data-reference=""MSDN MSBuild""></span> Inline Tasks MSBuild will compile and execute the inline task. MSBuild.exe is a signed Microsoft binary, so when it is used this way it can execute arbitrary code and bypass application whitelisting defenses that are configured to allow MSBuild.exe execution. <span onclick=""scrollToRef('scite-2')"" id=""scite-ref-2-a"" class=""scite-citeref-number"" data-reference=""LOLBAS Msbuild""></span></p><h3>DNX</h3><p>The .NET Execution Environment (DNX), dnx.exe, is a software development kit packaged with Visual Studio Enterprise. It was retired in favor of .NET Core CLI in 2016. <span onclick=""scrollToRef('scite-3')"" id=""scite-ref-3-a"" class=""scite-citeref-number"" data-reference=""Microsoft Migrating from DNX""></span> DNX is not present on standard builds of Windows and may only be present on developer workstations using older versions of .NET Core and ASP.NET Core 1.0. The dnx.exe executable is signed by Microsoft. </p><p>An adversary can use dnx.exe to proxy execution of arbitrary code to bypass application whitelist policies that do not account for DNX. <span onclick=""scrollToRef('scite-4')"" id=""scite-ref-4-a"" class=""scite-citeref-number"" data-reference=""engima0x3 DNX Bypass""></span></p><h3>RCSI</h3><p>The rcsi.exe utility is a non-interactive command-line interface for C# that is similar to csi.exe. It was provided within an early version of the Roslyn .NET Compiler Platform but has since been deprecated for an integrated solution. <span onclick=""scrollToRef('scite-5')"" id=""scite-ref-5-a"" class=""scite-citeref-number"" data-reference=""Microsoft Roslyn CPT RCSI""></span> The rcsi.exe binary is signed by Microsoft. <span onclick=""scrollToRef('scite-6')"" id=""scite-ref-6-a"" class=""scite-citeref-number"" data-reference=""engima0x3 RCSI Bypass""></span></p><p>C# .csx script files can be written and executed with rcsi.exe at the command-line. An adversary can use rcsi.exe to proxy execution of arbitrary code to bypass application whitelisting policies that do not account for execution of rcsi.exe. <span onclick=""scrollToRef('scite-6')"" id=""scite-ref-6-a"" class=""scite-citeref-number"" data-reference=""engima0x3 RCSI Bypass""></span></p><h3>WinDbg/CDB</h3><p>WinDbg is a Microsoft Windows kernel and user-mode debugging utility. The Microsoft Console Debugger (CDB) cdb.exe is also user-mode debugger. Both utilities are included in Windows software development kits and can be used as standalone tools. <span onclick=""scrollToRef('scite-7')"" id=""scite-ref-7-a"" class=""scite-citeref-number"" data-reference=""Microsoft Debugging Tools for Windows""></span> They are commonly used in software development and reverse engineering and may not be found on typical Windows systems. Both WinDbg.exe and cdb.exe binaries are signed by Microsoft.</p><p>An adversary can use WinDbg.exe and cdb.exe to proxy execution of arbitrary code to bypass application whitelist policies that do not account for execution of those utilities. <span onclick=""scrollToRef('scite-8')"" id=""scite-ref-8-a"" class=""scite-citeref-number"" data-reference=""Exploit Monday WinDbg""></span></p><p>It is likely possible to use other debuggers for similar purposes, such as the kernel-mode debugger kd.exe, which is also signed by Microsoft.</p><h3>Tracker</h3><p>The file tracker utility, tracker.exe, is included with the .NET framework as part of MSBuild. It is used for logging calls to the Windows file system. <span onclick=""scrollToRef('scite-9')"" id=""scite-ref-9-a"" class=""scite-citeref-number"" data-reference=""Microsoft Docs File Tracking""></span></p><p>An adversary can use tracker.exe to proxy execution of an arbitrary DLL into another process. Since tracker.exe is also signed it can be used to bypass application whitelisting solutions. <span onclick=""scrollToRef('scite-10')"" id=""scite-ref-10-a"" class=""scite-citeref-number"" data-reference=""LOLBAS Tracker""></span></p>
                            </div>","Disable or Remove Feature or Program:=MSBuild.exe, dnx.exe, rcsi.exe, WinDbg.exe, cdb.exe, and tracker.exe may not be necessary within a given environment and should be removed if not used.||Execution Prevention:=Use application whitelisting configured to block execution of MSBuild.exe, dnx.exe, rcsi.exe, WinDbg.exe, and cdb.exe if they are not required for a given system or network to prevent potential misuse by adversaries."
T1199,Trusted Relationship,Initial Access,"Linux, Windows, macOS, AWS, GCP, Azure, SaaS",,,"Azure activity logs, Stackdriver logs, AWS CloudTrail logs, Application logs, Authentication logs, Third-party application logs",,Praetorian,,2,"<div class=""col-md-8 description-body"">
                                <p>Adversaries may breach or otherwise leverage organizations who have access to intended victims. Access through trusted third party relationship exploits an existing connection that may not be protected or receives less scrutiny than standard mechanisms of gaining access to a network.</p><p>Organizations often grant elevated access to second or third-party external providers in order to allow them to manage internal systems as well as cloud-based environments. Some examples of these relationships include IT services contractors, managed security providers, infrastructure contractors (e.g. HVAC, elevators, physical security). The third-party provider's access may be intended to be limited to the infrastructure being maintained, but may exist on the same network as the rest of the enterprise. As such, Valid Accounts used by the other party for access to internal network systems may be compromised and used.</p>
                            </div>",Network Segmentation:=Network segmentation can be used to isolate infrastructure components that do not require broad network access.||User Account Control:=Properly manage accounts and permissions used by parties in trusted relationships to minimize potential abuse by the party and if the party is compromised by an adversary.
T1111,Two-Factor Authentication Interception,Credential Access,"Linux, Windows, macOS","Administrator, SYSTEM",,"API monitoring, Process monitoring, Kernel drivers",,"John Lambert, Microsoft Threat Intelligence Center",,1,"<div class=""col-md-8 description-body"">
                                <p>Use of two- or multifactor authentication is recommended and provides a higher level of security than user names and passwords alone, but organizations should be aware of techniques that could be used to intercept and bypass these security mechanisms. Adversaries may target authentication mechanisms, such as smart cards, to gain access to systems, services, and network resources.</p><p>If a smart card is used for two-factor authentication (2FA), then a keylogger will need to be used to obtain the password associated with a smart card during normal use. With both an inserted card and access to the smart card password, an adversary can connect to a network resource using the infected system to proxy the authentication with the inserted hardware token. <span onclick=""scrollToRef('scite-1')"" id=""scite-ref-1-a"" class=""scite-citeref-number"" data-reference=""Mandiant M Trends 2011""></span></p><p>Adversaries may also employ a keylogger to similarly target other hardware tokens, such as RSA SecurID. Capturing token input (including a user's personal identification code) may provide temporary access (i.e. replay the one-time passcode until the next value rollover) as well as possibly enabling adversaries to reliably predict future authentication values (given access to both the algorithm and any seed values used to generate appended temporary codes). <span onclick=""scrollToRef('scite-2')"" id=""scite-ref-2-a"" class=""scite-citeref-number"" data-reference=""GCN RSA June 2011""></span></p><p>Other methods of 2FA may be intercepted and used by an adversary to authenticate. It is common for one-time codes to be sent via out-of-band communications (email, SMS). If the device and/or service is not secured, then it may be vulnerable to interception. Although primarily focused on by cyber criminals, these authentication mechanisms have been targeted by advanced actors. <span onclick=""scrollToRef('scite-3')"" id=""scite-ref-3-a"" class=""scite-citeref-number"" data-reference=""Operation Emmental""></span></p>
                            </div>",User Training:=Remove smart cards when not in use.
T1065,Uncommonly Used Port,Command And Control,"Linux, macOS, Windows",,,"Netflow/Enclave netflow, Process use of network, Process monitoring",,,Yes,1,"<div class=""col-md-8 description-body"">
                                <p>Adversaries may conduct C2 communications over a non-standard port to bypass proxies and firewalls that have been improperly configured.</p>
                            </div>",Network Intrusion Prevention:=Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.||Network Segmentation:=Properly configure firewalls and proxies to limit outgoing traffic to only necessary ports for that particular network segment.
T1535,Unused/Unsupported Cloud Regions,Defense Evasion,"AWS, GCP, Azure",User,,"Stackdriver logs, Azure activity logs, AWS CloudTrail logs",,Netskope,,1,"<div class=""col-md-8 description-body"">
                                <p>Adversaries may create cloud instances in unused geographic service regions in order to evade detection. Access is usually obtained through compromising accounts used to manage cloud infrastructure.</p><p>Cloud service providers often provide infrastructure throughout the world in order to improve performance, provide redundancy, and allow customers to meet compliance requirements. Oftentimes, a customer will only use a subset of the available regions and may not actively monitor other regions. If an adversary creates resources in an unused region, they may be able to operate undetected.</p><p>A variation on this behavior takes advantage of differences in functionality across cloud regions. An adversary could utilize regions which do not support advanced detection services in order to avoid detection of their activity. For example, AWS GuardDuty is not supported in every region.<span onclick=""scrollToRef('scite-1')"" id=""scite-ref-1-a"" class=""scite-citeref-number"" data-reference=""AWS Region Service Table""></span></p><p>An example of adversary use of unused AWS regions is to mine cryptocurrency through Resource Hijacking, which can cost organizations substantial amounts of money over time depending on the processing power used.<span onclick=""scrollToRef('scite-2')"" id=""scite-ref-2-a"" class=""scite-citeref-number"" data-reference=""CloudSploit - Unused AWS Regions""></span></p>
                            </div>",Software Configuration:=Cloud service providers may allow customers to deactivate unused regions.
